Genes,U1.1_1.2,U1.2_1.2,X215.1_1.2,X215.2_1.2,X478.1_1.2,X478.2_1.2
"SAR1460,recU,putative_recombination_protein_U",20376,22215,16923,17522,24658,20454
"SAR1461,pbp2,penicillin-binding_protein_2",118356,124814,89526,103198,121233,103594
"SAR1462,NA,putative_exported_protein",1774,1870,1610,1846,2291,2312
"SAR1463,NA,putative_endonuclease",3545,3011,3192,3176,4506,3705
"SAR1464,NA,conserved_hypothetical_protein",3392,2672,3103,2775,4112,2870
"SAR1466,NA,conserved_hypothetical_protein",16533,19246,15012,16412,18043,16181
"SAR1467,birA,BirA_bifunctional_protein_[includes:_biotin_operon_repressor_biotin--[acetyl-CoA-carboxylase]_synthetase",4731,5299,4526,4766,5762,5213
"SAR1468,papS,poly_A_polymerase_family_protein",5329,5482,5040,5287,7408,6784
"SAR1469,NA,putative_glycosyl_transferase",5694,5532,5440,5497,8453,7263
"SAR1470,NA,conserved_hypothetical_protein",1611,1472,1559,1428,2489,1597
"SAR1471,NA,putative_membrane_protein",71014,84379,64657,73097,76486,68283
"SAR1472,NA,putative_membrane_protein",1924,1906,1169,1462,1517,1384
"SAR1473,NA,conserved_hypothetical_protein",2248,2161,1310,1594,1611,1472
"SAR1474,NA,conserved_hypothetical_protein",11381,10684,7119,7985,8469,7539
"SAR1475,aroA,3-phosphoshikimate_1-carboxyvinyltransferase",10542,9574,6174,7489,6810,5811
"SAR1476,aroB,putative_3-dehydroquinate_synthase",7547,6694,4650,5705,4691,3909
"SAR1477,aroC,chorismate_synthase",9272,7530,5831,6923,5420,4279
"SAR1478,ndk,putative_nucleoside_diphosphate_kinase",3876,5725,3380,4285,8005,8746
"SAR1479,NA,putative_heptaprenyl_diphosphate_synthase_component_II",11911,11491,10123,9876,15280,12069
"SAR1481,NA,hypothetical_protein",5829,6580,5222,5341,7037,5065
"SAR1482,hup,DNA-binding_protein_HU",401608,473854,358039,367851,424827,362530
"SAR1483,gpsA,glycerol-3-phosphate_dehydrogenase_[NADP+]",16037,16493,12311,13950,15038,14287
"SAR1486,cmk,cytidylate_kinase",9486,9155,7871,7878,10917,8389
"SAR1487,NA,putative_L-asparaginase",4273,3565,3190,3086,3965,3005
"SAR1488,NA,putative_pyridine_nucleotide-disulphide_oxidoreductase",6554,6062,5762,5454,7522,6318
"SAR1489,ebpS,cell_surface_elastin_binding_protein",71975,78318,68512,82746,83813,71391
"SAR1490,NA,DEAD/DEAH_box_helicase_family_protein",4697,4681,3902,4328,5318,4285
"SAR1491,NA,hypothetical_protein",3915,4435,3650,3585,4914,3819
"SAR1492,NA,ferredoxin",2257,2052,1599,1650,2711,2048
"SAR1493,NA,putative_membrane_protein",3990,4494,3929,3756,6386,4703
"SAR1494,NA,putative_lipoprotein",2392,2284,2352,2195,3343,2534
"SAR1495,NA,putative_lipoprotein",2724,2330,2463,2309,3297,2556
"SAR1497,NA,amidase",0,1,0,1,1,2
"SAR1498,NA,holin",0,0,0,1,0,1
"SAR1502,NA,hypothetical_phage_protein",2,0,2,0,2,0
"SAR1503,NA,hypothetical_phage_protein",9,12,11,3,15,21
"SAR1505,NA,hypothetical_phage_protein",1,2,0,0,1,0
"SAR1506,NA,hypothetical_phage_protein",0,0,1,0,0,1
"SAR1507,NA,hypothetical_phage_protein",34,29,4,14,28,73
"SAR1510,NA,major_tail_protein",0,1,1,0,0,1
"SAR1511,NA,major_tail_protein",1,1,2,0,0,1
"SAR1514,NA,hypothetical_phage_protein",2,0,0,0,0,0
"SAR1516,NA,hypothetical_phage_protein",3,4,2,1,2,4
"SAR1517,NA,phage_protease",0,0,0,1,2,2
"SAR1518,NA,portal_protein",1,1,1,1,1,0
"SAR1519,NA,terminase_large_subunit",1,1,4,0,1,1
"SAR1522,NA,phage_regulatory_protein",1,1,0,1,1,0
"SAR1523,NA,hypothetical_phage_protein",12,9,5,7,11,3
"SAR1524,NA,hypothetical_phage_protein",0,0,0,1,1,1
"SAR1525,NA,hypothetical_phage_protein",0,0,1,1,0,1
"SAR1526,NA,putative_exported_phage_protein",0,0,0,0,1,1
"SAR1528,NA,hypothetical_phage_protein",0,2,0,0,2,0
"SAR1532,NA,hypothetical_phage_protein",0,1,1,0,0,0
"SAR1533,NA,hypothetical_phage_protein",0,1,0,1,1,1
"SAR1539,NA,putative_DNA-binding_protein",5,1,4,2,1,1
"SAR1540,NA,hypothetical_phage_protein",6,7,2,5,4,2
"SAR1541,NA,putative_DNA_polymerase",7,7,0,10,6,4
"SAR1542,NA,hypothetical_phage_protein",1,1,1,483,781,1
"SAR1543,NA,hypothetical_phage_protein",1,0,1,1,0,0
"SAR1544,NA,hypothetical_phage_protein",3,0,1,3,0,0
"SAR1549,NA,hypothetical_phage_protein",0,1,0,0,1,0
"SAR1550,NA,hypothetical_phage_protein",0,0,0,0,2,0
"SAR1552,NA,hypothetical_phage_protein",24,17,13,25,18,27
"SAR1554,NA,hypothetical_phage_protein",2,0,1,3,0,0
"SAR1558,NA,putative_lipoprotein",2,0,0,1,0,1
"SAR1561,NA,putative_membrane_protein",1,0,0,1,4,0
"SAR1562,NA,phage_integrase",1,0,1,0,0,1
"SAR1565,NA,putative_lipoprotein_pseudogene",7235,8504,6910,7194,9191,7415
"SAR1567,srrB,sensor_kinase_protein",17883,18679,15153,14483,20299,16055
"SAR1568,srrA,response_regulator_protein",17854,28370,17543,20468,26716,27700
"SAR1569,rluB,ribosomal_large_subunit_pseudouridine_synthase_B",5975,6035,4991,5204,7629,6734
"SAR1570,NA,conserved_hypothetical_protein",3332,3276,2842,3064,4305,3706
"SAR1571,NA,conserved_hypothetical_protein",6640,6733,5806,5931,8085,6382
"SAR1572,NA,conserved_hypothetical_protein",1529,1520,1432,1446,1616,1026
"SAR1573,xerD,integrase/recombinase",6682,5823,5102,5546,7084,5336
"SAR1574,fur,iron_uptake_regulatory_protein",15233,17030,14565,14554,18615,14370
"SAR1575,NA,putative_ADP-ribose_pyrophosphatase",2743,3109,2478,2712,2510,2070
"SAR1576,NA,aldo/keto_reductase_family_protein",9756,10994,9486,9411,9845,8572
"SAR1577,NA,hypothetical_protein",685,603,588,554,725,510
"SAR1578,NA,putative_short_chain_dehydrogenase",3338,3060,2857,2802,3337,2367
"SAR1579,NA,putative_pyrroline-5-carboxylate_reductase",14318,14484,11149,13152,10511,8217
"SAR1581,NA,conserved_hypothetical_protein",8730,8214,7114,7013,8136,6397
"SAR1582,zwf,putative_glucose-6-phosphate_1-dehydrogenase",48312,48797,48484,47458,51995,41710
"SAR1583,NA,AraC_family_regulatory_protein",15196,16519,13406,14315,17813,13604
"SAR1584,malA,alpha-D-1,4-glucosidase",1264,2108,2533,2224,6455,5193
"SAR1585,malR,maltose_operon_transcriptional_repressor",382,2198,659,1202,2201,3403
"SAR1586,NA,glyoxalase/bleomycin_resistance_protein/dioxygenase_superfamily_protein",3562,3761,2747,2998,2853,2412
"SAR1587,NA,PfkB_family_carbohydrate_kinase",265,269,248,253,235,214
"SAR1588,NA,putative_membrane_protein_pseudogene",792,756,633,581,698,557
"SAR1589,gnd,6-phosphogluconate_dehydrogenase,_decarboxylating",70027,77876,66361,66414,79305,70018
"SAR1590,NA,putative_peptidase",8679,9384,8204,9349,9380,7852
"SAR1591,NA,putative_membrane_protein",14680,15678,13232,14204,14986,13782
"SAR1592,NA,conserved_hypothetical_protein",8853,8358,7723,7897,8823,7027
"SAR1593,bfmB,lipoamide_acyltransferase_component_of_branched-chain_alpha-keto_acid_dehydrogenase_complex",13765,15914,20141,18872,22333,20858
"SAR1594,bfmBAB,2-oxoisovalerate_dehydrogenase_beta_subunit",7874,8882,11020,10049,15844,14055
"SAR1595,bfmBAA,2-oxoisovalerate_dehydrogenase_alpha_subunit",8839,9639,11041,10190,19706,15708
"SAR1596,bfmBC,putative_dihydrolipoamide_dehydrogenase",12360,13120,13585,12669,26176,19218
"SAR1597,NA,putative_DNA_repair_protein",15633,20630,16361,16369,28983,21937
"SAR1598,argR,arginine_repressor",4443,7337,4586,5617,7592,6706
"SAR1599,NA,putative_geranyltranstransferase",11778,12699,9670,10088,12595,11104
"SAR1600,NA,putative_exodeoxyribonuclease_VII_small_subunit",1878,1896,1498,1622,1921,1838
"SAR1603,NA,conserved_hypothetical_protein",5924,6839,5507,5843,7286,6756
"SAR1604,accC,biotin_carboxylase_subunit_of_acetyl-CoA_carboxylase",19889,17984,16492,17244,27301,23171
"SAR1605,accB,biotin_carboxyl_carrier_protein_of_acetyl-CoA_carboxylase",7552,6674,6089,5964,10753,7638
"SAR1606,efp,putative_elongation_factor_P",45599,53770,40944,42526,50903,44655
"SAR1607,NA,putative_peptidase",19624,18874,16118,16206,16435,13657
"SAR1608,NA,putative_lipoprotein",6418,8049,5964,6236,8626,5951
"SAR1609,NA,putative_exported_protein",1046,1508,1115,1139,1721,1354
"SAR1610,NA,lipoate-protein_ligase_A_protein",9820,10511,8580,9111,10615,8391
"SAR1611,NA,putative_membrane_protein",17931,21293,17082,16683,20546,16862
"SAR1612,NA,putative_glycine_cleavage_system_P-protein",6749,8047,5335,6384,15143,13952
"SAR1613,NA,putative_glycine_cleavage_system_P-protein",4421,4865,3283,4158,11358,9967
"SAR1614,gcvT,putative_aminomethyltransferase",2708,2983,2015,2513,7372,6254
"SAR1615,NA,putative_shikimate_kinase",10571,14693,12155,11098,10103,7767
"SAR1616,NA,putative_membrane_protein",87,108,58,78,79,90
"SAR1617,NA,putative_exported_protein",37,38,23,32,34,39
"SAR1618,NA,putative_exported_protein",46,41,28,43,44,53
"SAR1619,NA,putative_exported_protein",51,45,48,50,60,41
"SAR1620,NA,putative_membrane_protein",261,270,228,202,276,196
"SAR1621,NA,hypothetical_protein",796,714,644,671,723,556
"SAR1622,NA,metallo-beta-lactamase_superfamily_protein",10144,10525,9268,9361,13829,12078
"SAR1623,NA,conserved_hypothetical_protein",3822,3921,3510,3385,5276,4338
"SAR1624,glkA,glucokinase",10614,10785,9032,8782,13965,11878
"SAR1625,NA,conserved_hypothetical_protein",1090,1128,924,906,1337,1211
"SAR1626,NA,putative_membrane_protein",10444,10827,8842,8562,11539,9645
"SAR1627,NA,5-formyltetrahydrofolate_cyclo-ligase_family_protein",3337,4574,3315,3330,3272,3056
"SAR1629,pbpF,penicillin-binding_protein_PBP2B",28605,29171,25515,26784,36094,30664
"SAR1630,sodA,superoxide_dismutase",55445,74238,56858,75190,75127,75535
"SAR1631,zur,zinc-specific_metalloregulatory_protein",1065,1172,832,821,1091,918
"SAR1632,mreB,ABC_transporter_permease_protein",2245,2238,1900,1972,2478,2135
"SAR1633,mreA,ABC_transporter_ATP-binding_protein",2115,1851,1680,1672,2433,1900
"SAR1634,NA,putative_endonuclease",7178,6986,4930,5660,7035,6670
"SAR1635,NA,putative_helicase",9617,7623,7151,7260,11369,9142
"SAR1636,NA,conserved_hypothetical_protein",6273,6295,5269,5628,6302,5996
"SAR1637,NA,conserved_hypothetical_protein",2525,2064,1831,2057,2828,2378
"SAR1638,rpoD,RNA_polymerase_sigma_factor",24800,26343,18499,22139,32296,27649
"SAR1639,dnaG,DNA_primase",21563,19444,16349,17755,28595,22956
"SAR1640,NA,conserved_hypothetical_protein",7418,9090,7189,7618,8978,7376
"SAR1641,NA,putative_DNA-binding_protein_pseudogene",5546,6957,5084,5822,6465,5728
"SAR1642,NA,putative_glycyl-tRNA_synthetase",157317,179670,134056,148519,61072,57602
"SAR1643,NA,putative_recombination_protein_O",4295,4324,3797,3709,6068,5602
"SAR1644,era,putative_GTP-binding_protein",6551,6583,5942,5749,9456,8498
"SAR1645,cdd,cytidine_deaminase",2748,2649,2261,2481,3901,3207
"SAR1646,NA,putative_diacylglycerol_kinase",2177,2381,1998,1960,3174,2749
"SAR1647,NA,conserved_hypothetical_protein",3470,3410,3024,3191,4765,3861
"SAR1648,NA,PhoH-like_protein",7402,8100,6674,7463,9891,7841
"SAR1649,NA,hypothetical_protein",29548,30821,27589,27421,35809,30861
"SAR1650,NA,putative_exported_protein",36120,38241,34430,34494,43922,37872
"SAR1651,NA,putative_membrane_protein",25690,27879,24066,24682,30072,27599
"SAR1652,rpsU,30S_ribosomal_protein_S21",92009,101933,75423,71253,94011,71540
"SAR1653,NA,conserved_hypothetical_protein",18167,15530,11575,13317,16047,13445
"SAR1654,NA,conserved_hypothetical_protein",3326,2678,2267,2489,3113,2375
"SAR1656,dnaJ,chaperone_protein",6053,4827,4994,3986,7343,5354
"SAR1657,dnaK,chaperone_protein",54583,57721,50112,49486,61548,50683
"SAR1658,grpE,GrpE_protein_Hsp-70_cofactor",13420,14602,12377,12112,15952,12772
"SAR1659,hrcA,heat-inducible_transcription_repressor",15746,18868,15307,15086,18971,16175
"SAR1660,NA,putative_oxygen-independent_coproporphyrinogen_III_oxidase",1633,1427,1314,1275,1754,1417
"SAR1662,lepA,putative_GTP-binding_protein",19012,17486,15239,15783,23755,19338
"SAR1663,rpsT,putative_30S_ribosomal_protein_S20",29525,35305,25978,23121,44702,34084
"SAR1665,NA,putative_membrane_protein",1181,1198,1032,953,1187,850
"SAR1666,NA,putative_deaminase",5896,5142,4850,4724,4441,3360
"SAR1667,NA,putative_membrane_protein",641,583,437,527,680,524
"SAR1668,NA,conserved_hypothetical_protein",7724,8626,6431,7087,11325,9297
"SAR1669,NA,conserved_hypothetical_protein",4072,4267,3149,3835,4869,4244
"SAR1670,NA,conserved_hypothetical_protein",4752,5707,3670,4673,6172,5618
"SAR1671,NA,conserved_hypothetical_protein",5361,5536,3804,4367,5604,5106
"SAR1672,NA,conserved_hypothetical_protein",1669,1819,1256,1392,1857,1717
"SAR1673,aroE,shikimate_5-dehydrogenase",4817,4995,3566,4026,5245,4747
"SAR1674,NA,putative_GTPase",7775,7199,5837,6435,9051,7836
"SAR1675,NA,conserved_hypothetical_protein",3560,2777,2504,2589,3847,3275
"SAR1676,pfs,5-methylthioadenosine/S-adenosylhomocysteine_nucleosidase",4540,3649,3487,3241,5432,3788
"SAR1677,NA,putative_membrane_protein",500,713,564,445,632,450
"SAR1679,NA,putative_enterotoxin_pseudogene",321,239,251,218,386,244
"SAR1680,NA,hypothetical_protein",22,23,11,9,23,27
"SAR1682,NA,hypothetical_phage_protein_pseudogene",3934,3655,3524,3270,2771,1480
"SAR1683,NA,putative_membrane_protein",1361,1255,966,1057,1216,998
"SAR1684,NA,conserved_hypothetical_protein",561,468,387,448,493,363
"SAR1685,NA,putative_biotin_carboxylase_subunit_of_acetyl-CoA_carboxylase",888,751,571,642,665,569
"SAR1686,NA,putative_biotin_carboxyl_carrier_protein_of_acetyl-CoA_carboxylase",285,274,214,244,221,184
"SAR1687,NA,conserved_hypothetical_protein",676,700,568,673,514,443
"SAR1688,NA,conserved_hypothetical_protein",524,590,448,515,455,397
"SAR1689,greA,transcription_elongation_factor",14705,16917,10808,12776,13568,12606
"SAR1690,udk,uridine_kinase",8891,9042,6167,7497,8201,7476
"SAR1691,NA,putative_peptidase",10429,10480,6954,8870,11518,10886
"SAR1692,NA,putative_peptidase",4761,3925,3203,3512,6261,5474
"SAR1693,NA,putative_O-methyltransferase",2713,1812,2018,1541,3799,2276
"SAR1694,NA,conserved_hypothetical_protein",13758,16227,12283,13096,14046,12695
"SAR1695,NA,conserved_hypothetical_protein",11001,11783,9406,10393,9749,8526
"SAR1696,NA,conserved_hypothetical_protein",10655,11045,9322,9657,9092,7858
"SAR1697,alaS,putative_alanyl-tRNA_synthetase",23993,23814,19610,20786,24296,20247
"SAR1698,NA,conserved_hypothetical_protein",16568,16885,12469,13676,14877,12839
"SAR1699,NA,conserved_hypothetical_protein",3917,4050,3142,3409,3831,3202
"SAR1702,NA,putative_cysteine_desulfurase",13460,10897,10396,10383,14959,10312
"SAR1703,NA,putative_oxygenase",5354,5505,4698,5316,5423,4230
"SAR1704,NA,hypothetical_protein",3679,11099,5419,10287,10394,11997
"SAR1705,NA,conserved_hypothetical_protein",5347,15408,7051,13482,12663,13407
"SAR1706,NA,conserved_hypothetical_protein",9419,10989,8837,9091,10282,7906
"SAR1707,NA,putative_ATPase",14180,13992,11481,12522,12768,10574
"SAR1708,NA,conserved_hypothetical_protein",5850,5380,4893,4760,8298,6223
"SAR1709,NA,hypothetical_protein",599349,676020,569174,503964,568900,472679
"SAR1710,aspS,aspartyl-tRNA_synthetase",12912,14839,10652,12321,16829,15051
"SAR1711,hisS,histidyl-tRNA_synthetase",5560,5224,4289,4542,8409,7431
"SAR1712,NA,putative_N-acetylmuramoyl-L-alanine_amidase_pseudogene",19230,18200,14079,14313,14444,12348
"SAR1713,NA,conserved_hypothetical_protein",7659,7365,5835,6666,5848,5054
"SAR1714,relA,GTP_pyrophosphokinase",40425,36695,32118,35285,31294,23567
"SAR1715,apt,adenine_phosphoribosyltransferase",4124,3996,3074,2906,4788,4078
"SAR1716,NA,putative_single-stranded-DNA-specific_exonuclease",10458,8630,7646,7093,13333,9801
"SAR1717,secF,putative_protein-export_membrane_protein",61410,64325,49817,51508,64910,57469
"SAR1718,NA,putative_exported_protein",10019,12196,9295,9114,12986,10863
"SAR1719,tgt,queuine_tRNA-ribosyltransferase",11822,11425,9063,9000,15023,12000
"SAR1720,queA,S-adenosylmethionine:tRNA_ribosyltransferase-isomerase",7821,7370,5629,6131,7465,6326
"SAR1721,ruvB,Holliday_junction_DNA_helicase",9099,8921,7119,7755,8825,7461
"SAR1722,ruvA,Holliday_junction_DNA_helicase_RuvA",6767,6649,5533,5836,6634,5484
"SAR1723,NA,putative_DNA-binding_protein",4183,4210,3413,3581,4051,3386
"SAR1725,rpmA,50S_ribosomal_protein_L27",33773,39447,29094,28298,40094,33748
"SAR1726,NA,conserved_hypothetical_protein",22206,24874,19174,18505,27915,22512
"SAR1727,rplU,50S_ribosomal_protein_L21",39836,41333,33006,30836,47963,37223
"SAR1728,NA,putative_membrane_protein",3805,3829,3043,3204,4425,4224
"SAR1729,NA,putative_rod_shape-determining_protein",9020,8316,7622,7448,11042,9476
"SAR1729a,NA,hypothetical_protein",3305,3376,1835,2283,1874,1375
"SAR1730,NA,putative_membrane_protein",6917,6163,3790,4355,2481,2134
"SAR1731,NA,putative_membrane_protein",1594,1382,849,794,813,503
"SAR1732,NA,putative_membrane_protein",2599,2801,2279,2258,3428,2578
"SAR1738,tnpB2,transposase_B_2",2,0,0,2,0,0
"SAR1739,tnpA2,transposase_A_2",0,0,0,0,2,0
"SAR1741,NA,type_III_leader_peptidase_family_protein",224,267,170,199,187,142
"SAR1742,folC,putative_folylpolyglutamate_synthase",16367,18687,15219,14899,21599,18675
"SAR1743,valS,valyl-tRNA_synthetase",30332,30813,25536,26498,44021,37371
"SAR1744,tag,DNA-3-methyladenine_glycosylase_I",6568,6854,5570,6075,6049,4576
"SAR1745,NA,putative_membrane_protein",1875,2025,1670,1858,1894,1678
"SAR1747,hemL,glutamate-1-semialdehyde_2,1-aminomutase",23774,24244,19831,19204,28664,21844
"SAR1748,hemB,delta-aminolevulinic_acid_dehydratase",10778,11297,8978,9016,14179,11709
"SAR1749,hemD,uroporphyrinogen_III_synthase",4408,5012,3909,3688,6741,5705
"SAR1750,hemC,porphobilinogen_deaminase",15870,14885,12258,12248,19329,15682
"SAR1751,NA,putative_membrane_protein",9289,9898,8314,8318,12026,9893
"SAR1752,hemA,glutamyl-tRNA_reductase",74188,77531,64480,67342,84074,68438
"SAR1754,clpX,ATP-dependent_Clp_protease_ATP-binding_subunit_ClpX",38165,39065,34196,33936,49784,42051
"SAR1755,tig,trigger_factor_prolyl_isomerase",86870,96412,82096,78461,134618,116416
"SAR1756,NA,hypothetical_protein",6992,6758,6108,6028,7439,6487
"SAR1757,NA,conserved_hypothetical_protein",4071,3965,3478,3284,4390,3584
"SAR1758,rplT,50S_ribosomal_protein_L20",17885,21800,14247,14710,30214,25754
"SAR1759,rpmI,50S_ribosomal_protein_L35",14091,15194,10200,10438,23178,18998
"SAR1760,infC,translation_initiation_factor_IF-3",28859,31335,21071,21497,49474,37648
"SAR1761,lysP,lysine-specific_permease",10765,10974,10166,9726,14859,12362
"SAR1762,thrS,threonyl-tRNA_synthetase",45392,50729,41225,42876,47019,40061
"SAR1763,dnaI,putative_primosomal_protein",12301,11510,9184,9900,10165,8486
"SAR1764,dnaB,chromosome_replication_initiation/membrane_attachment_protein",16490,16333,13450,15013,13575,10367
"SAR1766,gap2,glyceraldehyde_3-phosphate_dehydrogenase_2",1881,2694,1704,2006,2962,3283
"SAR1767,coaE,putative_dephospho-CoA_kinase",6303,6410,5940,5920,6346,6258
"SAR1768,NA,formamidopyrimidine-DNA_glycosylase",7249,7707,7139,7211,7803,6945
"SAR1769,polA,DNA_polymerase_I",25206,26863,24843,25938,28907,24851
"SAR1770,NA,putative_membrane_protein",6477,6828,6169,5594,6127,4582
"SAR1771,phoR,alkaline_phosphatase_synthesis_sensor_protein",9580,11590,9634,10888,15979,13399
"SAR1772,phoP,alkaline_phosphatase_synthesis_transcriptional_regulatory_protein",5159,7320,4705,6025,6100,5193
"SAR1773,citC,isocitrate_dehydrogenase",9991,12619,11316,11242,14958,13362
"SAR1774,citZ,citrate_synthase_II",5401,8204,5174,6822,8911,9382
"SAR1775,cycA,putative_D-serine/D-alanine/glycine_transporter",53032,54845,43912,48319,45910,38217
"SAR1776,pyk,pyruvate_kinase",168947,185626,161423,166281,183002,158420
"SAR1777,pfkA,6-phosphofructokinase",56834,52477,50040,47808,61731,48120
"SAR1778,accA,acetyl-coenzyme_A_carboxylase_carboxyl_transferase_subunit_alpha",14887,15625,11582,12577,14622,13059
"SAR1779,accD,acetyl-coenzyme_A_carboxylase_carboxyl_transferase_subunit_beta",14857,14785,11465,12327,15194,13009
"SAR1780,NA,NAD-dependent_malic_enzyme",19646,18843,15457,16378,21920,18237
"SAR1781,dnaE,DNA_polymerase_III_alpha_subunit",17261,19531,17014,16948,20649,19276
"SAR1782,NA,conserved_hypothetical_protein",5883,6306,5240,5714,7907,6646
"SAR1783,NA,putative_DNA-binding_protein",6556,7496,5799,6399,8451,6506
"SAR1784,NA,putative_universal_stress_protein",30790,33758,25790,25146,26231,23235
"SAR1785,NA,metallo-beta-lactamase_superfamily_protein",13115,17688,13393,17080,18619,18145
"SAR1786,NA,putative_metallopeptidase",17491,18528,15924,16980,14800,12267
"SAR1787,ald1,alanine_dehydrogenase_1",4724,6282,5096,5321,7982,7426
"SAR1788,NA,putative_universal_stress_protein",71056,97720,75981,80449,50068,48711
"SAR1789,ackA,acetate_kinase",46229,52022,40823,41183,62854,54021
"SAR1790,NA,conserved_hypothetical_protein",5927,5958,5431,5627,7885,6998
"SAR1792,NA,putative_membrane_protein",1630,1670,1114,1363,1877,1564
"SAR1793,thiI,putative_thiamine_biosynthesis_protein",2522,2465,1765,1961,3088,2663
"SAR1794,NA,aminotransferase_class-V_protein",2342,1786,1622,1679,2997,2177
"SAR1795,NA,putative_septation_ring_formation_regulator",56316,69881,54890,55455,72255,63415
"SAR1796,NA,conserved_hypothetical_protein",4708,4889,3555,4228,3805,3136
"SAR1797,rpsD,30S_ribosomal_protein_S4",64083,71592,48232,48218,93796,76159
"SAR1798,NA,conserved_hypothetical_protein",3147,2967,2675,2902,3106,2681
"SAR1799,NA,OsmC-like_protein",3093,3571,3019,3186,3234,2673
"SAR1800,NA,putative_soluble_hydrogenase_subunit",10518,8200,5855,8632,3344,2777
"SAR1801,NA,D-3-phosphoglycerate_dehydrogenase",14077,11842,6318,10891,5117,4189
"SAR1802,NA,haloacid_dehalogenase-like_hydrolase",17248,14260,10438,11602,7465,6064
"SAR1803,NA,PTS_system_IIBC_component",13232,13146,10538,10243,12555,10676
"SAR1804,NA,putative_acyltransferase",10529,10752,9090,8425,11340,9255
"SAR1805,NA,putative_protease",35491,34733,28814,29937,27938,24129
"SAR1806,tyrS,tyrosyl-tRNA_synthetase",8969,13038,9311,9346,18040,17603
"SAR1807,NA,putative_transglycosylase",3565,4249,3120,3310,3552,2540
"SAR1809,harA,haptoglobin-binding_surface_anchored_protein_pseudogene",660,548,465,511,570,366
"SAR1809a,NA,hypothetical_protein",1,3,0,1,1,2
"SAR1810,fhs,formate--tetrahydrofolate_ligase",18964,27280,20295,24522,39613,37212
"SAR1811,acsA,acetyl-coenzyme_A_synthetase",812,1308,713,953,1204,1221
"SAR1812,acuA,acetoin_utilization_protein",831,1535,642,1162,919,1385
"SAR1813,NA,histone_deacetylase_family_protein",1581,2499,1411,1729,1669,1554
"SAR1814,ccpA,catabolite_control_protein_A",30417,36722,25071,26859,29290,25909
"SAR1815,NA,DAHP_synthetase-chorismate_mutase",35729,30475,22398,25608,16678,13238
"SAR1816,NA,putative_membrane_protein",22964,32074,26071,36920,50795,49261
"SAR1817,NA,putative_exported_protein",45586,86193,54007,80019,107397,106218
"SAR1818,murC,UDP-N-acetylmuramate--alanine_ligase",19604,22426,18740,20149,28141,24829
"SAR1819,NA,FtsK/SpoIIIE_family_protein",43102,48031,41373,48070,68000,61857
"SAR1820,NA,conserved_hypothetical_protein",4149,4729,3917,4532,7980,7303
"SAR1821,NA,conserved_hypothetical_protein",5509,6245,5610,5900,11526,9869
"SAR1822,NA,putative_thioredoxin",4284,5195,4512,5209,6701,6134
"SAR1823,NA,putative_aminopeptidase",7279,8361,7632,7864,9693,8470
"SAR1824,NA,putative_membrane_protein",7218,10125,7034,7546,8814,8367
"SAR1825,NA,metallo-beta-lactamase_superfamily_protein",4985,5886,4335,5138,5062,4070
"SAR1826,NA,potential_ATP-binding_protein",3477,3828,2783,2920,4010,3298
"SAR1827,NA,transposase",4894,5558,3923,4512,5477,4755
"SAR1828,tnpR,resolvase",2721,3215,2227,2500,3021,2598
"SAR1829,blaI,penicillinase_repressor",1699,2008,1544,1390,1710,1526
"SAR1830,blaR1,beta-lactamase_regulatory_protein",5699,6062,5143,4825,6290,5372
"SAR1831,blaZ,beta-lactamase_precursor",32347,35954,29658,24544,33333,26544
"SAR1832,NA,hypothetical_protein",179,173,143,114,131,91
"SAR1834,NA,conserved_hypothetical_protein",36741,33084,28421,27927,34156,24970
"SAR1835,dat,putative_D-alanine_aminotransferase",23845,23350,19189,19968,18218,15740
"SAR1836,NA,putative_peptidase",44323,43599,36995,40173,34608,27524
"SAR1837,NA,putative_exported_protein",8128,14736,9245,16373,18064,19524
"SAR1838,NA,RNA_pseudouridine_synthase",6820,7893,5716,6688,7411,7104
"SAR1839,NA,putative_polysaccharide_biosynthesis_protein",13926,13030,11075,12557,14745,12217
"SAR1840,NA,putative_exported_protein",3824,3405,3052,2986,3983,3216
"SAR1841,sasC,putative_surface_anchored_protein",2628,2409,2062,2302,2413,1924
"SAR1842,NA,conserved_hypothetical_protein",4055,4348,3325,3245,3840,3201
"SAR1843,leuS,leucyl-tRNA_synthetase",26945,26239,21064,21508,28276,23679
"SAR1844,NA,putative_membrane_protein",4146,3785,2978,3250,5439,4291
"SAR1845,NA,conserved_hypothetical_protein",5744,4618,3700,4156,4909,3731
"SAR1846,NA,conserved_hypothetical_protein",3458,3152,2385,2867,2998,2793
"SAR1847,rot,repressor_of_toxins",25652,33635,23866,25035,29023,24751
"SAR1848,NA,conserved_hypothetical_protein",8637,10546,7383,8099,10310,8761
"SAR1849,NA,proline_dehydrogenase",526,2058,550,1034,1346,2629
"SAR1850,ribH,6,7-dimethyl-8-ribityllumazine_synthase",832,917,453,566,739,696
"SAR1851,ribA,riboflavin_biosynthesis_protein",1629,1615,924,1037,1433,1168
"SAR1852,ribE,riboflavin_synthase_alpha_chain",766,606,396,457,718,502
"SAR1853,ribD,bifunctional_riboflavin_biosynthesis_protein",2694,2080,1674,1496,2441,1334
"SAR1854,NA,hypothetical_protein",2034,2966,2138,3360,5402,4734
"SAR1855,arsR2,arsenical_resistance_operon_repressor_2",78,74,67,73,102,73
