Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
PA2745,0,0,5,6,4,2,5,6,4
predicted RNA,157,560,328,514,263,550,690,664,449
PA2746,19,20,19,26,20,14,27,27,21
PA2746a,17,26,21,21,13,21,22,21,18
PA2747,3,7,3,5,2,5,4,4,1
PA2747a,0,0,0,1,0,0,0,1,0
predicted RNA,27,41,40,19,15,19,57,41,34
PA2748,3,13,2,5,1,5,9,8,4
PA2749,9,50,45,26,17,57,42,57,36
PA2750,11,8,8,12,9,13,12,20,9
PA2750a,2,3,6,3,5,3,7,10,6
PA2751,4,14,14,5,10,7,9,15,6
PA2752,2,1,3,3,0,0,1,1,1
PA2753,1,3,0,0,2,2,3,1,0
PA2754,3,0,1,3,4,2,5,4,2
PA2754a,22,32,17,25,31,25,28,19,24
PA2755a,8,18,11,9,8,14,9,14,9
predicted RNA,219,337,237,214,216,217,228,182,257
predicted RNA,166,164,161,161,150,148,162,182,172
PA2755,2,5,6,4,3,1,6,2,2
PA2756,1,0,1,1,1,0,5,3,1
predicted RNA,270,378,335,300,227,225,257,349,252
PA2757,2,0,1,1,1,2,0,1,0
PA2758,4,7,7,7,5,8,8,4,5
PA2759,146,161,100,67,71,87,108,58,54
PA2760,79,278,195,136,109,110,190,85,188
predicted RNA,21,66,45,33,29,29,43,17,50
predicted RNA,3228,2650,2172,1289,1743,1420,1975,1681,1812
PA2761,334,873,653,406,439,378,666,284,622
PA2762,12,6,9,6,10,11,17,9,7
PA2763,2,6,2,5,3,3,2,6,3
PA2763a,2,0,3,3,2,0,0,1,3
PA2764,10,4,10,7,5,5,8,4,7
PA2765,21,29,29,15,22,29,42,33,37
PA2766,2,7,8,2,4,8,9,7,6
PA2767,1,5,3,3,2,3,3,3,3
PA2768,1,6,9,3,1,7,4,5,1
PA2769,0,2,4,3,1,0,4,0,2
PA2770,1,0,1,0,1,0,1,0,0
predicted RNA,9,8,6,6,6,7,7,7,6
predicted RNA,33,57,45,42,31,51,31,48,47
PA2771,22,42,18,32,33,27,37,40,28
PA2772,6,22,8,9,7,9,15,9,10
PA2772a,1,1,0,3,0,0,2,0,3
PA2773,1,2,5,6,4,4,12,7,3
PA2774,1,0,3,0,0,6,3,0,1
PA2775,2,0,2,0,0,2,0,3,0
PA2775.1,0,0,0,0,0,0,0,0,0
PA2776,27,107,46,72,41,65,84,63,52
PA2777,11,29,20,19,14,37,26,31,22
PA2778,0,3,1,0,1,3,7,3,1
predicted RNA,15,38,30,32,27,44,43,38,32
predicted RNA,397,964,724,715,628,821,1085,732,862
PA2779,4,9,9,7,9,6,11,5,4
PA2780,1,4,2,1,0,1,1,1,0
PA2781,0,0,1,0,0,0,0,0,0
predicted RNA,207,124,54,10,14,12,45,27,19
PA2782,3,2,2,4,3,6,8,5,4
predicted RNA,83,58,42,5,11,6,23,17,15
PA2783,10,18,13,6,10,11,22,18,12
predicted RNA,28,22,10,0,3,0,3,0,2
predicted RNA,6,2,1,0,0,0,0,0,0
predicted RNA,11,5,2,0,0,0,2,0,0
PA2784,10,19,9,14,10,13,8,16,14
PA2785,0,2,1,2,1,0,0,1,1
PA2786,1,3,1,4,1,5,2,0,2
PA2787,79,107,56,63,87,74,42,37,43
PA2788,34,72,45,58,28,43,97,46,61
PA2789,7,7,5,3,2,1,5,7,4
predicted RNA,36,107,56,107,52,126,81,82,74
PA2790,92,139,110,111,81,110,115,118,118
PA2791,3,4,3,4,2,0,1,2,2
PA2792,3,3,2,2,2,5,9,6,2
PA2793,4,8,7,4,5,7,3,4,5
PA2795,3,14,11,9,2,14,13,9,3
PA2796,6,10,17,4,10,10,8,9,11
PA2797,28,52,37,22,27,26,26,38,29
predicted RNA,745,1077,782,769,706,806,878,851,873
PA2798,11,16,15,5,4,11,8,11,9
PA2799,2,6,1,4,3,5,10,3,7
PA2800,51,108,87,89,50,90,113,94,82
predicted RNA,304,372,290,265,283,236,362,239,270
PA2801,10,7,6,6,8,9,11,7,13
PA2802,6,4,3,3,2,1,5,5,5
PA2803,2,7,6,11,7,9,6,8,5
PA2804,6,24,10,13,7,11,10,13,8
predicted RNA,640,835,728,663,503,568,527,513,529
PA2805,1,2,4,0,1,0,2,0,2
PA2806,15,14,23,23,11,15,19,33,25
PA2807,0,2,1,2,0,2,1,2,4
PA2808,3,8,2,2,5,5,11,7,3
PA2809,0,0,0,0,1,3,1,0,0
PA2810,3,10,7,10,7,14,4,7,8
predicted RNA,16,37,28,26,23,32,36,25,22
PA2811,10,13,9,7,7,8,6,4,5
PA2812,9,19,17,8,10,10,13,9,15
PA2813,5,18,9,3,6,5,7,11,5
predicted RNA,4,3,3,1,2,2,4,2,3
predicted RNA,136,145,139,93,105,106,157,152,118
PA2814,3,8,4,11,6,6,5,7,7
predicted RNA,1883,1949,1286,1513,1320,1273,1853,1302,1411
PA2815,23,47,46,25,29,26,36,32,30
PA2816,2,4,3,8,1,0,2,2,1
PA2817,2,8,7,14,6,14,9,18,1
PA2818,0,0,0,0,0,0,0,0,0
PA2819.1,0,0,0,0,0,0,0,0,0
predicted RNA,114,145,175,96,103,63,107,137,156
PA2819.2,0,0,0,0,0,0,0,0,0
PA2819.3,0,0,0,0,0,0,0,0,0
PA2820,0,3,8,1,4,3,2,1,3
PA2821,12,17,14,11,12,18,25,25,21
PA2822,32,59,51,52,37,49,59,60,54
PA2823,0,3,0,3,2,3,0,1,2
PA2824,27,63,43,36,28,37,45,55,35
predicted RNA,57,80,63,59,33,69,80,71,51
PA2825,15,46,38,25,20,35,47,30,26
PA2826,0,2,1,1,0,3,6,1,1
predicted RNA,24,51,50,39,33,47,42,44,40
predicted RNA,53,134,112,127,84,167,194,169,123
PA2827,1,0,2,2,0,0,2,2,0
PA2828,7,21,11,6,9,14,18,15,7
PA2829,4,15,24,12,9,23,17,35,13
predicted RNA,947,849,846,642,880,777,833,671,673
PA2830,3,7,11,15,7,7,14,17,13
PA2831,12,21,19,17,18,14,16,21,16
PA2832,1,2,2,5,3,1,4,4,2
predicted RNA,37,28,32,24,28,26,30,31,27
predicted RNA,39,39,26,24,27,22,26,22,27
PA2833,0,1,0,0,0,1,0,0,0
PA2834,3,27,16,20,12,21,17,20,25
PA2835,1,6,7,8,13,5,12,9,5
PA2836,2,7,7,5,4,6,7,6,2
PA2837,1,2,7,4,1,4,0,2,3
PA2838,7,18,18,14,8,14,15,11,15
PA2839,2,7,4,1,0,2,5,4,1
PA2840,6,11,9,8,6,12,9,19,7
predicted RNA,103,98,70,50,76,55,112,64,70
PA2841,19,20,11,15,17,22,30,18,23
predicted RNA,18,19,13,8,14,11,30,11,15
PA2842,16,20,17,8,11,7,22,13,19
PA2843,7,41,27,29,10,18,23,26,22
PA2844,3,3,4,1,6,2,6,3,0
PA2845,0,0,0,0,0,0,0,0,0
PA2846,13,38,28,20,21,18,28,33,23
PA2847,2,5,5,3,0,8,14,12,3
PA2848,1,1,8,2,2,1,2,6,3
predicted RNA,194,165,140,134,138,107,178,114,161
PA2849,5,3,4,6,1,5,10,1,3
PA2850,3,7,4,4,7,6,13,9,7
PA2851,2,5,0,2,2,3,2,4,4
PA2852,6,6,5,11,11,20,13,23,16
PA2852.1,0,1,1,0,0,0,0,0,1
PA2853,24,33,42,23,22,19,34,14,22
PA2854,45,85,87,81,61,86,113,88,79
predicted RNA,410,449,376,341,348,332,468,389,380
PA2855,12,32,27,33,22,32,35,48,34
predicted RNA,165,166,165,122,139,135,153,153,125
PA2856,6,10,13,8,5,10,8,13,8
PA2857,1,3,3,3,2,1,4,0,7
PA2858,10,20,28,15,13,17,20,22,23
PA2859,3,5,2,6,7,3,2,4,2
PA2860,9,13,15,17,10,17,18,21,12
PA2861,3,1,4,1,1,3,1,1,2
predicted RNA,1348,1679,1366,1286,1507,1385,1942,1192,1373
PA2862,6,11,12,12,2,11,14,7,18
PA2863,2,6,2,2,0,5,2,6,6
PA2864,1,1,1,0,0,3,0,0,0
predicted RNA,290,366,256,207,245,191,268,207,201
PA2865,3,6,4,7,6,11,10,16,15
predicted RNA,81,117,87,82,57,87,118,138,96
PA2866,6,11,8,17,5,5,8,3,3
predicted RNA,121,109,73,99,83,67,46,36,40
PA2867,4,10,12,7,9,11,14,16,11
predicted RNA,42,33,19,24,31,23,14,11,5
predicted RNA,74,49,35,51,55,42,30,14,29
PA2868,3,13,9,9,4,8,9,16,10
PA2869,6,22,30,22,13,23,33,31,28
PA2870,21,36,32,35,23,33,38,37,29
PA2871,0,8,2,10,1,6,6,6,7
predicted RNA,14,13,10,8,10,8,11,11,11
predicted RNA,7,7,9,5,5,5,7,6,7
PA2872,0,0,0,1,2,2,1,3,1
predicted RNA,44,43,48,41,26,32,46,42,34
PA2873,3,14,10,11,10,19,12,16,7
PA2874,0,2,0,1,0,3,1,0,1
PA2875,4,18,7,5,7,4,9,11,17
PA2876,1,6,7,3,5,4,3,6,6
PA2877,2,0,3,4,3,2,3,5,5
PA2878,7,18,20,17,7,16,19,27,18
PA2879,1,1,2,2,0,4,1,0,1
PA2880,0,0,1,4,0,0,3,1,3
PA2881,7,12,4,6,4,13,11,11,12
PA2882,5,9,11,9,5,11,12,13,6
predicted RNA,597,1045,965,1071,689,1077,858,1062,934
PA2883,0,5,1,1,1,1,4,2,1
PA2884,26,42,29,33,27,34,29,30,24
PA2885,5,8,10,6,3,10,4,10,4
PA2886,1,3,3,5,5,5,6,1,1
PA2887,0,2,2,3,1,0,1,1,3
PA2888,11,15,8,6,4,5,5,6,6
PA2889,5,16,20,11,5,7,17,17,14
PA2890,0,2,0,5,2,3,5,1,3
PA2891,0,8,0,4,3,5,3,4,4
PA2892,3,3,2,1,1,1,3,3,2
PA2893,25,48,41,41,26,43,43,45,42
PA2894,7,6,5,6,3,6,11,3,4
predicted RNA,1,3,3,3,1,2,2,2,2
PA2895,0,1,2,2,2,4,3,2,3
PA2896,0,2,1,1,1,3,4,0,4
predicted RNA,9,17,9,11,8,10,19,11,8
predicted RNA,839,1554,1178,1139,951,1155,1554,1411,1327
PA2897,20,36,39,23,17,38,38,35,35
PA2898,0,1,2,1,0,3,1,3,0
PA2899,1,4,0,0,3,3,1,4,5
predicted RNA,23,55,44,38,27,53,49,53,39
PA2900,3,6,6,8,2,10,11,9,7
PA2901,1,0,0,0,0,0,1,0,0
predicted RNA,14,16,15,10,10,12,16,10,11
PA2902,4,10,8,4,3,7,7,6,6
PA2903,1,4,5,0,1,1,6,7,4
PA2904,0,4,5,4,1,3,5,5,3
PA2905,0,0,0,2,0,0,0,3,0
PA2906,0,2,0,1,0,2,2,1,1
PA2907,0,3,0,3,2,0,0,3,2
PA2908,0,4,3,4,3,5,2,4,2
PA2909,0,1,1,1,1,0,4,2,2
PA2910,1,2,6,1,0,2,4,4,5
PA2911,12,36,31,21,13,25,30,32,27
PA2912,1,10,3,8,2,3,5,3,10
PA2913,7,8,9,5,6,10,11,9,3
PA2914,42,66,62,56,34,42,72,56,50
PA2915,12,32,24,39,24,38,57,59,29
PA2916,1,0,0,0,0,3,2,0,5
predicted RNA,59,56,24,16,33,16,25,9,14
PA2917,3,3,2,3,2,5,0,2,1
predicted RNA,181,115,144,63,84,45,84,55,87
PA2918,30,134,66,116,75,111,125,102,88
PA2919,24,80,71,81,39,70,70,56,56
PA2920,7,5,4,10,10,7,11,4,9
PA2921,1,4,0,0,1,2,2,1,2
PA2922,1,7,3,6,5,9,3,5,8
PA2923,0,3,1,1,1,0,1,0,0
PA2924,1,6,7,1,5,3,6,7,2
PA2925,4,15,17,10,2,14,17,7,8
PA2926,2,2,4,5,2,4,8,9,6
PA2927,8,10,7,6,10,3,9,6,6
PA2928,4,6,7,5,7,7,11,8,7
PA2929,0,0,0,3,1,1,3,2,1
PA2930,10,10,11,12,7,20,15,16,11
PA2931,1,2,1,4,4,4,4,1,1
PA2932,1,3,1,6,2,1,6,5,2
PA2933,4,6,3,7,8,3,5,9,1
PA2934,1,10,8,16,17,29,11,5,5
PA2935,0,0,0,0,0,2,1,1,0
PA2936,1,5,1,2,2,5,6,4,2
PA2937,2,6,3,3,3,4,3,6,8
PA2938,19,94,71,112,68,174,121,126,100
predicted RNA,653,956,464,454,415,445,992,490,610
PA2939,6,14,6,7,3,6,13,9,6
PA2940,16,26,18,15,13,13,26,24,21
PA2941,1,4,2,2,1,1,2,2,0
PA2942,4,6,2,2,1,6,5,1,4
PA2942.1,0,0,0,2,0,0,1,1,0
predicted RNA,19,37,55,16,35,25,33,26,22
PA2943,0,7,3,3,2,5,6,4,5
PA2944,8,22,20,15,11,16,18,21,17
PA2945,10,20,16,14,10,18,20,16,10
predicted RNA,17,35,33,25,17,26,25,35,22
predicted RNA,58,65,64,43,43,47,77,66,46
PA2946,2,5,4,6,1,4,9,7,4
PA2947,3,8,10,11,3,12,10,11,10
PA2948,2,8,8,8,6,5,11,8,5
PA2949,0,6,4,2,3,3,2,2,2
predicted RNA,570,507,396,297,361,270,357,300,346
PA2950,7,11,10,10,12,10,13,9,21
predicted RNA,3906,3181,2294,1975,2772,2050,2518,1924,2274
PA2951,9,4,6,4,3,2,7,6,5
PA2952,12,7,9,9,4,2,8,6,4
predicted RNA,978,822,775,507,586,490,767,556,698
PA2953,89,204,191,240,123,243,255,300,199
PA2954,7,11,5,7,7,7,9,10,4
predicted RNA,77,75,66,116,119,113,33,26,48
PA2955,2,3,2,0,3,1,2,2,1
predicted RNA,59,33,28,53,53,37,11,10,17
PA2956,3,6,7,1,2,4,3,4,1
PA2957,23,44,30,31,30,37,24,37,24
predicted RNA,50,41,34,27,35,21,21,25,32
PA2958,31,56,36,17,24,26,34,31,34
PA2958.1,28,25,25,14,15,15,12,14,15
PA2959,16,49,17,30,18,41,41,41,35
PA2960,4,6,5,4,4,6,3,7,5
PA2961,4,16,6,13,3,7,13,9,3
PA2962,0,0,1,0,0,0,0,0,0
PA2963,5,14,6,4,7,7,11,8,5
PA2964,0,2,0,0,0,0,3,0,0
PA2965,1,11,9,5,1,3,10,5,6
PA2966,2,6,6,1,4,1,5,1,1
PA2967,5,10,9,7,9,9,10,14,7
PA2968,1,2,9,4,8,5,4,3,2
PA2969,3,0,7,1,0,2,4,4,2
PA2970,1,2,1,1,0,2,0,1,0
PA2971,5,16,8,2,6,4,10,7,3
PA2972,9,22,22,17,11,13,15,12,18
PA2973,2,3,3,0,1,3,5,0,3
predicted RNA,88,153,105,103,121,123,101,122,100
predicted RNA,59,125,70,58,64,70,64,85,69
PA2974,0,2,0,2,2,2,0,0,0
PA2975,4,6,19,11,5,3,9,13,7
predicted RNA,1,4,2,3,2,2,2,3,2
predicted RNA,64,81,83,59,53,54,94,94,56
predicted RNA,452,1227,973,802,584,956,907,1151,935
PA2976,40,47,45,39,33,41,62,59,41
predicted RNA,64,94,72,66,59,79,82,93,56
PA2977,1,1,3,0,5,3,0,3,3
PA2978,0,6,8,2,4,7,9,9,3
PA2979,1,4,1,2,0,2,2,3,0
PA2980,2,3,2,6,1,2,8,5,2
predicted RNA,90,144,136,102,92,109,180,137,111
PA2981,3,11,12,5,8,8,11,7,1
PA2982,0,0,0,1,0,0,0,0,0
predicted RNA,15,11,8,4,7,5,10,9,7
predicted RNA,35,26,22,18,19,9,18,19,18
PA2983,1,2,1,0,1,0,0,3,2
PA2984,0,1,5,3,0,2,2,2,1
PA2985,2,3,2,0,1,0,0,3,1
PA2986,3,15,7,4,8,14,6,6,7
PA2987,9,12,14,7,9,13,13,18,6
PA2988,2,10,2,11,4,5,10,11,8
PA2989,1,4,1,2,2,2,2,0,2
predicted RNA,232,308,253,137,154,142,270,169,175
PA2990,43,42,35,35,36,24,45,29,18
predicted RNA,104,72,69,63,84,56,83,58,61
PA2991,26,66,39,24,31,33,51,40,28
predicted RNA,32,29,28,25,14,26,29,18,24
predicted RNA,33,23,24,20,25,21,27,20,22
PA2992,1,3,3,1,3,1,2,2,1
PA2993,1,3,4,3,1,12,3,3,5
PA2994,4,6,6,9,4,7,8,8,4
PA2995,1,5,1,2,1,5,3,2,4
PA2996,6,19,16,20,11,15,20,19,13
PA2997,5,10,4,9,7,6,12,7,1
PA2998,0,5,5,3,1,4,14,4,1
PA2999,31,88,69,64,50,72,91,94,72
predicted RNA,10,10,9,5,6,6,8,6,4
PA3000,19,49,31,79,24,69,36,47,32
predicted RNA,1324,1146,909,798,1105,814,1278,909,936
PA3001,7,6,7,3,12,9,13,10,13
PA3002,3,18,27,18,12,14,15,17,21
PA3003,10,15,15,14,6,10,19,12,18
PA3004,4,8,11,6,6,8,10,9,7
predicted RNA,6,10,9,6,7,5,8,7,6
predicted RNA,43,31,38,24,21,30,30,31,28
predicted RNA,37,33,27,21,18,24,40,28,32
PA3005,2,6,5,4,2,4,2,2,3
predicted RNA,112,116,93,64,96,69,103,75,76
PA3006,5,1,4,3,0,0,1,3,3
PA3007,15,30,16,12,14,8,22,19,26
PA3008,7,13,9,8,8,7,12,15,14
PA3009,11,39,29,23,15,25,32,26,22
predicted RNA,34,86,61,53,42,38,51,73,55
PA3010,0,8,9,7,8,9,4,8,3
predicted RNA,31,46,25,35,29,35,44,46,31
predicted RNA,108,158,96,88,85,78,133,114,122
PA3011,5,17,18,11,8,31,25,14,17
predicted RNA,197,237,173,166,187,181,199,194,196
predicted RNA,111,146,122,97,110,106,142,109,100
predicted RNA,57,63,40,36,39,28,53,49,49
predicted RNA,15,16,15,11,12,14,16,10,11
predicted RNA,173,215,169,142,174,196,177,169,159
PA3012,5,12,8,2,2,8,9,16,10
predicted RNA,41,70,44,49,56,49,51,53,40
PA3013,28,50,55,42,25,59,75,86,37
predicted RNA,2343,2298,1608,1155,1572,1342,2095,1401,1757
PA3014,18,37,32,20,25,40,36,47,26
PA3015,6,6,1,4,0,4,1,3,3
predicted RNA,36,35,38,22,27,21,26,29,28
PA3016,28,35,26,28,26,30,33,25,22
PA3017,7,5,7,6,2,6,7,8,3
PA3018,42,70,53,65,42,64,79,63,65
PA3019,7,14,20,12,11,20,14,18,11
PA3020,13,33,15,21,14,11,17,24,20
PA3021,27,33,26,19,22,17,18,11,23
PA3022,6,8,4,4,6,5,9,13,8
PA3023,2,3,3,4,6,5,9,12,4
PA3024,0,2,1,4,3,2,2,4,2
PA3025,1,3,0,2,6,2,1,2,1
PA3026,4,10,13,6,4,3,5,9,9
PA3027,8,19,11,12,4,13,20,13,10
PA3028,5,7,7,5,3,4,9,8,7
predicted RNA,64,84,54,54,58,55,104,69,61
PA3029,4,9,7,4,3,5,7,7,3
predicted RNA,68,100,71,65,89,73,108,104,76
PA3030,0,3,0,2,2,2,2,5,1
predicted RNA,3553,4275,3418,3255,2843,2534,2950,2851,2747
PA3031,15,28,28,14,10,12,17,24,18
PA3031.1,0,5,1,2,1,4,4,2,2
PA3032,4,9,10,8,6,12,15,10,6
PA3033,1,2,0,1,1,2,2,0,0
PA3034,1,0,2,1,0,1,0,2,1
PA3035,12,28,30,17,13,18,32,19,18
PA3036,7,14,9,4,7,11,9,9,5
PA3037,10,19,17,12,15,18,19,17,19
predicted RNA,1642,1182,974,1005,1126,957,1569,1393,988
PA3038,15,18,24,13,9,30,34,29,20
PA3039,6,9,5,13,5,12,2,16,6
predicted RNA,2041,2705,1727,2274,1878,1828,2396,1816,1814
PA3040,15,8,7,8,6,2,7,9,8
PA3041,2,4,3,8,1,0,4,2,5
PA3042,1,0,0,1,2,0,2,0,2
PA3043,3,8,3,8,5,11,14,10,1
PA3044,16,33,33,25,17,30,41,35,24
PA3045,0,0,0,0,0,0,0,0,1
PA3046,0,4,1,2,1,3,1,2,1
predicted RNA,187,233,209,153,163,141,207,169,208
PA3047,12,25,29,22,10,19,28,41,26
PA3048,18,28,28,11,13,28,26,29,11
predicted RNA,8651,18696,14449,13203,9813,13905,22588,20652,15047
PA3049,8,19,24,11,8,13,20,14,14
PA3050,2,21,15,18,13,13,28,33,13
PA3051,6,19,24,9,7,19,17,21,13
PA3052,13,34,27,17,13,27,24,18,18
predicted RNA,76,88,80,74,82,96,144,97,80
PA3053,4,9,6,5,9,16,11,15,8
predicted RNA,9,14,19,13,12,14,19,19,11
PA3054,8,20,12,14,6,15,8,16,16
PA3055,12,11,8,8,8,12,10,15,7
PA3056,0,0,0,0,1,0,0,2,0
PA3057,0,0,1,0,0,0,0,0,0
PA3058,17,25,18,19,14,21,17,17,13
PA3059,6,33,8,18,4,21,14,13,15
PA3060,7,15,21,16,7,18,14,18,16
PA3061,0,5,5,2,0,2,6,3,1
PA3062,0,0,0,0,0,0,0,0,0
PA3063,0,4,8,7,2,2,3,4,5
PA3064,10,20,27,17,15,22,23,23,21
PA3065,0,0,0,0,0,0,0,0,0
PA3066,0,0,0,0,0,0,0,0,0
PA3067,0,0,0,0,0,0,0,0,0
predicted RNA,553,616,397,381,368,320,545,330,348
PA3068,30,41,32,26,19,43,40,31,24
predicted RNA,1400,1501,858,867,923,790,1267,707,928
PA3069,4,10,9,5,1,5,3,11,4
PA3070,7,9,10,12,4,5,17,13,10
predicted RNA,49,52,42,33,17,22,38,38,32
PA3071,8,17,7,17,6,9,10,12,10
PA3072,0,0,0,0,0,1,0,0,0
PA3073,3,6,3,1,4,9,8,11,9
PA3074,7,18,9,18,14,14,19,16,16
PA3075,4,31,21,20,15,24,17,30,22
PA3076,3,10,14,4,5,7,8,14,3
PA3077,4,5,8,4,3,8,5,5,8
PA3078,18,28,28,31,20,27,26,18,23
predicted RNA,2822,1815,1668,1269,1508,1245,1561,1181,1298
PA3079,28,39,27,20,23,19,36,34,32
PA3080,13,32,22,17,8,23,33,14,14
PA3081,4,16,16,11,13,17,12,7,11
PA3082,16,45,38,26,18,28,33,48,37
PA3083,18,26,13,25,18,31,35,35,19
predicted RNA,131,225,180,141,134,166,244,165,161
predicted RNA,122,162,117,141,102,126,198,127,133
predicted RNA,277,356,264,289,232,313,340,315,261
PA3084,2,5,3,3,0,5,4,4,4
predicted RNA,30,76,49,48,39,54,49,51,47
predicted RNA,72,136,99,85,75,106,145,113,89
PA3085,0,0,0,0,2,0,2,2,2
PA3086,1,1,1,1,0,0,3,1,0
PA3087,0,4,5,7,1,9,7,6,2
PA3088,3,10,9,8,3,8,7,9,10
PA3089,13,20,16,7,4,11,20,12,9
PA3089a,6,42,17,36,23,35,52,39,30
predicted RNA,651,714,471,263,222,276,484,304,344
PA3091,8,9,6,5,1,4,8,9,12
PA3092,7,25,14,11,14,23,22,30,19
PA3093,2,5,1,0,3,0,0,0,4
PA3094,41,54,39,71,60,50,70,73,35
PA3094.1,0,0,0,0,0,0,0,0,0
predicted RNA,544,611,657,476,489,289,375,489,452
PA3094.2,0,0,0,0,0,0,0,0,0
PA3094.3,0,1,0,0,0,0,0,0,0
PA3095,0,0,3,0,2,0,3,1,1
PA3096,0,0,0,1,0,0,0,2,0
PA3097,4,4,8,4,1,6,2,5,3
PA3098,0,1,0,0,0,0,2,0,0
PA3099,0,1,1,6,1,1,0,0,0
PA3100,1,0,0,0,0,0,0,0,0
PA3101,1,1,1,1,0,0,0,1,0
predicted RNA,96,98,84,68,87,65,76,57,75
PA3102,5,12,6,10,6,8,12,22,14
PA3103,7,8,7,1,3,9,5,6,4
predicted RNA,5,9,5,4,5,3,4,5,3
PA3104,74,74,49,27,29,24,49,30,32
predicted RNA,110,182,144,111,102,120,137,177,110
predicted RNA,31,49,34,35,36,28,32,26,20
PA3105,19,44,32,18,31,36,46,33,35
PA3106,3,8,5,5,5,9,10,7,7
predicted RNA,47,70,64,66,61,71,79,58,53
PA3107,3,5,5,11,6,11,5,7,1
predicted RNA,4,5,4,3,3,3,5,4,4
predicted RNA,18,26,19,16,15,16,19,15,19
PA3108,17,14,30,25,22,38,28,28,18
predicted RNA,341,383,342,270,280,282,462,330,344
PA3109,2,0,4,12,3,6,6,3,3
PA3110,6,5,5,10,4,9,17,11,5
predicted RNA,47,50,38,45,32,44,51,40,40
predicted RNA,139,189,158,135,121,142,170,170,138
PA3111,3,18,11,8,4,10,9,8,8
PA3112,2,6,7,8,5,4,3,6,6
predicted RNA,85,69,57,48,55,61,70,67,69
PA3113,0,0,0,1,1,3,3,3,1
predicted RNA,112,99,90,83,98,64,108,109,66
PA3114,3,4,2,4,0,3,4,6,8
predicted RNA,3670,3699,2599,1819,1930,1862,2713,1944,2088
PA3115,31,72,35,43,32,47,63,48,54
PA3116,5,9,5,9,9,14,9,10,3
predicted RNA,10649,4754,4308,3973,4957,2300,3186,2232,3566
PA3117,6,6,3,3,7,6,9,5,2
PA3118,15,29,22,18,13,18,28,21,25
PA3119,2,3,0,1,2,0,2,0,0
PA3120,6,7,8,12,12,4,10,10,16
PA3121,19,12,13,10,4,6,14,10,12
PA3122,111,160,117,139,106,132,159,156,134
PA3123,0,1,2,2,0,0,6,1,0
PA3124,0,4,4,0,0,2,5,8,2
PA3125,6,21,11,17,10,20,23,26,12
predicted RNA,314,444,428,1198,463,1205,954,1496,703
PA3126,2,9,5,5,2,5,3,3,6
PA3127,1,0,2,2,1,0,2,4,4
predicted RNA,47,42,26,25,18,25,31,27,18
PA3128,10,2,2,3,3,3,4,3,2
PA3129,10,10,21,13,9,17,16,14,18
PA3130,0,1,1,1,0,1,0,2,0
PA3131,1,0,1,0,0,0,1,3,0
PA3132,0,0,0,0,0,0,0,0,0
PA3133,0,1,1,2,0,3,1,1,2
PA3133.1,0,0,0,0,0,0,0,0,0
PA3133.2,0,0,0,0,0,0,0,0,0
predicted RNA,288,280,327,227,250,231,234,241,274
PA3133.3,0,0,0,0,0,0,0,0,0
PA3133.4,0,0,0,0,0,0,0,0,0
PA3134,3,7,6,6,3,5,7,3,5
predicted RNA,19,10,8,8,5,6,10,6,10
predicted RNA,13,11,11,9,7,5,8,5,8
PA3135,8,6,6,9,7,4,9,11,5
PA3136,2,12,6,7,5,7,9,8,6
PA3137,23,57,43,45,33,50,54,76,59
PA3138,8,17,16,11,12,27,16,15,9
predicted RNA,395,399,270,234,294,241,338,229,253
PA3139,14,28,21,21,15,24,42,31,13
PA3139.1,0,1,0,2,0,1,0,0,0
PA3140,0,1,3,1,1,0,1,2,1
PA3141,28,42,31,11,11,9,21,15,5
PA3142,0,0,0,0,0,0,0,0,0
PA3143,0,0,0,0,0,0,0,0,0
PA3145,0,0,0,0,0,0,0,0,0
PA3146,0,0,0,0,0,0,0,0,0
PA3147,0,0,0,0,0,0,0,0,0
PA3148,0,0,0,0,0,0,0,0,0
PA3149,0,0,0,0,0,0,0,0,0
PA3150,0,0,0,0,0,0,0,0,0
PA3151,0,0,0,0,0,0,0,0,0
PA3152,0,0,0,0,0,0,0,0,0
PA3153,0,0,0,0,0,0,0,0,0
PA3154,0,0,0,0,0,0,0,0,0
PA3155,0,0,0,0,0,0,0,0,0
PA3156,0,0,0,0,0,0,0,0,0
PA3157,0,0,0,0,0,0,0,0,0
PA3158,0,0,0,0,0,0,0,0,0
PA3159,0,0,0,0,0,0,0,0,0
PA3160,0,0,0,0,0,0,0,0,0
PA3161,2,3,2,2,1,1,1,2,2
PA3162,8,16,15,18,8,10,22,16,17
PA3163,9,21,17,14,10,16,22,18,16
PA3165,3,5,3,1,1,10,7,2,2
PA3166,8,13,11,6,6,8,13,9,2
PA3167,9,19,13,11,15,14,16,20,9
PA3168,16,38,23,22,15,22,22,23,18
PA3169,3,6,9,8,5,7,13,12,6
PA3170,7,23,19,17,10,17,18,32,27
predicted RNA,60,89,61,42,62,57,73,70,47
PA3171,1,5,6,2,2,4,5,8,6
predicted RNA,38,34,24,24,23,12,32,16,13
