,PAO1_control,PAO1_T2.5
predicted RNA,8467,12536
PA2300,15,58
PA2301,14,8
PA2302,8,14
PA2303,9,10
PA2304,29,25
PA2305,7,12
PA2306,176,142
PA2307,43,45
PA2308,8,14
PA2309,41,56
PA2310,31,31
PA2311,18,5
PA2312,56,44
PA2312a,18,27
PA2314,7,5
PA2315,3,4
PA2316,22,12
PA2317,306,232
PA2318,2023,2010
PA2319,697,667
predicted RNA,4238,4007
predicted RNA,5244,4148
PA2320,39,54
PA2321,149,212
PA2322,139,111
PA2323,28,23
predicted RNA,2.61E+03,2436
predicted RNA,2714,2874
PA2324,12,15
PA2325,9,14
PA2326,11,12
PA2327,1,3
PA2328,5,6
PA2329,10,4
PA2330,0,5
PA2331,16,12
predicted RNA,3596,4859
PA2332,85,70
PA2333,30,34
PA2334,13,13
PA2335,17,19
PA2336,14,11
PA2337,128,105
PA2338,27,30
PA2339,8.2E+01,85
PA2340,73,67
PA2341,2.3E+01,25
PA2342,2E+01,23
PA2343,5,4
PA2344,70,69
PA2345,11,12
PA2346,2.5E+01,15
PA2347,1.1E+01,7
PA2348,14,10
PA2349,49,46
PA2350,24,21
PA2351,8.2E+01,84
PA2352,34,51
PA2353,16,11
PA2354,10,13
PA2355,3,9
PA2356,5,2
PA2357,11,14
PA2358,14,11
PA2359,28,27
PA2360,10,10
PA2361,12,13
PA2362,1,4
PA2363,1,6
predicted RNA,4856,4480
PA2364,5,21
predicted RNA,8673,5873
PA2365,50,63
PA2366,96,106
PA2367,101,91
PA2368,0,8
PA2369,9,15
PA2370,2,15
PA2371,119,100
predicted RNA,14140,6200
PA2373,38,36
PA2374,92,123
PA2375,307,239
PA2376,33,18
PA2377,50,59
PA2378,9,13
PA2379,17,25
PA2380,24,40
PA2381,102,99
PA2382,417,598
PA2383,11,27
PA2384,15,38
PA2385,50,60
PA2386,54,47
PA2387,53,70
PA2388,396,367
PA2389,14,10
PA2390,28,29
PA2391,17,11
PA2392,27,25
PA2393,57,44
PA2394,59,74
PA2395,36,37
PA2396,48,22
PA2397,553,463
PA2398,393,321
PA2399,25,23
PA2400,23,22
PA2402,9,10
PA2403,160,131
PA2404,31,19
PA2405,21,25
PA2406,10,21
PA2407,20,23
PA2408,1,2
PA2409,8,7
PA2410,22,37
PA2411,1,5
PA2412,39,58
PA2413,12,8
PA2414,22,35
PA2415,30,38
PA2416,35,37
PA2417,27,35
PA2418,62,50
PA2419,73,69
PA2420,38,40
PA2421,55,61
PA2422,95,76
PA2423,587,591
predicted RNA,9431,8538
PA2424,9,13
PA2425,3,9
PA2426,42,43
PA2427,7,4
PA2428,16,6
PA2429,269,246
PA2430,4,10
PA2431,8,13
PA2432,40,49
predicted RNA,6526,7587
PA2433,225,212
PA2434,159,127
PA2435,5,4
PA2436,91,88
PA2437,1,1
PA2438,5,11
PA2439,0,0
PA2440,30,41
PA2441,330,410
PA2442,10,21
predicted RNA,3467,3282
PA2443,4,20
predicted RNA,2545,1796
PA2444,82,91
predicted RNA,1195,1130
predicted RNA,1725,1632
PA2445,27,35
predicted RNA,5522,4496
predicted RNA,3507,3548
predicted RNA,1113,1618
predicted RNA,1572,2222
predicted RNA,3264,4242
predicted RNA,3230,4215
PA2446,17,43
predicted RNA,5392,6352
PA2447,11,7
PA2448,37,46
PA2449,106,98
PA2450,12,15
predicted RNA,3780,3596
PA2453,237,223
PA2454,89,110
PA2455,232,244
PA2457,193,141
PA2458,1024,1033
PA2459,5,7
PA2460,10,9
PA2461,2,6
predicted RNA,5589,3031
PA2462,44,44
PA2463,43,52
PA2464,43,51
PA2465,11,7
PA2466,79,74
PA2467,5,12
PA2468,7,4
PA2469,76,124
PA2470,9,18
PA2471,11,8
PA2472,21,18
PA2473,31,23
PA2474,177,134
PA2475,4,8
PA2476,61,85
PA2477,44,65
PA2478,1,1
PA2479,101,74
PA2480,57,66
PA2481,86,83
predicted RNA,893,596
PA2482,39,52
PA2483,232,231
PA2484,175,221
PA2485,104,107
PA2486,44,60
PA2487,103,138
PA2488,32,25
PA2489,41,48
PA2490,121,130
PA2491,90,66
PA2492,22,26
predicted RNA,105,71
PA2493,22,20
predicted RNA,35,32
PA2494,78,67
PA2495,22,23
predicted RNA,44,51
PA2496,12,31
PA2497,2,3
PA2498,24,25
PA2499,2,6
PA2500,404,382
PA2501,36,60
PA2502,97,77
PA2503,287,458
PA2504,30,36
PA2505,16,14
PA2506,16,8
PA2507,7,7
PA2508,15,7
PA2509,2,2
PA2510,15,13
PA2511,25,20
PA2512,42,40
PA2513,128,119
PA2514,35,42
PA2515,6,31
PA2516,3,17
PA2517,19,21
PA2518,23,18
PA2519,26,19
PA2520,43,43
PA2521,24,20
PA2522,1,7
PA2523,11,7
PA2524,138,146
PA2525,20,29
PA2526,30,36
PA2527,111,105
PA2528,21,25
PA2529,19,36
PA2530,17,24
PA2531,27,48
PA2532,18,2
predicted RNA,3267,3284
PA2533,19,21
PA2534,16,20
PA2535,46,46
PA2536,49,41
PA2537,19,21
PA2538,7,8
PA2539,7,4
PA2540,19,23
PA2541,0,0
PA2542,50,46
PA2543,15,26
PA2544,15,9
PA2545,81,72
PA2546,130,100
PA2547,161,163
PA2548,35,29
PA2549,63,53
PA2550,50,43
PA2551,571,367
PA2552,80,86
predicted RNA,2202,1545
PA2553,23,34
predicted RNA,2206,1268
PA2554,6,10
predicted RNA,825,404
PA2555,22,27
predicted RNA,1398,750
predicted RNA,7172,5020
PA2556,43,45
PA2557,72,78
PA2558,149,151
PA2559,186,216
PA2559a,837,648
PA2560,143,157
PA2561,274,285
PA2562,124,139
PA2563,1986,1673
PA2564,16,22
PA2565,22,25
PA2566,17,49
PA2567,93,95
PA2568,1039,915
PA2569,35,36
predicted RNA,24284,20451
PA2570,23,95
PA2570.1,651,434
PA2571,539,421
predicted RNA,5614,5533
PA2572,854,769
PA2573,376,398
PA2574,557,462
predicted RNA,3417,2352
PA2575,95,85
PA2576,5,12
PA2577,176,170
PA2578,146,121
PA2579,234,210
PA2580,259,186
PA2581,124,91
PA2581.1,168,92
PA2582,47,51
predicted RNA,6754,5241
PA2583,69,52
predicted RNA,5078,4759
PA2583.1,71,59
PA2584,59,37
PA2585,85,103
PA2586,15,55
predicted RNA,4778,3670
predicted RNA,10986,9515
PA2587,43,33
predicted RNA,3421,3273
predicted RNA,3714,4117
predicted RNA,3632,4163
PA2588,55,52
predicted RNA,3908,4019
PA2589,330,291
PA2590,33,30
PA2591,501,419
predicted RNA,6463,5271
predicted RNA,6332,4416
PA2592,78,86
predicted RNA,5429,4218
PA2593,41,37
PA2594,179,202
PA2595,165,136
PA2596,23,35
PA2597,55,80
PA2598,21,27
PA2599,78,58
PA2600,33,23
PA2601,1,1
PA2602,78,76
PA2603,64,83
PA2603.1,50,15
PA2604,137,111
PA2605,2,8
PA2606,27,31
PA2607,54,22
PA2608,55,45
PA2609,44,46
PA2610,419,355
PA2611,43,46
PA2612,40,37
predicted RNA,2914,2512
PA2613,11,17
PA2614,130,116
predicted RNA,3731,3036
PA2615,30,24
predicted RNA,3489,2789
PA2616,341,250
predicted RNA,3114,2948
PA2617,303,265
PA2618,189,155
predicted RNA,5357,5377
predicted RNA,14295,12681
PA2619,252,263
PA2620,50,83
PA2621,171,268
PA2622,443,455
PA2623,317,463
predicted RNA,59339,42486
PA2624,230,195
PA2625,282,313
PA2626,92,99
PA2627,89,109
PA2628,247,251
PA2629,111,112
PA2630,55,85
PA2631,12,21
predicted RNA,5342,4270
PA2632,46,34
PA2633,69,85
predicted RNA,8869,7053
PA2634,152,130
predicted RNA,4836,3802
predicted RNA,3884,3487
predicted RNA,5705,4412
PA2635,164,175
PA2636,167,172
PA2637,633,515
predicted RNA,12280,10474
PA2638,167,163
PA2639,255,221
predicted RNA,2829,2686
predicted RNA,5763,5484
PA2640,83,101
PA2641,32,40
predicted RNA,8235,7582
PA2642,29,44
predicted RNA,3232,3752
predicted RNA,6610,5746
PA2643,157,128
PA2644,22,37
PA2645,35,36
PA2646,96,78
predicted RNA,5287,5007
PA2647,65,59
predicted RNA,5050,4623
predicted RNA,4790,4521
predicted RNA,3958,3659
PA2648,36,40
predicted RNA,5311,4622
predicted RNA,3625,3789
predicted RNA,4446,3916
PA2649,30,21
predicted RNA,4157,4107
predicted RNA,4240,3965
PA2650,81,79
PA2651,60,35
PA2652,38,29
PA2653,94,104
PA2654,22,21
PA2655,179,208
PA2656,9,10
PA2657,27,39
PA2658,14,14
predicted RNA,8305,6606
PA2659,33,46
PA2660,17,16
PA2661,50,78
PA2662,51,41
predicted RNA,369,470
predicted RNA,315,383
PA2663,4,1
PA2664,29,15
predicted RNA,49,79
predicted RNA,166,174
PA2665,37,25
PA2666,340,191
predicted RNA,5109,3171
PA2667,317,235
PA2669,134,108
PA2670,9,3
PA2671,54,51
PA2672,11,5
PA2673,0,7
PA2674,56,29
PA2675,29,17
PA2676,9,9
PA2677,42,38
PA2678,365,248
PA2679,7,19
PA2680,13,23
PA2681,12,6
PA2682,62,56
PA2683,6,19
PA2684,9,11
PA2685,51,51
PA2686,83,61
PA2687,33,43
PA2688,100,100
PA2689,72,84
PA2690,695,665
predicted RNA,5679,4492
predicted RNA,4224,4002
PA2691,67,65
PA2692,12,24
PA2693,76,110
PA2694,11,7
PA2695,8,5
PA2696,12,9
PA2697,17,31
PA2698,17,14
PA2699,11,16
PA2700,19,23
PA2701,12,16
PA2702,73,72
PA2703,22,24
PA2704,18,27
PA2705,109,74
PA2706,154,167
PA2707,24,28
PA2708,13,11
PA2709,43,50
predicted RNA,3583,2995
predicted RNA,2495,1805
PA2710,24,28
PA2711,40,42
PA2712,134,140
PA2713,36,40
PA2714,32,24
PA2715,151,62
PA2716,6,7
PA2717,33,23
PA2718,20,32
PA2719,13,16
PA2720,57,34
PA2721,33,48
PA2722,21,17
PA2723,31,10
PA2724,1,1
PA2725,79,66
PA2726,86,128
PA2729,5,8
PA2730,20,25
predicted RNA,4637,3180
predicted RNA,4839,3260
PA2732,77,72
predicted RNA,5632,3477
predicted RNA,5084,3270
PA2733,96,88
PA2734,77,83
predicted RNA,3727,2899
predicted RNA,3874,2917
PA2735,85,71
predicted RNA,4553,3239
predicted RNA,3910,3174
predicted RNA,3870,2918
PA2736,193,115
PA2736.1,122,103
predicted RNA,26067,19235
PA2737,171,287
PA2738,98,223
PA2739,77,68
predicted RNA,2998,2450
PA2740,28,28
predicted RNA,2934,2373
predicted RNA,36167,27121
PA2741,336,588
PA2742,407,718
PA2743,132,337
PA2744,117,105
PA2744.1,45,39
PA2745,9,10
PA2746,633,568
predicted RNA,3481,4545
PA2746a,588,770
predicted RNA,4511,5438
predicted RNA,18131,19625
PA2747,38,119
PA2747a,6,14
PA2748,125,137
PA2749,326,270
PA2750,178,157
PA2750a,18,41
PA2751,209,210
PA2752,16,31
PA2753,24,27
PA2754,28,103
PA2754a,1916,2065
PA2755a,140,156
predicted RNA,5233,5073
predicted RNA,3968,3292
PA2755,107,76
PA2756,73,70
predicted RNA,7051,5035
PA2757,30,20
PA2758,77,81
predicted RNA,13735,11394
PA2759,12064,10435
predicted RNA,6875,4623
PA2760,234,205
PA2761,918,759
PA2762,89,92
PA2763,101,47
PA2763a,3990,3226
predicted RNA,10024,8167
PA2764,125,126
PA2765,43,69
PA2766,38,46
PA2767,51,50
PA2768,208,258
PA2769,428,564
PA2770,37,50
PA2771,318,302
PA2772,430,300
PA2772a,50,32
PA2773,256,172
PA2774,28,20
PA2775,20,38
PA2775.1,15,10
PA2776,285,267
PA2777,92,77
PA2778,6,8
PA2779,73,84
predicted RNA,6991,5119
predicted RNA,4822,6111
PA2780,60,71
predicted RNA,3547,4785
PA2781,8,20
PA2782,18,22
PA2783,44,48
PA2784,123,104
PA2785,111,64
PA2786,34,37
PA2787,490,658
PA2788,60,73
predicted RNA,5814,5261
PA2789,17,10
PA2790,168,122
PA2791,689,447
PA2792,107,83
PA2793,76,86
predicted RNA,6315,3758
PA2795,72,82
PA2796,92,94
PA2797,707,621
predicted RNA,7892,6819
PA2798,140,123
predicted RNA,6383,5729
PA2799,78,121
PA2800,1326,932
predicted RNA,7145,5978
PA2801,313,315
PA2802,98,95
PA2803,36,66
PA2804,39,48
predicted RNA,18731,15846
PA2805,40,112
PA2806,147,146
PA2807,33,34
PA2808,372,419
PA2809,6,9
PA2810,36,38
PA2811,114,156
PA2812,148,134
predicted RNA,949,952
predicted RNA,964,885
predicted RNA,854,766
PA2813,97,98
predicted RNA,1180,1137
PA2814,75,80
predicted RNA,3486,4099
PA2815,52,68
predicted RNA,4520,4758
predicted RNA,4723,4895
predicted RNA,4170,4267
predicted RNA,4295,4421
PA2816,97,108
PA2817,593,483
PA2818,23,33
PA2819.1,17,33
predicted RNA,10119,8738
PA2819.2,430,368
PA2819.3,615,498
PA2820,44,32
PA2821,153,193
PA2822,361,367
PA2823,18,19
PA2824,96,88
PA2825,306,219
PA2826,25,9
PA2827,17,39
PA2828,65,67
PA2829,102,92
PA2830,88,86
predicted RNA,5718,5280
predicted RNA,2545,3419
PA2831,99,92
PA2832,112,100
PA2833,12,0
PA2834,108,131
PA2835,21,27
PA2836,33,30
PA2837,10,14
PA2838,65,70
PA2839,15,22
PA2840,22,25
predicted RNA,2061,2434
predicted RNA,2458,2902
predicted RNA,4699,4370
PA2841,58,86
PA2842,38,47
PA2843,124,119
PA2844,8,8
PA2845,8,3
PA2846,79,104
PA2847,11,13
PA2848,7,13
PA2849,53,55
PA2850,107,93
PA2851,22,125
PA2852,93,102
PA2852.1,93,84
PA2853,462,1892
PA2854,359,313
predicted RNA,5759,5315
predicted RNA,5619,5032
PA2855,317,341
PA2856,62,70
PA2857,24,23
PA2858,18,27
PA2859,68,79
PA2860,359,358
predicted RNA,3193,3165
PA2861,30,41
PA2862,69,65
PA2863,15,19
PA2864,31,67
predicted RNA,6321,5255
PA2865,37,27
PA2866,124,105
PA2867,18,27
predicted RNA,4002,4332
predicted RNA,2169,2098
predicted RNA,1851,1897
PA2868,65,87
PA2869,75,73
PA2870,55,69
PA2871,17,24
PA2872,0,10
PA2873,31,34
PA2874,0,1
PA2875,25,33
PA2876,19,17
PA2877,13,8
PA2878,114,113
PA2879,4,3
PA2880,35,35
PA2881,43,40
PA2882,43,59
predicted RNA,14555,11663
PA2883,73,87
PA2884,207,231
PA2885,144,127
PA2886,7,6
PA2887,7,10
PA2888,19,18
PA2889,96,74
PA2890,2,3
PA2891,4,2
PA2892,14,12
PA2893,203,196
PA2894,41,40
PA2895,17,17
PA2896,4,9
PA2897,154,139
predicted RNA,3977,3802
predicted RNA,4543,4043
predicted RNA,3829,4484
PA2898,14,9
PA2899,6,6
PA2900,21,25
PA2901,8,11
PA2902,56,83
PA2903,9,15
PA2904,7,10
PA2905,0,0
PA2906,0,2
PA2907,10,6
PA2908,4,13
PA2909,2,8
PA2910,37,33
PA2911,103,110
PA2912,13,21
PA2913,19,28
PA2914,92,104
PA2915,23,36
PA2916,8,2
PA2917,1,9
PA2918,930,848
PA2919,686,726
PA2920,5,11
predicted RNA,4954,4689
PA2921,1,11
PA2922,10,11
PA2923,17,23
PA2924,56,42
PA2925,104,80
PA2926,70,76
PA2927,24,26
PA2928,11,11
PA2929,10,11
PA2930,40,42
PA2931,21,22
PA2932,16,13
PA2933,6,12
PA2934,63,52
PA2935,17,6
PA2936,18,25
predicted RNA,5259,7240
PA2937,13,32
PA2938,676,725
predicted RNA,11144,6400
PA2939,77,91
PA2940,116,119
PA2941,9,6
PA2942,4,5
PA2942.1,11,17
PA2943,19,22
PA2944,12,15
PA2945,60,62
PA2946,9,30
PA2947,7,19
PA2948,30,56
PA2949,53,56
PA2950,71,90
predicted RNA,4670,3546
predicted RNA,6336,5224
predicted RNA,13959,14119
PA2951,42,88
PA2952,26,75
predicted RNA,5259,4628
PA2953,482,433
predicted RNA,6464,5163
PA2954,42,51
PA2955,23,22
PA2956,17,17
PA2957,990,993
predicted RNA,3521,4041
PA2958,257,254
PA2958.1,1463,1023
PA2959,261,268
PA2960,176,125
PA2961,111,86
PA2962,0,4
PA2963,47,39
PA2964,4,4
PA2965,13,24
PA2966,248,745
PA2967,103,128
PA2968,26,32
PA2969,34,18
PA2970,133,255
PA2971,163,130
PA2972,244,216
PA2973,18,25
predicted RNA,4516,3319
predicted RNA,5509,3648
PA2974,16,20
PA2975,32,44
predicted RNA,10431,7080
PA2976,50,56
predicted RNA,6293,4652
predicted RNA,4236,3263
predicted RNA,2453,2245
PA2977,13,14
PA2978,36,42
PA2979,11,22
PA2980,180,124
predicted RNA,4663,3937
PA2981,74,72
PA2982,6,20
PA2983,0,14
PA2984,4,5
PA2985,25,24
PA2986,49,55
PA2987,43,45
PA2988,29,21
PA2989,36,34
PA2990,669,651
PA2991,336,278
PA2992,56,64
PA2993,16,24
PA2994,23,22
PA2995,26,25
predicted RNA,2173,1947
predicted RNA,1917,1427
PA2996,84,85
predicted RNA,2094,1911
PA2997,19,33
predicted RNA,1970,1541
PA2998,27,24
predicted RNA,1636,1436
predicted RNA,1453,1401
PA2999,48,54
predicted RNA,3298,3043
PA3000,374,290
PA3001,51,70
predicted RNA,7977,7379
PA3002,55,52
PA3003,168,108
PA3004,127,138
PA3005,20,17
PA3006,39,76
predicted RNA,13993,15245
PA3007,305,221
PA3008,796,684
PA3009,207,218
PA3010,61,61
PA3011,32,47
predicted RNA,5849,3990
predicted RNA,3575,3361
predicted RNA,4879,3810
PA3012,116,106
PA3013,239,225
predicted RNA,5190,4254
PA3014,81,94
predicted RNA,8700,7580
PA3015,52,43
PA3016,89,97
PA3017,61,48
predicted RNA,5563,4989
PA3018,259,211
PA3019,77,74
PA3020,187,209
PA3021,707,803
PA3022,112,123
predicted RNA,3339,4415
PA3023,28,28
PA3024,6,7
PA3025,2,1
PA3026,11,17
PA3027,77,72
PA3028,10,10
PA3029,33,26
PA3030,23,23
predicted RNA,52215,41502
PA3031,324,535
PA3031.1,363,241
PA3032,59,66
PA3033,24,19
PA3034,34,19
PA3035,33,67
PA3036,114,86
PA3037,231,192
predicted RNA,864,364
PA3038,150,119
PA3039,54,47
predicted RNA,18706,16129
PA3040,158,214
PA3041,43,50
PA3042,12,22
PA3043,36,36
PA3044,61,54
PA3045,16,11
PA3046,49,35
predicted RNA,2804,2578
predicted RNA,3036,2539
PA3047,122,124
PA3048,48,59
predicted RNA,164674,159924
PA3049,946,1450
PA3050,127,116
PA3051,345,389
PA3052,73,104
PA3053,238,202
PA3054,110,122
PA3055,157,119
PA3056,6,13
PA3057,33,0
PA3058,120,93
PA3059,26,21
PA3060,37,41
PA3061,18,14
PA3062,2,11
PA3063,9,11
PA3064,35,35
PA3065,7,17
PA3066,0,5
PA3067,1,12
predicted RNA,2497,2589
PA3068,28,38
predicted RNA,3175,2357
PA3069,39,38
PA3070,35,45
PA3071,22,25
PA3072,0,3
PA3073,20,28
PA3074,11,17
PA3075,21,23
PA3076,31,35
PA3077,65,39
PA3078,84,61
PA3079,111,81
PA3080,73,82
PA3081,72,74
PA3082,43,45
PA3083,46,62
predicted RNA,4327,3122
predicted RNA,3879,3351
PA3084,16,37
PA3085,37,38
PA3086,6,8
PA3087,3,10
PA3088,26,20
PA3089,48,38
PA3089a,32,36
PA3091,11,16
PA3092,42,43
PA3093,12,13
PA3094,83,116
PA3094.1,91,68
predicted RNA,10571,9009
PA3094.2,98,89
PA3094.3,176,202
PA3095,4,15
PA3096,1,3
PA3097,7,18
PA3098,0,6
PA3099,13,14
PA3100,2,2
predicted RNA,5558,3727
PA3101,30,25
PA3102,29,29
PA3103,19,24
PA3104,86,95
predicted RNA,6220,5828
PA3105,89,95
PA3106,131,114
PA3107,30,27
PA3108,114,110
predicted RNA,2878,2908
predicted RNA,3342,3159
predicted RNA,3345,2898
predicted RNA,3826,3540
predicted RNA,3278,3822
PA3109,36,48
PA3110,51,40
PA3111,13,20
predicted RNA,4975,4778
PA3112,61,79
predicted RNA,3488,4043
predicted RNA,7955,6556
PA3113,6,6
PA3114,13,19
predicted RNA,7469,6373
PA3115,74,111
predicted RNA,4103,4071
predicted RNA,5520,5207
predicted RNA,13465,10416
PA3116,103,84
PA3117,39,42
predicted RNA,2335,1796
predicted RNA,1468,1665
predicted RNA,2398,2123
predicted RNA,3510,3144
PA3118,201,183
PA3119,5,11
PA3120,44,66
PA3121,25,30
PA3122,909,899
PA3123,11,21
PA3124,6,11
PA3125,50,51
predicted RNA,33451,29920
PA3126,82,162
PA3127,9,16
PA3128,32,42
PA3129,64,56
PA3130,12,11
PA3131,4,5
PA3132,0,1
PA3133,12,16
PA3133.1,8,17
PA3133.2,7,29
predicted RNA,6092,5390
PA3133.3,14,14
PA3133.4,47,34
PA3134,47,29
predicted RNA,2542,2251
predicted RNA,1521,1547
predicted RNA,1870,1968
PA3135,29,26
PA3136,46,37
PA3137,247,252
PA3138,54,50
predicted RNA,6915,6106
PA3139,106,89
predicted RNA,4755,3777
PA3139.1,204,140
PA3140,48,39
PA3141,1121,877
PA3142,1273,1033
PA3143,192,157
PA3145,695,441
PA3146,110,63
PA3147,311,263
PA3148,58,58
PA3149,37,41
PA3150,32,43
PA3151,40,34
PA3152,41,58
PA3153,47,42
PA3154,38,28
PA3155,114,98
PA3156,125,125
PA3157,319,213
PA3158,97,91
PA3159,85,107
PA3160,10,19
PA3161,142,173
PA3162,115,254
PA3163,633,531
PA3165,20,21
PA3166,65,72
PA3167,61,62
PA3168,155,167
PA3169,26,28
PA3170,17,29
PA3171,37,40
PA3172,52,69
PA3173,354,320
PA3174,32,22
PA3175,55,83
PA3176,26,36
PA3177,148,128
PA3178,124,133
PA3179,42,50
PA3180,347,342
PA3181,198,216
predicted RNA,2870,4356
predicted RNA,1504,2271
PA3182,12,19
predicted RNA,1068,2546
PA3183,47,50
predicted RNA,5153,7377
PA3184,402,357
PA3185,45,91
predicted RNA,5837,3416
PA3186,54,46
PA3187,50,62
predicted RNA,2675,1830
PA3188,169,138
PA3189,48,38
predicted RNA,11552,8945
PA3190,43,96
PA3191,14,15
PA3192,10,9
predicted RNA,2309,2819
PA3193,6,10
predicted RNA,2634,2976
predicted RNA,1979,2754
predicted RNA,4045,4387
PA3194,7,21
predicted RNA,4216,5864
predicted RNA,7200,7700
PA3195,816,898
PA3196,381,427
PA3197,40,51
PA3198,53,54
PA3199,144,105
PA3200,253,216
predicted RNA,5686,4063
PA3201,203,141
predicted RNA,4802,4232
PA3202,22,22
PA3203,30,23
PA3204,28,22
PA3205,53,36
PA3206,58,64
PA3207,131,164
PA3208,39,60
PA3209,1,4
PA3210,54,34
PA3211,22,17
PA3212,38,25
PA3213,18,19
PA3214,23,24
PA3215,321,284
PA3216,157,135
PA3217,33,36
PA3219,21,13
PA3220,32,35
PA3221,73,88
predicted RNA,2279,1589
PA3222,28,19
PA3223,163,90
PA3224,4100,3326
PA3225,18,51
PA3226,56,44
PA3227,207,164
PA3228,47,40
PA3229,198,215
PA3230,50,40
PA3231,49,28
predicted RNA,4273,3791
PA3232,23,22
PA3233,28,25
PA3234,83,80
predicted RNA,1700,677
predicted RNA,1587,592
PA3235,60,42
predicted RNA,5460,2678
PA3236,34,18
PA3237,240,178
PA3238,411,293
PA3239,154,139
PA3240,210,142
PA3241,16,13
PA3242,12,12
PA3243,490,392
predicted RNA,5709,5556
PA3244,318,254
PA3245,63,50
PA3246,139,146
PA3247,79,119
PA3248,175,222
PA3249,60,63
PA3250,82,91
PA3251,46,32
PA3252,115,78
PA3253,82,51
PA3254,26,21
PA3255,313,335
PA3256,102,98
predicted RNA,5785,4917
PA3257,50,70
PA3258,303,312
PA3259,4,5
PA3260,1E+00,2
PA3261,2564,2416
PA3262,19,25
predicted RNA,4664,3757
PA3262.1,484,334
predicted RNA,3344,2994
PA3262.2,479,363
PA3263,129,149
PA3264,100,76
PA3265,169,119
PA3266,96,587
PA3267,250,220
PA3268,52,38
PA3269,15,26
PA3270,17,23
PA3271,51,72
PA3272,11,16
PA3273,2,4
PA3274,328,329
PA3275,154,253
PA3276,67,113
PA3277,12,20
PA3278,36,33
predicted RNA,8892,7403
PA3279,41,39
PA3280,152,132
PA3281,36,26
PA3282,5,7
PA3283,11,16
PA3284,9,6
PA3285,37,38
PA3286,21,35
PA3287,83,119
PA3288,244,223
PA3289,198,136
PA3290,94,95
PA3291,0,3
PA3292,28,12
PA3293,28,36
PA3294,23,28
PA3295,8,18
predicted RNA,2283,2173
PA3296,22,23
PA3297,31,36
PA3298,143,137
PA3299,148,127
predicted RNA,2577,2382
predicted RNA,2293,2176
predicted RNA,4012,3524
PA3300,93,63
PA3301,31,35
predicted RNA,2882,2468
PA3302,55,41
PA3303,43,42
PA3304,49,25
PA3303a,36,35
PA3304.1,40,39
PA3305,14,15
PA3305.1,133,1009
predicted RNA,241557,216359
PA3306,73,90
PA3307,14,12
PA3308,26,30
predicted RNA,57948,71171
PA3309,160,355
PA3310,1370,1488
PA3311,36,39
predicted RNA,3365,4172
PA3312,189,196
PA3313,34,40
PA3314,23,23
PA3315,3,9
predicted RNA,3724,4492
PA3316,3,3
PA3317,21,26
PA3318,25,20
PA3319,43,46
PA3320,4,3
PA3321,35,35
PA3322,67,77
PA3323,21,23
PA3324,70,89
PA3325,866,764
PA3326,130,196
PA3327,22,25
PA3328,9,6
predicted RNA,1860,1228
PA3329,39,30
predicted RNA,1884,1221
PA3330,6,6
PA3331,35,36
predicted RNA,1449,1346
predicted RNA,2270,1581
predicted RNA,3310,1940
PA3332,17,11
PA3333,18,22
predicted RNA,5040,2842
PA3334,26,19
PA3335,14,20
PA3336,398,506
PA3337,163,124
PA3338,97,65
PA3339,225,182
PA3340,30,45
predicted RNA,5728,4354
predicted RNA,3733,3334
predicted RNA,6178,6124
PA3341,7835,7720
predicted RNA,3169,3206
PA3342,572,396
PA3343,12,29
predicted RNA,4242,3284
PA3344,19,16
PA3345,43,50
PA3346,47,63
predicted RNA,5384,4991
predicted RNA,7172,7563
PA3347,22,39
PA3348,62,63
PA3349,51,79
PA3350,1411,1241
PA3351,57,105
PA3352,41,58
PA3353,172,184
PA3354,604,734
PA3355,91,77
predicted RNA,1615,1415
PA3356,114,102
PA3357,29,39
PA3358,11,12
PA3359,98,72
PA3360,12,15
PA3361,342,423
PA3362,6326,4714
predicted RNA,1955,1379
PA3363,226,166
PA3364,17,20
PA3365,5,13
predicted RNA,7575,6203
PA3366,59,77
PA3366.1,26,65
PA3367,104,130
PA3368.1,109,135
PA3368,33,41
PA3369,20,28
PA3370,38,94
PA3371,180,144
PA3372,191,232
PA3373,7,21
PA3374,63,49
PA3375,13,8
PA3376,10,24
PA3377,22,39
PA3378,27,35
PA3379,3,5
PA3380,0,2
PA3381,5,7
PA3382,14,14
PA3383,20,9
PA3384,16,12
predicted RNA,35237,32737
PA3385,30,132
PA3386,44,44
PA3387,26,15
PA3388,32,39
PA3390,36,25
PA3389,27,36
predicted RNA,77,54
PA3391,45,33
predicted RNA,20,0
PA3392,63,57
predicted RNA,94,66
PA3393,19,31
PA3394,34,39
PA3395,9,6
PA3396,10,23
PA3397,38,41
predicted RNA,2774,3662
PA3398,294,304
PA3399,158,152
PA3400,48,39
PA3401,39,43
PA3402,25,27
PA3403,67,88
PA3403a,22,27
PA3404,45,50
PA3405,4,6
PA3406,3,4
PA3407,251,283
PA3408,56,41
PA3409,2,3
PA3410,25,24
PA3411,2E+00,10
PA3412,3,4
PA3413,88,73
PA3414,451,633
PA3415,15,14
predicted RNA,4837,6336
PA3416,1E+01,20
predicted RNA,5027,5668
PA3417,6,14
PA3418,17,43
predicted RNA,4707,4840
predicted RNA,11151,10345
PA3419,11,8
PA3420,8,6
PA3421,17,12
PA3422,119,111
PA3423,83,60
PA3424,54,50
PA3425,462,438
PA3426,62,68
PA3427,25,27
PA3428,16,16
