Synonym,Expression.4C10,Expression.4N10,Expression.4A10,Expression.4A50,Expression.4A90
SPD_1598,7,9,6,5,9
SPD_1599,4,5,4,4,3
SPD_1600,5,4,4,3,4
SPD_1601,5,4,5,5,5
SPD_1602,2,3,4,2,2
SPD_1603,15,16,17,12,15
SPD_1604,20,17,16,17,23
predicted RNA,101,138,106,179,132
SPD_1605,16,33,21,36,30
SPD_1606,2,3,3,3,1
SPD_1607,1,2,3,1,1
SPD_1608,1,2,1,1,1
SPD_1609,4,5,4,4,4
SPD_1610,1,1,1,1,0
SPD_1611,0,0,0,0,0
SPD_1612,2,2,1,1,0
SPD_1613,2,3,2,2,1
SPD_1614,1,1,1,1,1
SPD_1615,1,2,1,0,0
SPD_1616,2,3,3,3,1
SPD_1617,3,5,2,3,2
SPD_1618,4,5,2,2,5
predicted RNA,93,95,83,124,64
SPD_1619,65,61,51,51,43
SPD_1620,97,85,75,69,78
SPD_1621,19,20,19,15,10
SPD_1622,32,28,32,26,18
SPD_1623,16,13,11,11,7
SPD_1624,26,23,20,26,10
SPD_1625,25,22,17,18,12
SPD_1626,224,178,170,131,127
predicted RNA,121,87,95,58,70
SPD_1628,1,2,1,1,1
SPD_1629,0,1,1,0,0
SPD_1630,29,29,28,30,37
SPD_1631,29,29,18,31,31
SPD_1632,335,366,448,244,172
SPD_1633,359,430,492,293,213
predicted RNA,49,79,92,40,45
SPD_1634,309,388,450,266,188
SPD_1635,34,32,40,30,23
SPD_1636,8,10,9,7,5
SPD_1637,8,11,11,15,10
SPD_1638,1,2,1,1,3
SPD_1639,16,13,7,7,8
SPD_1640,3,4,3,2,3
predicted RNA,47,65,80,42,21
SPD_1642,84,80,92,57,36
SPD_1643,157,130,138,93,62
SPD_1644,99,75,83,52,40
SPD_1645,59,44,46,32,24
SPD_1646,16,24,19,18,7
SPD_1647,180,221,186,181,126
SPD_1648,0,1,0,0,0
SPD_1649,17,19,11,18,6
SPD_1650,24,21,18,18,7
SPD_1651,23,25,22,24,9
SPD_1652,57,58,49,53,29
SPD_1653,26,27,23,13,9
SPD_1654,121,122,121,92,72
SPD_1655,247,231,236,174,154
SPD_1656,289,304,303,220,205
SPD_1657,121,119,110,89,73
SPD_1658,205,209,168,157,112
SPD_1659,181,167,136,129,134
SPD_1660,130,123,96,84,76
SPD_1661,122,108,86,80,91
SPD_1662,120,122,76,76,88
SPD_1663,6,7,6,5,3
SPD_1664,1,2,2,1,1
SPD_1665,8,11,5,6,5
SPD_1667,86,101,126,85,87
SPD_1668,107,117,147,104,103
SPD_1669,56,64,73,51,44
SPD_1670,82,77,85,68,60
SPD_1671,256,232,228,188,222
SPD_1672,60,57,53,58,61
SPD_1673,6,9,10,7,8
SPD_1674,2,4,4,1,4
SPD_1675,3,3,3,2,2
SPD_1676,3,4,2,2,3
SPD_1677,4,6,5,4,4
SPD_1678,3,4,4,3,4
SPD_1679,15,20,13,13,13
SPD_1680,21,28,20,21,19
predicted RNA,6,2,55,68,16
predicted RNA,41,29,28,173,72
SPD_1704,38,47,30,33,26
SPD_1705,4,6,4,4,4
SPD_1706,193,192,146,174,216
SPD_1707,9,6,11,9,26
SPD_1708,1,2,0,1,2
SPD_1709,252,253,188,240,166
SPD_1710,491,447,261,429,346
SPD_1711,2,2,2,2,3
SPD_1712,45,42,41,39,28
SPD_1713,150,153,135,116,136
SPD_1714,232,211,179,201,251
SPD_1715,105,87,69,77,91
SPD_1716,24,21,19,29,25
SPD_1717,96,87,82,105,144
SPD_1718,57,41,36,71,89
SPD_1719,3,2,3,2,2
SPD_1720,3,2,2,2,1
SPD_1721,1,1,0,0,0
SPD_1723,4,2,2,0,2
SPD_1725,134,129,130,160,141
SPD_1726,395,347,463,637,584
SPD_1727,538,465,611,816,881
SPD_1728,261,243,246,380,367
SPD_1729,429,467,375,762,711
SPD_1731,2,5,4,5,5
SPD_1732,2,4,3,2,4
SPD_1733,2,4,3,3,4
SPD_1734,0,1,1,0,1
SPD_1735,3,4,3,3,4
SPD_1736,2,2,1,2,3
SPD_1737,492,612,710,492,640
SPD_1738,125,118,151,101,119
SPD_1739,165,166,161,143,165
SPD_1740,87,100,91,91,99
predicted RNA,112,111,115,132,134
SPD_1741,152,152,157,170,178
SPD_1742,82,73,76,101,92
SPD_1743,86,83,74,95,86
SPD_1744,3,3,4,2,3
SPD_1745,35,37,23,30,31
SPD_1746,74,72,61,61,68
SPD_1747,140,171,122,151,155
SPD_1748,37,41,27,45,38
SPD_1749,14,16,15,15,15
SPD_1750,9,10,12,13,11
SPD_1751,4,5,6,8,5
SPD_1752,5,6,7,8,6
SPD_1753,10,11,14,13,13
SPD_1754,13,14,20,17,17
SPD_1755,10,12,16,14,11
SPD_1756,3,5,5,7,2
SPD_1757,53,74,60,93,68
SPD_1758,82,105,134,128,117
SPD_1759,67,81,81,88,89
SPD_1761,72,57,62,56,78
SPD_1762,40,34,37,31,34
SPD_1763,77,65,77,64,64
SPD_1764,68,64,77,67,49
SPD_1765,79,92,84,91,80
SPD_1766,58,57,57,63,68
SPD_1767,51,50,45,55,55
SPD_1768,110,101,96,84,91
SPD_1770,2,1,1,1,1
SPD_1769,241,273,203,170,152
SPD_1771,42,49,45,43,50
SPD_1772,20,37,10,30,12
SPD_1773,103,87,104,76,78
SPD_1774,237,283,230,189,190
SPD_1775,83,87,68,78,73
predicted RNA,125,135,117,105,188
SPD_1776,109,149,125,104,152
SPD_1777,50,55,52,51,45
SPD_1778,135,165,159,137,156
SPD_1779,130,153,139,135,145
SPD_1780,78,96,75,74,79
SPD_1781,96,103,82,83,80
SPD_1782,51,58,44,44,44
SPD_1783,5,7,5,6,8
SPD_1784,10,17,11,15,17
SPD_1785,7,9,6,8,9
SPD_1786,30,36,34,23,34
SPD_1787,39,45,51,32,45
SPD_1788,37,40,33,30,31
SPD_1789,83,35,22,70,68
SPD_1790,212,137,145,194,182
predicted RNA,120,99,100,173,119
SPD_1791,57,52,54,38,34
SPD_1792,3,4,5,4,3
SPD_1793,130,233,77,188,72
SPD_1794,42,42,32,33,23
SPD_1796,26,26,19,19,16
SPD_1795,153,76,23,67,66
SPD_1797,194,288,223,262,253
SPD_1798,7,7,11,11,15
SPD_1799,12,15,19,22,30
SPD_1800,5,7,10,10,13
SPD_1801,6,8,10,16,20
SPD_1802,5,6,8,14,13
SPD_1803,7,8,10,15,21
predicted RNA,15,16,20,107,23
SPD_1818,31,13,7,15,8
SPD_1819,109,98,78,88,75
predicted RNA,187,153,129,127,156
SPD_1820,202,164,147,174,150
SPD_1821,33,32,32,27,22
SPD_1822,20,19,16,17,18
SPD_1823,1711,1760,1354,1072,790
SPD_1824,4,5,7,2,3
SPD_1826,11,11,9,4,6
SPD_1827,4,4,2,1,2
SPD_1828,6,5,4,10,6
SPD_1829,26,26,21,20,24
SPD_1830,27,46,76,13,8
SPD_1831,24,48,99,14,7
SPD_1832,30,64,148,23,19
SPD_1833,25,44,102,23,14
SPD_1834,277,522,702,382,403
SPD_1835,24,22,9,12,13
SPD_1836,122,132,83,102,69
SPD_1837,199,200,114,135,126
SPD_1838,494,474,237,443,324
SPD_1839,142,138,87,91,67
SPD_1840,1,2,1,1,1
SPD_1841,0,0,0,0,0
SPD_1842,1,2,0,0,1
SPD_1843,0,1,0,0,1
SPD_1844,1,2,1,1,1
SPD_1845,1,1,0,1,1
SPD_1846,2,3,0,1,1
SPD_1847,0,1,0,0,0
SPD_1848,44,32,24,35,28
SPD_1849,104,125,133,117,127
SPD_1850,83,89,87,86,121
SPD_1851,53,48,60,74,85
SPD_1852,26,25,21,30,29
SPD_1853,220,237,202,216,186
SPD_1854,27,26,22,22,26
SPD_1855,0,0,0,0,0
SPD_1856,0,0,0,0,0
SPD_1857,0,1,0,0,0
SPD_1858,0,0,0,0,0
SPD_1859,1,1,0,1,0
SPD_1860,1,0,1,0,0
SPD_1861,2,3,1,1,2
SPD_1862,1,1,0,0,1
SPD_1863,1,2,1,1,2
SPD_1864,180,170,169,172,167
SPD_1865,213,598,445,421,279
SPD_1866,196,278,248,208,178
SPD_1867,102,122,106,83,83
SPD_1868,100,60,61,39,29
SPD_1869,29,25,24,18,17
SPD_1871,12,8,14,2,3
SPD_1873,8,6,7,0,3
SPD_1874,315,167,240,65,54
SPD_1875,4,5,5,5,4
SPD_1876,8,7,12,9,8
SPD_1877,23,24,31,29,23
SPD_1878,13,14,21,19,23
predicted RNA,5,5,55,92,23
predicted RNA,30,29,36,178,70
SPD_1895,165,138,80,129,100
SPD_1896,274,240,131,183,147
SPD_1897,235,293,173,208,148
SPD_1898,12,6,5,7,11
SPD_1899,12,5,6,16,15
SPD_1900,29,38,44,25,28
SPD_1901,1,2,1,2,3
SPD_1902,63,69,87,57,61
SPD_1903,62,74,65,68,72
SPD_1904,45,53,36,51,62
SPD_1905,130,124,101,126,128
SPD_1906,0,1,1,0,1
SPD_1907,185,175,200,162,260
SPD_1908,107,106,100,100,98
SPD_1909,71,63,71,54,60
SPD_1910,2,19,3,6,3
SPD_1911,0,3,0,0,2
SPD_1912,1,2,0,0,1
SPD_1913,1,3,2,2,2
SPD_1914,0,2,1,1,1
SPD_1916,1,1,1,0,0
SPD_1917,0,0,1,1,1
SPD_1918,222,293,173,224,173
predicted RNA,259,289,203,271,222
SPD_1919,213,271,199,230,171
SPD_1920,54,67,72,68,69
SPD_1921,64,66,73,73,52
SPD_1922,87,71,73,74,66
SPD_1923,118,99,86,89,82
SPD_1924,34,38,34,29,34
SPD_1925,94,111,101,98,111
SPD_1926,248,276,149,244,169
SPD_1927,102,116,80,96,91
SPD_1928,355,363,252,274,375
SPD_1929,37,40,27,35,34
SPD_1930,3,4,2,2,4
SPD_1931,15,30,19,21,13
SPD_1932,27,29,27,17,14
SPD_1933,40,42,33,28,31
SPD_1934,229,365,179,204,169
SPD_1935,31,41,29,30,28
SPD_1936,19,26,19,16,15
SPD_1937,18,18,14,13,15
SPD_1938,25,28,25,22,18
SPD_1939,1,1,0,1,1
SPD_1940,75,94,83,71,69
SPD_1941,85,98,70,77,76
SPD_1942,3,3,1,1,3
SPD_1943,59,50,39,41,37
SPD_1944,17,26,26,22,21
SPD_1945,6,8,9,8,6
SPD_1946,9,12,19,15,14
SPD_1947,8,12,16,15,12
SPD_1948,6,9,12,10,4
SPD_1949,5,6,6,4,6
SPD_1950,58,50,47,52,61
SPD_1951,0,0,0,0,0
SPD_1952,2,3,2,1,2
SPD_1953,2,2,1,0,1
SPD_1954,1,0,2,0,0
SPD_1955,0,0,0,0,0
SPD_1956,29,27,26,30,32
SPD_1957,36,49,58,31,31
SPD_1958,37,51,60,36,32
SPD_1959,29,41,42,30,24
SPD_1960,39,38,41,27,32
SPD_1961,26,29,26,17,22
SPD_1962,56,62,58,45,45
SPD_1963,546,323,515,414,677
SPD_1964,151,85,129,115,96
SPD_1965,2,4,4,1,2
SPD_1966,1,2,0,0,0
SPD_1967,0,1,0,0,0
SPD_1968,50,82,113,6,4
predicted RNA,110,127,142,18,9
SPD_1969,493,668,686,86,40
SPD_1970,406,586,602,68,34
predicted RNA,84,126,127,13,7
SPD_1971,241,420,389,41,23
predicted RNA,283,556,457,50,25
SPD_1972,168,356,285,36,19
SPD_1973,58,83,62,10,8
SPD_1974,55,109,96,14,6
predicted RNA,56,101,92,10,11
SPD_1976,229,228,297,226,379
SPD_1977,49,72,101,67,110
SPD_1978,29,50,67,42,58
SPD_1979,39,62,93,56,80
SPD_1981,6,4,7,3,3
SPD_1982,21,21,27,10,18
SPD_1983,0,0,0,0,0
SPD_1984,187,275,114,162,95
SPD_1985,3,5,6,5,4
SPD_1986,5,5,8,5,4
SPD_1987,3,4,5,4,3
SPD_1988,4,5,5,4,3
SPD_1989,6,9,10,4,5
SPD_1990,5,7,8,4,4
SPD_1991,7,12,15,7,6
SPD_1992,6,6,8,6,9
SPD_1993,3,6,5,4,3
SPD_1994,5,10,9,6,6
SPD_1995,3,6,6,5,6
SPD_1996,9,24,15,18,16
predicted RNA,110,116,99,93,88
predicted RNA,308,324,251,317,229
SPD_1997,54,61,67,63,58
SPD_1998,28,29,33,27,31
SPD_1999,36,36,32,39,28
SPD_2000,42,37,35,37,44
SPD_2001,0,0,0,0,0
SPD_2002,91,113,107,80,71
SPD_2003,74,73,66,70,42
SPD_2004,72,75,64,62,42
SPD_2005,83,85,66,67,47
SPD_2006,64,50,33,56,38
SPD_2007,3,6,3,4,3
SPD_2009,32,84,53,91,55
SPD_2010,93,94,105,37,36
predicted RNA,230,205,246,72,67
SPD_2011,168,167,180,49,53
SPD_2012,312,207,241,69,78
predicted RNA,668,367,415,165,190
SPD_2013,632,382,374,206,194
predicted RNA,141,101,78,51,60
SPD_2014,112,101,97,60,47
SPD_2015,201,121,125,100,93
SPD_2016,148,103,105,69,64
SPD_2017,110,129,131,103,88
SPD_2018,38,48,44,44,33
SPD_2019,32,40,45,30,27
SPD_2020,38,44,49,43,31
SPD_2021,37,46,49,30,27
SPD_2022,88,84,82,74,56
SPD_2023,33,34,32,31,20
SPD_2024,13,13,16,13,10
SPD_2025,24,24,25,21,23
SPD_2026,8,9,8,7,8
SPD_2027,17,19,20,25,24
SPD_2028,7,6,2,4,5
SPD_2029,52,61,80,122,102
SPD_2030,76,98,117,122,136
predicted RNA,94,120,120,164,166
SPD_2031,113,132,140,197,220
SPD_2032,133,145,145,162,199
SPD_2033,396,869,396,540,408
SPD_2034,0,1,0,0,0
SPD_2035,0,1,0,0,0
SPD_2036,39,47,27,49,48
SPD_2037,19,13,13,17,14
SPD_2038,3,3,0,2,1
predicted RNA,104,32,14,38,51
SPD_2041,369,292,339,283,373
predicted RNA,533,372,403,368,544
SPD_2042,549,416,499,416,613
SPD_2043,603,506,599,537,653
SPD_2044,8,12,16,16,14
SPD_2045,23,33,49,41,44
SPD_2046,13,19,33,22,25
SPD_2047,14,19,31,28,26
SPD_2048,22,37,51,43,43
SPD_2049,14,22,27,22,24
SPD_2050,19,29,33,37,40
SPD_2051,24,33,37,38,48
SPD_2052,30,25,28,27,45
SPD_2053,55,46,24,47,43
SPD_2054,43,39,28,37,41
SPD_2055,181,272,166,295,282
SPD_2056,51,61,55,71,102
SPD_2057,105,98,85,148,191
SPD_2058,11,12,12,18,22
SPD_2060,3,3,2,5,5
SPD_2063,3,4,8,6,8
SPD_2064,4,5,6,6,11
SPD_2065,8,7,8,8,13
SPD_2067,9,9,8,10,12
SPD_2068,515,419,434,268,343
SPD_2069,375,328,307,245,312
predicted RNA,3,3,11,275,735
SpSL1_30,0,2,21,1697,3831
SpSL1_31,0,1,22,2191,4318
SpSL1_32,0,1,12,2625,5864
SpSL1_33,0,1,9,2978,11545
SpSL1_34,1,1,7,4312,14820
SpSL1_35,1,1,6,3440,12726
SpSL1_36,1,2,4,3178,9614
SpSL1_37,1,1,7,4181,13596
SpSL1_38,1,4,8,6919,24086
SpSL1_39,1,1,6,4431,17862
SpSL1_40,0,2,4,3335,11641
predicted RNA,0,1,3,3353,10691
predicted RNA,0,6,6,98,396
predicted RNA,0,1,1,98,223
predicted RNA,0,0,0,46,369
predicted RNA,0,0,1,51,211
predicted RNA,0,0,1,53,196
predicted RNA,0,2,3,103,198
predicted RNA,0,0,2,219,600
predicted RNA,0,0,0,29,180
predicted RNA,0,0,0,100,550
predicted RNA,0,1,1,43,213
predicted RNA,0,0,0,33,183
predicted RNA,0,1,1,48,180
SpSL1_41,0,0,2,1856,7619
SpSL1_42,0,2,3,2677,8854
predicted RNA,0,1,1,78,311
predicted RNA,0,0,0,76,390
predicted RNA,0,5,1,81,237
SpSL1_43,0,2,2,1864,6652
SpSL1_44,0,2,2,1539,5736
predicted RNA,0,4,3,78,234
predicted RNA,0,1,2,43,294
predicted RNA,0,4,2,146,196
predicted RNA,0,13,8,220,309
predicted RNA,0,1,1,71,451
SpSL1_45,0,6,4,2279,11357
SpSL1_46,0,5,5,3179,14272
SpSL1_47,0,2,2,1172,6268
SpSL1_48,0,1,2,1716,12312
SpSL1_49,0,5,3,2136,10401
predicted RNA,0,6,3,60,229
predicted RNA,0,6,4,49,269
SpSL1_50,0,7,73,98,107
predicted RNA,0,21,132,27,14
predicted RNA,0,1,1,72,495
predicted RNA,0,1,2,109,163
predicted RNA,0,1,1,35,180
SpSL1_01,0,3,31,41,50
predicted RNA,0,2,3,37,256
predicted RNA,0,5,7,56,216
predicted RNA,0,1,0,26,185
predicted RNA,0,2,1,35,214
SpSL1_02,0,1,11,55,119
SpSL1_03,0,3,23,99,232
SpSL1_04,0,1,17,72,154
SpSL1_05,1,34,1185,1552,805
SpSL1_06,0,17,716,783,409
SpSL1_07,0,0,2,4,3
SpSL1_08,1,30,1643,1176,616
SpSL1_09,0,20,1031,500,178
predicted RNA,0,18,919,468,128
SpSL1_10,0,16,1078,684,263
SpSL1_11,0,29,1992,1167,560
SpSL1_12,1,32,1825,1151,476
SpSL1_13,1,25,1703,1203,601
SpSL1_14,0,9,639,428,212
predicted RNA,0,21,1446,852,685
SpSL1_15,1,23,1666,1477,905
SpSL1_16,0,12,850,757,504
SpSL1_17,0,11,842,821,452
SpSL1_18,0,12,714,614,416
SpSL1_19,0,16,1230,1169,723
SpSL1_20,0,10,971,819,645
SpSL1_21,0,7,727,680,451
SpSL1_22,0,5,661,662,546
SpSL1_23,0,8,1115,1251,984
SpSL1_24,1,8,1148,1342,1064
SpSL1_25,0,9,1001,1138,799
SpSL1_26,0,16,1492,1528,1382
SpSL1_27,0,0,5,277,391
SpSL1_28,0,0,15,884,2341
SpSL1_29,0,1,11,641,1834
