Genome feature ID,C..albicans...S..gordonii,S..gordonii...spent.C..albicans.medium,S..gordonii.only,C..albicans...S..gordonii.1,S..gordonii...spent.C..albicans.medium.1,S..gordonii.only.1,C..albicans...S..gordonii.2,S..gordonii...spent.C..albicans.medium.2,S..gordonii.only.2
ID_rplU_p01_Parent_rplU_t01_Dbxref_GI_157149660_GeneID_5599852_Note_identified_by_match_to_protein_family_HMM_PF00829_B_match_to_protein_family_HMM_TIGR00061_codon_start_1_gene_rplU_locus_tag_SGO_0818_product_50S_ribosomal_protein_L21_protein_id_YP_001450117_1_transl_table_11_translation_length_104,14933,40781,24369,7926,10922,10902,11926,18030,17356
ID_SGO_0819_p01_Parent_SGO_0819_t01_Dbxref_GI_157150851_GeneID_5598575_Note_identified_by_match_to_protein_family_HMM_PF04327_codon_start_1_locus_tag_SGO_0819_product_ribosomal_protein_protein_id_YP_001450118_1_transl_table_11_translation_length_114,18216,55599,31899,22802,16807,23236,27835,27140,27110
ID_rpmA_p01_Parent_rpmA_t01_Dbxref_GI_157150094_GeneID_5598457_Note_involved_in_the_peptidyltransferase_reaction_during_translation_codon_start_1_gene_rpmA_locus_tag_SGO_0820_product_50S_ribosomal_protein_L27_protein_id_YP_001450119_1_transl_table_11_translation_length_97,4625,14240,7501,1990,2998,2931,2851,4639,3239
ID_SGO_0821_p01_Parent_SGO_0821_t01_Dbxref_GI_157151696_GeneID_5597952_Note_identified_by_match_to_protein_family_HMM_PF00581_codon_start_1_locus_tag_SGO_0821_product_rhodanese_family_protein_protein_id_YP_001450120_1_transl_table_11_translation_length_101,765,1935,1353,473,762,927,523,962,815
ID_SGO_0822_p01_Parent_SGO_0822_t01_Dbxref_GI_157151039_GeneID_5599491_codon_start_1_locus_tag_SGO_0822_product_putative_lipoprotein_protein_id_YP_001450121_1_transl_table_11_translation_length_175,2327,5231,4248,1171,2243,2404,1211,2682,2257
ID_SGO_0823_p01_Parent_SGO_0823_t01_Dbxref_GI_157150363_GeneID_5598070_Note_identified_by_match_to_protein_family_HMM_PF00702_B_match_to_protein_family_HMM_PF05116_B_match_to_protein_family_HMM_PF08282_B_match_to_protein_family_HMM_TIGR00099_B_match_to_protein_family_HMM_TIGR01484_codon_start_1_locus_tag_SGO_0823_product_Cof_family_protein_protein_id_YP_001450122_1_transl_table_11_translation_length_270,1499,5025,3691,520,1032,1820,473,1375,1043
ID_lepA_p01_Parent_lepA_t01_Dbxref_GI_157151567_GeneID_5599376_Note_binds_to_the_ribosome_on_the_universally-conserved_alpha-sarcin_loop_codon_start_1_gene_lepA_locus_tag_SGO_0824_product_GTP-binding_protein_LepA_protein_id_YP_001450123_1_transl_table_11_translation_length_607,15033,40003,30371,6447,14571,17505,9770,20915,19580
ID_SGO_0825_p01_Parent_SGO_0825_t01_Dbxref_GI_157151276_GeneID_5598987_codon_start_1_locus_tag_SGO_0825_product_putative_lipoprotein_protein_id_YP_001450124_1_transl_table_11_translation_length_211,6564,17106,13456,1759,4764,5627,3015,6018,4328
ID_SGO_0826_p01_Parent_SGO_0826_t01_Dbxref_GI_157149900_GeneID_5599845_Note_identified_by_match_to_protein_family_HMM_PF03692_codon_start_1_locus_tag_SGO_0826_product_hypothetical_protein_protein_id_YP_001450125_1_transl_table_11_translation_length_164,174,595,403,54,173,340,130,283,157
ID_SGO_0827_p01_Parent_SGO_0827_t01_Dbxref_GI_157150637_GeneID_5599611_Note_identified_by_match_to_protein_family_HMM_PF00165_B_match_to_protein_family_HMM_PF06445_codon_start_1_locus_tag_SGO_0827_product_AraC_family_transcriptional_regulator_protein_id_YP_001450126_1_transl_table_11_translation_length_277,193,725,420,99,217,422,175,353,253
ID_SGO_0828_p01_Parent_SGO_0828_t01_Dbxref_GI_157151102_GeneID_5598859_codon_start_1_locus_tag_SGO_0828_product_hypothetical_protein_protein_id_YP_001450127_1_transl_table_11_translation_length_308,357,1116,751,197,378,881,387,529,448
ID_SGO_0829_p01_Parent_SGO_0829_t01_Dbxref_GI_157151538_GeneID_5597942_Note_identified_by_match_to_protein_family_HMM_PF00702_B_match_to_protein_family_HMM_TIGR01549_B_match_to_protein_family_HMM_TIGR02254_codon_start_1_locus_tag_SGO_0829_product_HAD_superfamily_hydrolase_protein_id_YP_001450128_1_transl_table_11_translation_length_229,1449,4354,3187,313,911,1137,339,983,794
ID_uvrC_p01_Parent_uvrC_t01_Dbxref_GI_157149911_GeneID_5599348_Note_The_UvrABC_repair_system_catalyzes_the_recognition_and_processing_of_DNA_lesions__UvrC_both_incises_the_5'_and_3'_sides_of_the_lesion__The_N-terminal_half_is_responsible_for_the_3'_incision_and_the_C-terminal_half_is_responsible_for_the_5'_incision_codon_start_1_gene_uvrC_locus_tag_SGO_0830_product_excinuclease_ABC_subunit_C_protein_id_YP_001450129_1_transl_table_11_translation_length_611,2995,8565,6706,863,3011,2913,1194,3513,2563
ID_SGO_0831_p01_Parent_SGO_0831_t01_Dbxref_GI_157149875_GeneID_5599661_codon_start_1_locus_tag_SGO_0831_product_hypothetical_protein_protein_id_YP_001450130_1_transl_table_11_translation_length_79,9248,26743,17492,3483,5876,7145,3617,7247,7733
ID_SGO_0832_p01_Parent_SGO_0832_t01_Dbxref_GI_157151034_GeneID_5599725_codon_start_1_locus_tag_SGO_0832_product_hypothetical_protein_protein_id_YP_001450131_1_transl_table_11_translation_length_114,10547,32776,20646,3195,8055,7561,3476,9690,9304
ID_SGO_0833_p01_Parent_SGO_0833_t01_Dbxref_GI_157151327_GeneID_5598078_Note_identified_by_match_to_protein_family_HMM_PF00149_codon_start_1_locus_tag_SGO_0833_product_phosphoesterase-related_gene_protein_id_YP_001450132_1_transl_table_11_translation_length_281,3026,8403,5854,2467,3339,4634,3366,4851,4229
ID_SGO_0834_p01_Parent_SGO_0834_t01_Dbxref_GI_157150114_GeneID_5597873_codon_start_1_locus_tag_SGO_0834_product_hypothetical_protein_protein_id_YP_001450133_1_transl_table_11_translation_length_554,3758,11808,7481,2442,4741,5924,3990,6602,5109
ID_SGO_0835_p01_Parent_SGO_0835_t01_Dbxref_GI_157150896_GeneID_5598301_Note_identified_by_match_to_protein_family_HMM_PF00881_codon_start_1_locus_tag_SGO_0835_product_nitroreductase_protein_id_YP_001450134_1_transl_table_11_translation_length_201,8481,24762,19653,4600,7133,11109,5245,8275,7104
ID_pepV_p01_Parent_pepV_t01_Dbxref_GI_157151333_GeneID_5598381_Note_divalent_metal_ion-dependent_extracellular_dipeptidase_B_able_to_hydrolyze_a_broad_range_of_dipeptides_but_no_tri-_2C_tetra-_2C_or_larger_oligopeptides_B_differences_in_the_amino_acid_specificity_of_the_cleavage_site_varies_between_species_B_similar_to_succinyl-diaminopimelate_desuccinylases_codon_start_1_gene_pepV_locus_tag_SGO_0836_product_dipeptidase_PepV_protein_id_YP_001450135_1_transl_table_11_translation_length_467,8873,24809,18804,3885,8083,9536,5524,9856,8013
ID_SGO_0837_p01_Parent_SGO_0837_t01_Dbxref_GI_157151546_GeneID_5599817_Note_identified_by_match_to_protein_family_HMM_PF03167_codon_start_1_locus_tag_SGO_0837_product_uracil-DNA_glycosylase_protein_id_YP_001450136_1_transl_table_11_translation_length_194,1095,3039,2658,243,1032,1279,440,1166,761
ID_SGO_0838_p01_Parent_SGO_0838_t01_Dbxref_GI_157150296_GeneID_5597801_Note_identified_by_match_to_protein_family_HMM_PF04073_codon_start_1_locus_tag_SGO_0838_product_YbaK/prolyl-tRNA_synthetase_associated_domain-containing_protein_protein_id_YP_001450137_1_transl_table_11_translation_length_162,1148,3137,2845,298,1458,1639,610,1642,1078
ID_SGO_0839_p01_Parent_SGO_0839_t01_Dbxref_GI_157150955_GeneID_5599475_Note_identified_by_match_to_protein_family_HMM_PF04993_codon_start_1_locus_tag_SGO_0839_product_TfoX_domain-containing_protein_protein_id_YP_001450138_1_transl_table_11_translation_length_107,1043,2904,2572,556,1100,1835,856,1336,1024
ID_SGO_0840_p01_Parent_SGO_0840_t01_Dbxref_GI_157151543_GeneID_5598267_Note_identified_by_match_to_protein_family_HMM_PF01047_codon_start_1_locus_tag_SGO_0840_product_MarR_family_transcriptional_regulator_protein_id_YP_001450139_1_transl_table_11_translation_length_149,2214,6380,5369,1243,2956,3652,1864,3786,3089
ID_SGO_0841_p01_Parent_SGO_0841_t01_Dbxref_GI_157150045_GeneID_5599333_Note_identified_by_match_to_protein_family_HMM_PF08240_codon_start_1_locus_tag_SGO_0841_product_oxidoreductase_protein_id_YP_001450140_1_transl_table_11_translation_length_330,8229,17648,15989,2278,5310,8564,3543,6909,6568
ID_SGO_0842_p01_Parent_SGO_0842_t01_Dbxref_GI_157149801_GeneID_5599276_Note_identified_by_match_to_protein_family_HMM_PF00581_codon_start_1_locus_tag_SGO_0842_product_rhodanese_family_protein_protein_id_YP_001450141_1_transl_table_11_translation_length_98,2004,4362,3655,530,1381,2127,827,1920,1984
ID_SGO_0843_p01_Parent_SGO_0843_t01_Dbxref_GI_157151019_GeneID_5599879_eC_number_3_4_16_4_Note_identified_by_match_to_protein_family_HMM_PF02557_codon_start_1_locus_tag_SGO_0843_product_carboxypeptidase_protein_id_YP_001450142_1_transl_table_11_translation_length_249,1474,3193,3219,524,1305,1771,670,1836,1442
ID_SGO_0844_p01_Parent_SGO_0844_t01_Dbxref_GI_157150671_GeneID_5598120_codon_start_1_locus_tag_SGO_0844_product_hypothetical_protein_protein_id_YP_001450143_1_transl_table_11_translation_length_96,287,594,562,129,292,441,114,464,289
ID_SGO_0845_p01_Parent_SGO_0845_t01_Dbxref_GI_157150089_GeneID_5598803_Note_identified_by_match_to_protein_family_HMM_PF01473_codon_start_1_locus_tag_SGO_0845_product_cell_wall_binding_protein_protein_id_YP_001450144_1_transl_table_11_translation_length_290,2752,8070,7565,2207,2385,4230,2011,2117,1726
ID_SGO_0846_p01_Parent_SGO_0846_t01_Dbxref_GI_157151323_GeneID_5598000_Note_identified_by_match_to_protein_family_HMM_PF00188_codon_start_1_locus_tag_SGO_0846_product_cell_wall_protein_protein_id_YP_001450145_1_transl_table_11_translation_length_667,910,3213,1628,250,633,1600,472,886,960
ID_SGO_0847_p01_Parent_SGO_0847_t01_Dbxref_GI_157150692_GeneID_5599495_Note_identified_by_match_to_protein_family_HMM_PF00188_codon_start_1_locus_tag_SGO_0847_product_SCP-like_extracellular_protein_protein_id_YP_001450146_1_transl_table_11_translation_length_475,360,1128,978,110,277,956,157,503,325
ID_rpmE_p01_Parent_rpmE_t01_Dbxref_GI_157150375_GeneID_5598762_Note_identified_by_match_to_protein_family_HMM_PF01197_B_match_to_protein_family_HMM_TIGR00105_codon_start_1_gene_rpmE_locus_tag_SGO_0848_product_50S_ribosomal_protein_L31_protein_id_YP_001450147_1_transl_table_11_translation_length_94,992,2813,1958,352,1055,985,378,1334,1321
ID_SGO_0849_p01_Parent_SGO_0849_t01_Dbxref_GI_157151593_GeneID_5599352_Note_identified_by_match_to_protein_family_HMM_PF01368_B_match_to_protein_family_HMM_PF02272_codon_start_1_locus_tag_SGO_0849_product_DHH_subfamily_1_protein_protein_id_YP_001450148_1_transl_table_11_translation_length_314,2269,7233,5342,1048,1956,2410,917,2333,1805
ID_SGO_0850_p01_Parent_SGO_0850_t01_Dbxref_GI_157151164_GeneID_5598570_Note_An_electron-transfer_protein_B_flavodoxin_binds_one_FMN_molecule_2C_which_serves_as_a_redox-active_prosthetic_group_codon_start_1_locus_tag_SGO_0850_product_flavodoxin_protein_id_YP_001450149_1_transl_table_11_translation_length_147,3289,8377,6639,4096,2943,5600,3784,3730,4509
ID_SGO_0851_p01_Parent_SGO_0851_t01_Dbxref_GI_157150464_GeneID_5597841_Note_identified_by_match_to_protein_family_HMM_PF01594_codon_start_1_locus_tag_SGO_0851_product_putative_permease_protein_id_YP_001450150_1_transl_table_11_translation_length_388,2580,6808,6048,1100,2407,2914,1479,3498,2544
ID_SGO_0852_p01_Parent_SGO_0852_t01_Dbxref_GI_157151062_GeneID_5599179_Note_identified_by_similarity_to_GB_AAO81340_1_B_match_to_protein_family_HMM_PF00515_codon_start_1_locus_tag_SGO_0852_product_hypothetical_protein_protein_id_YP_001450151_1_transl_table_11_translation_length_405,4955,14187,9951,2763,4709,6665,3997,6982,6183
ID_budA_p01_Parent_budA_t01_Dbxref_GI_157150352_GeneID_5598028_eC_number_4_1_1_5_Note_identified_by_match_to_protein_family_HMM_PF03306_B_match_to_protein_family_HMM_TIGR01252_codon_start_1_gene_budA_locus_tag_SGO_0853_product_alpha-acetolactate_decarboxylase_protein_id_YP_001450152_1_transl_table_11_translation_length_239,750,2437,1470,656,900,1312,547,1112,891
ID_cshA_p01_Parent_cshA_t01_Dbxref_GI_157149904_GeneID_5599390_Note_identified_by_match_to_protein_family_HMM_PF00746_B_match_to_protein_family_HMM_PF04650_B_match_to_protein_family_HMM_TIGR01167_B_match_to_protein_family_HMM_TIGR01168_codon_start_1_gene_cshA_locus_tag_SGO_0854_product_surface-associated_protein_CshA_protein_id_YP_001450153_1_transl_table_11_translation_length_2507,21703,84373,42503,14032,22376,26235,13927,19216,7980
ID_fbpA_p01_Parent_fbpA_t01_Dbxref_GI_157151214_GeneID_5598186_Note_identified_by_match_to_protein_family_HMM_PF05670_B_match_to_protein_family_HMM_PF05833_codon_start_1_gene_fbpA_locus_tag_SGO_0855_product_fibronectin-binding_protein_A_protein_id_YP_001450154_1_transl_table_11_translation_length_550,2214,7278,5624,1371,2322,3008,1225,2234,1704
ID_SGO_0856_p01_Parent_SGO_0856_t01_Dbxref_GI_157150771_GeneID_5597754_Note_identified_by_match_to_protein_family_HMM_PF04392_codon_start_1_locus_tag_SGO_0856_product_ABC_transporter_substrate_binding_protein_protein_id_YP_001450155_1_transl_table_11_translation_length_334,2261,4961,2706,1463,1530,2014,1370,1513,1113
ID_SGO_0857_p01_Parent_SGO_0857_t01_Dbxref_GI_157151189_GeneID_5598624_Note_identified_by_match_to_protein_family_HMM_PF02653_codon_start_1_locus_tag_SGO_0857_product_ABC_transporter_permease_protein_id_YP_001450156_1_transl_table_11_translation_length_288,1849,3947,2452,799,1480,1305,892,1674,991
ID_SGO_0858_p01_Parent_SGO_0858_t01_Dbxref_GI_157150487_GeneID_5597798_Note_identified_by_match_to_protein_family_HMM_PF00005_codon_start_1_locus_tag_SGO_0858_product_ABC_transporter_ATP-binding_protein_protein_id_YP_001450157_1_transl_table_11_translation_length_252,1345,3186,1668,848,1002,1234,997,1200,757
ID_pheS_p01_Parent_pheS_t01_Dbxref_GI_157149980_GeneID_5599135_eC_number_6_1_1_20_Note_catalyzes_a_two-step_reaction_2C_first_charging_a_phenylalanine_molecule_by_linking_its_carboxyl_group_to_the_alpha-phosphate_of_ATP_2C_followed_by_transfer_of_the_aminoacyl-adenylate_to_its_tRNA_B_forms_a_heterotetramer_of_alpha(2)beta(2)_B_binds_two_magnesium_ions_per_tetramer_B_type_1_subfamily_codon_start_1_gene_pheS_locus_tag_SGO_0859_product_phenylalanyl-tRNA_synthetase_subunit_alpha_protein_id_YP_001450158_1_transl_table_11_translation_length_349,1759,6155,3954,1285,2154,2275,1272,2217,1176
ID_SGO_0860_p01_Parent_SGO_0860_t01_Dbxref_GI_157151392_GeneID_5597773_Note_identified_by_match_to_protein_family_HMM_PF00583_codon_start_1_locus_tag_SGO_0860_product_acetyltransferase_protein_id_YP_001450159_1_transl_table_11_translation_length_169,1733,5144,3424,1897,2206,2554,1953,2228,1512
ID_pheT_p01_Parent_pheT_t01_Dbxref_GI_157150935_GeneID_5597963_eC_number_6_1_1_20_Note_catalyzes_a_two-step_reaction_2C_first_charging_a_phenylalanine_molecule_by_linking_its_carboxyl_group_to_the_alpha-phosphate_of_ATP_2C_followed_by_transfer_of_the_aminoacyl-adenylate_to_its_tRNA_B_forms_a_tetramer_of_alpha(2)beta(2)_B_binds_two_magnesium_ions_per_tetramer_B_type_2_subfamily_codon_start_1_gene_pheT_locus_tag_SGO_0861_product_phenylalanyl-tRNA_synthetase_subunit_beta_protein_id_YP_001450160_1_transl_table_11_translation_length_865,6605,21383,13398,3367,6994,6764,4304,7778,4486
ID_SGO_0862_p01_Parent_SGO_0862_t01_Dbxref_GI_157149991_GeneID_5598302_codon_start_1_locus_tag_SGO_0862_product_hypothetical_protein_protein_id_YP_001450161_1_transl_table_11_translation_length_237,1076,3463,2804,671,896,1879,650,973,882
ID_SGO_0863_p01_Parent_SGO_0863_t01_Dbxref_GI_157150455_GeneID_5599167_Note_identified_by_match_to_protein_family_HMM_PF08349_codon_start_1_locus_tag_SGO_0863_product_hypothetical_protein_protein_id_YP_001450162_1_transl_table_11_translation_length_130,956,3370,2494,505,846,1026,327,879,697
ID_SGO_0865_p01_Parent_SGO_0865_t01_Dbxref_GI_157151403_GeneID_5597900_codon_start_1_locus_tag_SGO_0865_product_hypothetical_protein_protein_id_YP_001450163_1_transl_table_11_translation_length_61,201,585,421,73,181,293,131,325,280
ID_SGO_0867_p01_Parent_SGO_0867_t01_Dbxref_GI_157149791_GeneID_5598505_Note_identified_by_match_to_protein_family_HMM_PF01381_codon_start_1_locus_tag_SGO_0867_product_Cro/CI_family_transcriptional_regulator_protein_id_YP_001450164_1_transl_table_11_translation_length_69,664,1908,1461,326,682,787,544,1039,804
ID_SGO_0868_p01_Parent_SGO_0868_t01_Dbxref_GI_157150393_GeneID_5599496_codon_start_1_locus_tag_SGO_0868_product_hypothetical_protein_protein_id_YP_001450165_1_transl_table_11_translation_length_62,361,884,741,179,419,444,340,567,476
ID_SGO_0869_p01_Parent_SGO_0869_t01_Dbxref_GI_157151483_GeneID_5599317_codon_start_1_locus_tag_SGO_0869_product_hypothetical_protein_protein_id_YP_001450166_1_transl_table_11_translation_length_79,341,925,655,123,449,309,248,569,437
ID_SGO_0870_p01_Parent_SGO_0870_t01_Dbxref_GI_157149989_GeneID_5598054_codon_start_1_locus_tag_SGO_0870_product_hypothetical_protein_protein_id_YP_001450167_1_transl_table_11_translation_length_96,857,1707,1255,240,436,821,448,607,640
ID_SGO_0872_p01_Parent_SGO_0872_t01_Dbxref_GI_157151058_GeneID_5599152_codon_start_1_locus_tag_SGO_0872_product_putative_cytoplasmic_protein_protein_id_YP_001450168_1_transl_table_11_translation_length_76,62,215,115,25,40,168,17,88,71
ID_SGO_0873_p01_Parent_SGO_0873_t01_Dbxref_GI_157149771_GeneID_5598033_codon_start_1_locus_tag_SGO_0873_product_putative_cytoplasmic_protein_protein_id_YP_001450169_1_transl_table_11_translation_length_143,139,281,243,41,62,271,57,179,174
ID_SGO_0874_p01_Parent_SGO_0874_t01_Dbxref_GI_157150096_GeneID_5598900_codon_start_1_locus_tag_SGO_0874_product_putative_lipoprotein_protein_id_YP_001450170_1_transl_table_11_translation_length_152,927,2616,1625,375,786,1125,534,1365,1129
ID_SGO_0875_p01_Parent_SGO_0875_t01_Dbxref_GI_157150911_GeneID_5597921_codon_start_1_locus_tag_SGO_0875_product_hypothetical_protein_protein_id_YP_001450171_1_transl_table_11_translation_length_241,55,99,85,28,49,195,38,77,56
ID_SGO_0876_p01_Parent_SGO_0876_t01_Dbxref_GI_157151245_GeneID_5598347_codon_start_1_locus_tag_SGO_0876_product_hypothetical_protein_protein_id_YP_001450172_1_transl_table_11_translation_length_202,524,1153,1082,215,394,768,237,499,504
ID_SGO_0877_p01_Parent_SGO_0877_t01_Dbxref_GI_157149939_GeneID_5599053_Note_identified_by_match_to_protein_family_HMM_PF02687_codon_start_1_locus_tag_SGO_0877_product_permease_domain_protein_protein_id_YP_001450173_1_transl_table_11_translation_length_353,5815,18114,14137,2544,3931,6350,2163,4522,3788
ID_SGO_0878_p01_Parent_SGO_0878_t01_Dbxref_GI_157150536_GeneID_5599777_Note_identified_by_match_to_protein_family_HMM_PF00005_codon_start_1_locus_tag_SGO_0878_product_ABC_transporter_ATP-binding_protein_protein_id_YP_001450174_1_transl_table_11_translation_length_221,3325,10244,7850,1319,2684,3592,1339,2996,2342
ID_SGO_0879_p01_Parent_SGO_0879_t01_Dbxref_GI_157151098_GeneID_5599041_codon_start_1_locus_tag_SGO_0879_product_hypothetical_protein_protein_id_YP_001450175_1_transl_table_11_translation_length_59,104,313,196,51,124,220,89,192,134
ID_SGO_0880_p01_Parent_SGO_0880_t01_Dbxref_GI_157151335_GeneID_5597949_codon_start_1_locus_tag_SGO_0880_product_hypothetical_protein_protein_id_YP_001450176_1_transl_table_11_translation_length_59,866,2616,1718,707,718,1357,1064,1220,1235
ID_SGO_0881_p01_Parent_SGO_0881_t01_Dbxref_GI_157149962_GeneID_5598096_codon_start_1_locus_tag_SGO_0881_product_hypothetical_protein_protein_id_YP_001450177_1_transl_table_11_translation_length_118,1341,3681,2363,981,1014,1742,1412,1825,1806
ID_rggC_p01_Parent_rggC_t01_Dbxref_GI_157150650_GeneID_5599604_Note_identified_by_match_to_protein_family_HMM_TIGR01716_codon_start_1_gene_rggC_locus_tag_SGO_0882_product_putative_transcriptional_regulator_RggC_protein_id_YP_001450178_1_transl_table_11_translation_length_287,2783,7298,4918,1077,1654,2593,1884,3029,2675
ID_SGO_0883_p01_Parent_SGO_0883_t01_Dbxref_GI_157150994_GeneID_5598839_Note_identified_by_match_to_protein_family_HMM_PF07690_codon_start_1_locus_tag_SGO_0883_product_transporter_SP1116_protein_id_YP_001450179_1_transl_table_11_translation_length_393,433,1116,1008,114,380,525,204,684,645
ID_SGO_0884_p01_Parent_SGO_0884_t01_Dbxref_GI_157150861_GeneID_5598185_codon_start_1_locus_tag_SGO_0884_product_hypothetical_protein_protein_id_YP_001450180_1_transl_table_11_translation_length_85,423,1405,1077,205,529,540,198,499,364
ID_SGO_0885_p01_Parent_SGO_0885_t01_Dbxref_GI_157150696_GeneID_5598443_Note_identified_by_match_to_protein_family_HMM_PF07685_codon_start_1_locus_tag_SGO_0885_product_cobyric_acid_synthase_protein_id_YP_001450181_1_transl_table_11_translation_length_261,2765,10233,7139,1114,3158,2842,1206,2991,2157
ID_SGO_0886_p01_Parent_SGO_0886_t01_Dbxref_GI_157150711_GeneID_5598754_Note_identified_by_match_to_protein_family_HMM_PF08245_B_match_to_protein_family_HMM_PF08353_codon_start_1_locus_tag_SGO_0886_product_Mur_ligase_family_protein_protein_id_YP_001450182_1_transl_table_11_translation_length_447,3128,12174,9514,935,4066,3265,1118,3617,2941
ID_SGO_0887_p01_Parent_SGO_0887_t01_Dbxref_GI_157150406_GeneID_5598719_Note_identified_by_match_to_protein_family_HMM_PF02457_B_match_to_protein_family_HMM_TIGR00159_codon_start_1_locus_tag_SGO_0887_product_hypothetical_protein_protein_id_YP_001450183_1_transl_table_11_translation_length_260,3650,10198,6917,835,2541,3362,1631,4415,4033
ID_SGO_0888_p01_Parent_SGO_0888_t01_Dbxref_GI_157149806_GeneID_5599286_Note_identified_by_match_to_protein_family_HMM_PF07949_codon_start_1_locus_tag_SGO_0888_product_hypothetical_protein_protein_id_YP_001450184_1_transl_table_11_translation_length_248,3813,10994,7952,1434,3392,4023,2233,5019,3998
ID_glmM_p01_Parent_glmM_t01_Dbxref_GI_157151573_GeneID_5599650_Note_catalyzes_the_conversion_of_glucosamine-6-phosphate_to_glucosamine-1-phosphate_codon_start_1_gene_glmM_locus_tag_SGO_0889_product_phosphoglucosamine_mutase_protein_id_YP_001450185_1_transl_table_11_translation_length_450,8316,23358,16075,5168,10286,10834,8553,15216,14978
ID_SGO_0890_p01_Parent_SGO_0890_t01_Dbxref_GI_157151344_GeneID_5598876_Note_identified_by_match_to_protein_family_HMM_PF00746_B_match_to_protein_family_HMM_PF05737_B_match_to_protein_family_HMM_TIGR01167_codon_start_1_locus_tag_SGO_0890_product_LPXTG_cell_wall_surface_protein_protein_id_YP_001450186_1_transl_table_11_translation_length_630,13335,32911,26560,6147,16998,13154,5968,14426,10057
ID_SGO_0891_p01_Parent_SGO_0891_t01_Dbxref_GI_157149862_GeneID_5599174_codon_start_1_locus_tag_SGO_0891_product_hypothetical_protein_protein_id_YP_001450187_1_transl_table_11_translation_length_35,156,425,364,122,388,260,161,441,313
ID_SGO_0892_p01_Parent_SGO_0892_t01_Dbxref_GI_157150452_GeneID_5599717_codon_start_1_locus_tag_SGO_0892_product_hypothetical_protein_protein_id_YP_001450188_1_transl_table_11_translation_length_43,463,1384,808,285,496,632,338,596,560
ID_obgE_p01_Parent_obgE_t01_Dbxref_GI_157151616_GeneID_5599197_Note_essential_GTPase_B_exhibits_high_exchange_rate_for_GTP/GDP_B_associates_with_50S_ribosomal_subunit_B_involved_in_regulation_of_chromosomal_replication_codon_start_1_gene_obgE_locus_tag_SGO_0893_product_GTPase_ObgE_protein_id_YP_001450189_1_transl_table_11_translation_length_436,4978,17784,10669,3461,5889,8776,4495,7305,6538
ID_SGO_0894_p01_Parent_SGO_0894_t01_Dbxref_GI_157151590_GeneID_5598213_codon_start_1_locus_tag_SGO_0894_product_hypothetical_protein_protein_id_YP_001450190_1_transl_table_11_translation_length_51,990,3099,2044,931,1085,1801,1211,1421,1370
ID_SGO_0895_p01_Parent_SGO_0895_t01_Dbxref_GI_157150164_GeneID_5598363_Note_identified_by_match_to_protein_family_HMM_PF04229_codon_start_1_locus_tag_SGO_0895_product_hypothetical_protein_protein_id_YP_001450191_1_transl_table_11_translation_length_190,808,2314,1550,164,583,911,216,728,698
ID_SGO_0896_p01_Parent_SGO_0896_t01_Dbxref_GI_157149752_GeneID_5599387_Note_identified_by_match_to_protein_family_HMM_PF08241_B_match_to_protein_family_HMM_PF08242_codon_start_1_locus_tag_SGO_0896_product_hypothetical_protein_protein_id_YP_001450192_1_transl_table_11_translation_length_204,912,2881,1962,394,918,1469,433,1214,1129
ID_SGO_0897_p01_Parent_SGO_0897_t01_Dbxref_GI_157151614_GeneID_5599593_Note_identified_by_match_to_protein_family_HMM_PF03575_codon_start_1_locus_tag_SGO_0897_product_peptidase_E_protein_id_YP_001450193_1_transl_table_11_translation_length_206,1199,3281,2446,392,1221,1527,438,1616,1258
ID_SGO_0898_p01_Parent_SGO_0898_t01_Dbxref_GI_157150934_GeneID_5597939_Note_identified_by_match_to_protein_family_HMM_PF01381_codon_start_1_locus_tag_SGO_0898_product_Cro/CI_family_transcriptional_regulator_putative_protein_id_YP_001450194_1_transl_table_11_translation_length_136,1091,2587,1796,613,572,1638,565,915,669
ID_SGO_0899_p01_Parent_SGO_0899_t01_Dbxref_GI_157150196_GeneID_5598307_Note_identified_by_match_to_protein_family_HMM_PF00561_codon_start_1_locus_tag_SGO_0899_product_putative_hydrolase_or_acyltransferase_protein_id_YP_001450195_1_transl_table_11_translation_length_366,1048,2655,1924,530,952,1713,714,1435,976
ID_SGO_0900_p01_Parent_SGO_0900_t01_Dbxref_GI_157151455_GeneID_5598172_Note_identified_by_match_to_protein_family_HMM_PF01590_codon_start_1_locus_tag_SGO_0900_product_hypothetical_protein_protein_id_YP_001450196_1_transl_table_11_translation_length_206,2206,6314,4444,1333,2289,3323,1474,2936,2634
ID_SGO_0901_p01_Parent_SGO_0901_t01_Dbxref_GI_157150866_GeneID_5598637_eC_number_2_7_7_7_Note_catalyzes_the_DNA-template-directed_extension_of_the_3'-end_of_a_DNA_strand_B_the_tau_chain_serves_as_a_scaffold_to_help_in_the_dimerizaton_of_the_alpha_2Cepsilon_and_theta_core_complex_B_the_gamma_chain_seems_to_interact_with_the_delta_and_delta'_subunits_to_transfer_the_beta_subunit_on_the_DNA_codon_start_1_locus_tag_SGO_0901_product_DNA_polymerase_III_subunits_gamma_and_tau_protein_id_YP_001450197_1_transl_table_11_translation_length_556,8007,25345,16996,5206,10593,10938,6442,13348,10986
