,WT_THY_A,WT_THY_B,WT_THY_C,DhsdM_THY_A,DhsdM_THY_B,DhsdM_THY_C
GENE_-_M5005_Spy1217_M5005_Spy_1217,6,1,4,6,2,0
GENE_-_M5005_Spy1218_M5005_Spy_1218,0,0,0,0,0,0
GENE_-_M5005_Spy1223_M5005_Spy_1223,480,509,420,607,522,694
GENE_-_M5005_Spy1224_M5005_Spy_1224,124,191,101,165,195,199
GENE_-_M5005_Spy1225_M5005_Spy_1225,209,323,239,279,313,375
GENE_-_M5005_Spy1226_M5005_Spy_1226,182,206,145,222,261,207
GENE_-_M5005_Spy1227_M5005_Spy_1227,111,168,120,168,173,185
GENE_-_M5005_Spy1228_recN,187,305,245,241,270,385
GENE_-_M5005_Spy1229_argR1,49,60,62,60,58,90
GENE_-_M5005_Spy1230_M5005_Spy_1230,78,148,117,116,146,179
GENE_-_M5005_Spy1231_fps,74,151,99,104,126,143
GENE_-_M5005_Spy1232_xseB,3,9,15,6,10,12
GENE_-_M5005_Spy1233_xseA,85,189,143,127,159,197
GENE_-_M5005_Spy1234_folD,47,53,42,58,62,64
GENE_-_M5005_Spy1235_M5005_Spy_1235,745,1229,842,1183,1296,1416
GENE_-_M5005_Spy1236_phr,45,87,77,61,69,78
GENE_-_M5005_Spy1237_artP,22,33,44,37,51,49
GENE_-_M5005_Spy1238_artQ,15,22,23,16,29,31
GENE_-_M5005_Spy1239_M5005_Spy_1239,58,54,24,40,50,44
GENE_-_M5005_Spy1243_ileS,652,750,479,819,754,757
GENE_-_M5005_Spy1244_divIVAS,820,1263,805,916,1228,1194
GENE_-_M5005_Spy1245_M5005_Spy_1245,796,1076,654,760,1052,938
GENE_-_M5005_Spy1246_M5005_Spy_1246,185,233,165,184,222,151
GENE_-_M5005_Spy1247_M5005_Spy_1247,1141,1729,1132,1323,1710,1563
GENE_-_M5005_Spy1248_M5005_Spy_1248,704,1058,714,895,1107,917
GENE_-_M5005_Spy1249_ftsZ,1549,2169,1342,1856,2249,1976
GENE_-_M5005_Spy1250_ftsA,1005,1556,826,1220,1433,1299
GENE_-_M5005_Spy1251_divIB,297,456,277,377,478,508
GENE_-_M5005_Spy1252_murG,264,344,237,292,321,341
GENE_-_M5005_Spy1253_murD,235,357,233,282,346,308
GENE_-_M5005_Spy1254_M5005_Spy_1254,21,39,19,45,20,30
GENE_-_M5005_Spy1255_typA,2105,2577,1602,1797,2309,2010
GENE_-_M5005_Spy1256_M5005_Spy_1256,27,50,31,43,45,58
GENE_-_M5005_Spy1257_glcK,158,245,137,219,258,222
GENE_-_M5005_Spy1258_M5005_Spy_1258,4,11,2,7,9,7
GENE_-_M5005_Spy1259_dpr,1142,2206,1176,1492,2050,1623
GENE_-_M5005_Spy1261_M5005_Spy_1261,233,289,199,279,307,321
GENE_-_M5005_Spy1262_M5005_Spy_1262,143,150,93,122,154,158
GENE_-_M5005_Spy1263_M5005_Spy_1263,0,0,0,3,1,2
GENE_-_M5005_Spy1264_M5005_Spy_1264,55,91,52,65,68,62
GENE_-_M5005_Spy1265_M5005_Spy_1265,7,7,12,14,14,17
GENE_-_M5005_Spy1266_M5005_Spy_1266,308,355,274,306,391,400
GENE_-_M5005_Spy1267_coaD,54,96,39,86,107,108
GENE_-_M5005_Spy1268_M5005_Spy_1268,77,94,57,85,92,113
GENE_-_M5005_Spy1269_asnA,43,40,26,50,37,75
GENE_-_M5005_Spy1270_arcC,165,307,93,217,250,83
GENE_-_M5005_Spy1271_M5005_Spy_1271,161,296,85,337,336,133
GENE_-_M5005_Spy1272_M5005_Spy_1272,178,351,124,550,510,238
GENE_-_M5005_Spy1273_arcB,450,1187,345,1640,1536,945
GENE_-_M5005_Spy1274_M5005_Spy_1274,295,720,191,778,779,451
GENE_-_M5005_Spy1275_arcA,1423,2646,638,3181,2913,1556
GENE_-_M5005_Spy1276_M5005_Spy_1276,39,84,40,94,74,47
GENE_-_M5005_Spy1278_M5005_Spy_1278,135,175,116,141,188,204
GENE_-_M5005_Spy1279_M5005_Spy_1279,59,83,53,75,77,77
GENE_-_M5005_Spy1280_M5005_Spy_1280,87,111,81,121,123,114
GENE_-_M5005_Spy1281_M5005_Spy_1281,22,23,17,41,40,33
GENE_-_M5005_Spy1282_msrA,0,1,0,5,0,3
GENE_-_M5005_Spy1283_tlpA,0,1,1,0,0,0
GENE_-_M5005_Spy1284_ccdA,0,0,0,0,0,0
GENE_-_M5005_Spy1285_M5005_Spy_1285,1,3,0,6,2,1
GENE_-_M5005_Spy1286_M5005_Spy_1286,11,9,11,21,13,15
GENE_-_M5005_Spy1287_M5005_Spy_1287,5,3,7,23,3,5
GENE_-_M5005_Spy1288_M5005_Spy_1288,10,7,4,23,14,17
GENE_-_M5005_Spy1289_M5005_Spy_1289,4,17,9,19,12,27
GENE_-_M5005_Spy1290_M5005_Spy_1290,2,6,1,8,6,6
GENE_-_M5005_Spy1291_M5005_Spy_1291,8,8,2,18,7,9
GENE_-_M5005_Spy1292_valS,316,339,264,390,388,408
GENE_-_M5005_Spy1293_M5005_Spy_1293,22,20,17,35,33,33
GENE_-_M5005_Spy1294_M5005_Spy_1294,3,1,1,0,1,2
GENE_-_M5005_Spy1295_M5005_Spy_1295,17,26,13,21,28,27
GENE_-_M5005_Spy1296_M5005_Spy_1296,3,4,2,5,4,5
GENE_-_M5005_Spy1299_M5005_Spy_1299,5,3,5,10,8,5
GENE_-_M5005_Spy1300_M5005_Spy_1300,62,75,44,61,60,66
GENE_-_M5005_Spy1301_M5005_Spy_1301,47,72,46,62,65,59
GENE_-_M5005_Spy1302_M5005_Spy_1302,94,114,68,93,97,91
GENE_-_M5005_Spy1303_aroE,28,39,21,30,26,30
GENE_-_M5005_Spy1304_lacZ,69,99,42,66,92,89
GENE_-_M5005_Spy1305_M5005_Spy_1305,27,50,28,31,54,36
GENE_-_M5005_Spy1306_M5005_Spy_1306,28,74,48,41,52,59
GENE_-_M5005_Spy1307_M5005_Spy_1307,9,18,4,8,12,14
GENE_-_M5005_Spy1308_M5005_Spy_1308,10,34,12,21,29,23
GENE_-_M5005_Spy1309_M5005_Spy_1309,6,20,17,6,22,8
GENE_-_M5005_Spy1310_M5005_Spy_1310,12,14,12,12,18,19
GENE_-_M5005_Spy1313_M5005_Spy_1313,55,79,36,79,111,93
GENE_-_M5005_Spy1314_hyl,45,105,67,153,138,123
GENE_-_M5005_Spy1315_M5005_Spy_1315,35,81,32,88,97,88
GENE_-_M5005_Spy1318_rocA,159,182,151,196,204,202
GENE_-_M5005_Spy1319_M5005_Spy_1319,49,83,44,69,75,70
GENE_-_M5005_Spy1322_M5005_Spy_1322,0,2,0,0,0,1
GENE_-_M5005_Spy1325_M5005_Spy_1325,1386,2664,1475,2272,2745,2308
GENE_-_M5005_Spy1326_comFC,1,5,2,2,0,3
GENE_-_M5005_Spy1327_comFA,7,7,2,8,4,12
GENE_-_M5005_Spy1330_M5005_Spy_1330,126,229,164,179,195,233
GENE_-_M5005_Spy1331_M5005_Spy_1331,433,675,489,520,656,691
GENE_-_M5005_Spy1332_yvqC,59,129,74,75,112,91
GENE_-_M5005_Spy1333_yvqE,84,170,115,99,122,119
GENE_-_M5005_Spy1334_yvqF,23,72,46,29,37,44
GENE_-_M5005_Spy1335_M5005_Spy_1335,1193,1931,1344,1340,1823,1825
GENE_-_M5005_Spy1336_pppL,308,464,359,401,522,502
GENE_-_M5005_Spy1337_sunL,298,564,369,354,554,515
GENE_-_M5005_Spy1338_fmt,217,380,243,247,361,327
GENE_-_M5005_Spy1339_priA,95,136,98,127,136,135
GENE_-_M5005_Spy1340_M5005_Spy_1340,66,76,29,90,71,80
GENE_-_M5005_Spy1341_gmk,63,86,40,75,77,82
GENE_-_M5005_Spy1342_M5005_Spy_1342,1189,1775,1250,1223,1713,1815
GENE_-_M5005_Spy1343_M5005_Spy_1343,46,99,55,44,74,62
GENE_-_M5005_Spy1350_M5005_Spy_1350,742,1284,857,668,1254,1346
GENE_-_M5005_Spy1351_M5005_Spy_1351,475,696,544,328,745,738
GENE_-_M5005_Spy1352_M5005_Spy_1352,93,110,77,95,112,112
GENE_-_M5005_Spy1353_M5005_Spy_1353,12,10,9,14,16,11
GENE_-_M5005_Spy1356_pepC,1058,1430,967,1485,1526,1405
GENE_-_M5005_Spy1357_nadE,214,408,304,237,295,333
GENE_-_M5005_Spy1358_nadE,422,745,522,457,543,574
GENE_-_M5005_Spy1359_M5005_Spy_1359,586,772,474,462,644,535
GENE_-_M5005_Spy1360_M5005_Spy_1360,167,244,170,145,229,190
GENE_-_M5005_Spy1361_aapA,5,4,8,5,8,10
GENE_-_M5005_Spy1362_M5005_Spy_1362,179,261,196,182,267,257
GENE_-_M5005_Spy1363_M5005_Spy_1363,147,198,162,151,207,217
GENE_-_M5005_Spy1364_M5005_Spy_1364,378,532,342,344,532,539
GENE_-_M5005_Spy1365_mraY,289,375,252,265,346,281
GENE_-_M5005_Spy1366_M5005_Spy_1366,518,710,431,593,696,651
GENE_-_M5005_Spy1367_ftsL,30,26,13,31,22,20
GENE_-_M5005_Spy1368_mraW,282,326,177,209,320,270
GENE_-_M5005_Spy1369_M5005_Spy_1369,0,0,2,0,2,1
GENE_-_M5005_Spy1370_proA,69,100,73,113,138,117
GENE_-_M5005_Spy1371_M5005_Spy_1371,48,65,29,51,43,51
GENE_-_M5005_Spy1372_proB,106,164,102,308,130,140
GENE_-_M5005_Spy1373_M5005_Spy_1373,32,58,15,84,35,33
GENE_-_M5005_Spy1374_M5005_Spy_1374,12,12,5,15,9,6
GENE_-_M5005_Spy1375_tkt,1059,1514,924,1218,1557,1251
GENE_-_M5005_Spy1376_M5005_Spy_1376,45,103,99,111,146,138
GENE_-_M5005_Spy1377_M5005_Spy_1377,93,355,200,316,328,293
GENE_-_M5005_Spy1378_M5005_Spy_1378,144,441,224,382,324,309
GENE_-_M5005_Spy1379_glpF,7,11,5,7,11,8
GENE_-_M5005_Spy1380_glpO,23,38,25,34,37,46
GENE_-_M5005_Spy1381_glpK,19,38,27,35,41,40
GENE_-_M5005_Spy1382_M5005_Spy_1382,1401,2725,1839,1354,2263,1891
GENE_-_M5005_Spy1383_M5005_Spy_1383,24,45,29,60,49,48
GENE_-_M5005_Spy1384_glyS,382,435,323,541,486,504
GENE_-_M5005_Spy1385_glyQ,145,199,152,184,202,192
GENE_-_M5005_Spy1386_M5005_Spy_1386,85,233,144,169,227,232
GENE_-_M5005_Spy1387_M5005_Spy_1387,394,1193,677,795,1130,1018
GENE_-_M5005_Spy1388_nagA,115,241,177,201,343,352
GENE_-_M5005_Spy1389_M5005_Spy_1389,190,245,132,131,218,192
GENE_-_M5005_Spy1391_M5005_Spy_1391,368,491,392,248,445,437
GENE_-_M5005_Spy1393_M5005_Spy_1393,125,187,91,130,188,182
GENE_-_M5005_Spy1394_M5005_Spy_1394,61,109,40,67,101,80
GENE_-_M5005_Spy1395_M5005_Spy_1394,10,102,34,70,112,68
GENE_-_M5005_Spy1396_M5005_Spy_1396,2,27,6,26,37,15
GENE_-_M5005_Spy1397_M5005_Spy_1396,6,35,9,35,50,39
GENE_-_M5005_Spy1398_M5005_Spy_1396,4,16,7,22,51,27
GENE_-_M5005_Spy1399_M5005_Spy_1399,44,204,114,347,343,342
GENE_-_M5005_Spy1400_M5005_Spy_1400,10,39,24,55,48,46
GENE_-_M5005_Spy1401_M5005_Spy_1401,17,86,37,82,100,81
GENE_-_M5005_Spy1403_M5005_Spy_1403,0,0,1,0,0,0
GENE_-_M5005_Spy1404_copZ,0,2,1,4,7,3
GENE_-_M5005_Spy1405_copA,72,142,119,266,163,127
GENE_-_M5005_Spy1406_copY,8,17,11,45,19,17
GENE_-_M5005_Spy1408_rbfA,122,165,124,84,179,175
GENE_-_M5005_Spy1409_infB,3314,4815,2929,2282,4087,3842
GENE_-_M5005_Spy1410_M5005_Spy_1410,78,143,92,76,104,126
GENE_-_M5005_Spy1411_M5005_Spy_1411,105,157,88,93,127,148
GENE_-_M5005_Spy1412_nusA,798,1105,633,600,893,819
GENE_-_M5005_Spy1413_M5005_Spy_1413,223,290,161,156,278,229
GENE_-_M5005_Spy1414_M5005_Spy_1414,0,0,1,0,0,0
GENE_-_M5005_Spy1416_M5005_Spy_1416,7,6,0,13,4,2
GENE_-_M5005_Spy1417_M5005_Spy_1417,0,0,0,0,1,0
GENE_-_M5005_Spy1418_M5005_Spy_1418,2,1,1,1,2,0
GENE_-_M5005_Spy1419_M5005_Spy_1419,1,2,0,6,4,0
GENE_-_M5005_Spy1420_M5005_Spy_1420,1,0,0,1,1,0
GENE_-_M5005_Spy1421_M5005_Spy_1421,7,9,3,21,6,6
GENE_-_M5005_Spy1422_M5005_Spy_1422,2,2,0,5,4,2
GENE_-_M5005_Spy1423_M5005_Spy_1423,11,2,2,16,4,1
GENE_-_M5005_Spy1424_M5005_Spy_1424,15,4,1,31,5,0
GENE_-_M5005_Spy1425_M5005_Spy_1425,5,2,0,12,2,3
GENE_-_M5005_Spy1426_M5005_Spy_1426,30,24,6,77,13,15
GENE_-_M5005_Spy1427_M5005_Spy_1427,1,0,0,1,1,0
GENE_-_M5005_Spy1428_M5005_Spy_1428,2,0,1,8,1,1
GENE_-_M5005_Spy1429_M5005_Spy_1429,5,0,0,8,1,3
GENE_-_M5005_Spy1430_M5005_Spy_1430,2,0,0,3,1,3
GENE_-_M5005_Spy1431_M5005_Spy_1431,4,1,0,10,0,0
GENE_-_M5005_Spy1432_M5005_Spy_1432,3,1,0,7,3,1
GENE_-_M5005_Spy1433_M5005_Spy_1433,3,1,0,6,0,1
GENE_-_M5005_Spy1434_M5005_Spy_1434,4,3,2,20,5,1
GENE_-_M5005_Spy1435_M5005_Spy_1435,3,4,0,9,0,0
GENE_-_M5005_Spy1436_M5005_Spy_1436,1,0,0,3,0,0
GENE_-_M5005_Spy1437_M5005_Spy_1437,2,0,0,2,0,0
GENE_-_M5005_Spy1438_M5005_Spy_1438,2,0,3,18,4,1
GENE_-_M5005_Spy1439_M5005_Spy_1439,1,1,1,14,3,2
GENE_-_M5005_Spy1440_M5005_Spy_1440,4,2,0,5,6,2
GENE_-_M5005_Spy1441_M5005_Spy_1441,0,1,0,3,1,0
GENE_-_M5005_Spy1442_M5005_Spy_1442,2,0,1,3,1,1
GENE_-_M5005_Spy1443_M5005_Spy_1443,0,0,0,0,2,0
GENE_-_M5005_Spy1444_M5005_Spy_1444,6,4,1,10,0,7
GENE_-_M5005_Spy1445_M5005_Spy_1445,1,0,0,1,2,2
GENE_-_M5005_Spy1446_M5005_Spy_1446,0,0,0,0,0,0
GENE_-_M5005_Spy1447_M5005_Spy_1447,7,3,3,7,1,5
GENE_-_M5005_Spy1448_M5005_Spy_1448,0,0,0,2,0,0
GENE_-_M5005_Spy1449_M5005_Spy_1449,13,6,3,20,7,9
GENE_-_M5005_Spy1450_M5005_Spy_1450,9,1,3,14,9,7
GENE_-_M5005_Spy1451_M5005_Spy_1451,7,2,1,13,4,5
GENE_-_M5005_Spy1452_M5005_Spy_1452,3,4,1,4,2,1
GENE_-_M5005_Spy1453_M5005_Spy_1453,8,5,1,13,8,3
GENE_-_M5005_Spy1454_M5005_Spy_1454,1,0,0,4,1,0
GENE_-_M5005_Spy1455_M5005_Spy_1455,0,0,0,0,0,0
GENE_-_M5005_Spy1456_M5005_Spy_1456,0,0,0,2,0,1
GENE_-_M5005_Spy1457_M5005_Spy_1457,0,0,0,2,0,1
GENE_-_M5005_Spy1458_M5005_Spy_1458,2,0,0,1,1,0
GENE_-_M5005_Spy1459_M5005_Spy_1459,1,1,0,0,0,0
GENE_-_M5005_Spy1460_M5005_Spy_1460,0,0,0,4,0,0
GENE_-_M5005_Spy1461_M5005_Spy_1461,1,0,0,2,0,1
GENE_-_M5005_Spy1463_M5005_Spy_1463,0,0,0,0,0,1
GENE_-_M5005_Spy1468_trmB,192,244,172,196,284,224
GENE_-_M5005_Spy1469_M5005_Spy_1469,228,322,201,272,314,285
GENE_-_M5005_Spy1470_M5005_Spy_1470,211,332,174,274,369,318
GENE_-_M5005_Spy1471_M5005_Spy_1471,91,136,77,103,143,95
GENE_-_M5005_Spy1474_lytR,566,656,355,397,553,494
GENE_-_M5005_Spy1475_M5005_Spy_1475,160,139,86,91,101,100
GENE_-_M5005_Spy1476_M5005_Spy_1476,89,95,43,59,60,73
GENE_-_M5005_Spy1477_M5005_Spy_1477,412,365,157,161,283,281
GENE_-_M5005_Spy1484_accD,844,990,844,867,1486,1303
GENE_-_M5005_Spy1485_accA,785,898,782,801,1354,1284
GENE_-_M5005_Spy1486_accC,1673,1683,1444,1448,2483,2414
GENE_-_M5005_Spy1487_fabZ,403,351,291,282,502,484
GENE_-_M5005_Spy1488_accB,421,372,356,380,580,633
GENE_-_M5005_Spy1489_fabF,1575,1237,1141,1226,1985,2100
GENE_-_M5005_Spy1490_fabG,773,417,507,414,796,811
GENE_-_M5005_Spy1491_fabD,953,547,521,548,879,1090
GENE_-_M5005_Spy1492_fabK,1020,497,520,481,862,991
GENE_-_M5005_Spy1493_acpP,386,180,178,245,355,375
GENE_-_M5005_Spy1494_fabH,2296,1110,1245,1258,1919,2299
GENE_-_M5005_Spy1495_M5005_Spy_1495,957,398,493,453,672,877
GENE_-_M5005_Spy1496_phaB,1691,775,868,633,1079,1474
GENE_-_M5005_Spy1497_dnaJ,201,599,356,545,628,500
GENE_-_M5005_Spy1498_dnaK,904,3703,2179,6350,4757,3631
GENE_-_M5005_Spy1499_grpE,159,456,298,1595,829,652
GENE_-_M5005_Spy1500_hrcA,149,504,369,2580,993,849
GENE_-_M5005_Spy1501_M5005_Spy_1501,52,108,75,125,154,103
GENE_-_M5005_Spy1502_M5005_Spy_1502,60,139,103,154,159,190
GENE_-_M5005_Spy1503_M5005_Spy_1503,110,147,101,159,180,198
GENE_-_M5005_Spy1504_M5005_Spy_1504,25,22,15,42,45,36
GENE_-_M5005_Spy1505_M5005_Spy_1505,7,15,7,5,14,9
GENE_-_M5005_Spy1506_gatB,448,641,408,525,588,617
GENE_-_M5005_Spy1507_gatA,389,557,364,396,449,483
GENE_-_M5005_Spy1508_gatC,35,51,23,35,47,38
GENE_-_M5005_Spy1509_M5005_Spy_1509,0,1,1,1,1,3
GENE_-_M5005_Spy1510_M5005_Spy_1510,0,0,0,0,0,0
GENE_-_M5005_Spy1511_M5005_Spy_1511,1,1,2,1,2,5
GENE_-_M5005_Spy1512_codY,512,510,394,600,601,530
GENE_-_M5005_Spy1513_M5005_Spy_1513,439,624,431,487,613,528
GENE_-_M5005_Spy1515_M5005_Spy_1515,229,177,148,232,144,166
GENE_-_M5005_Spy1517_M5005_Spy_1517,9,12,8,14,11,10
GENE_-_M5005_Spy1518_M5005_Spy_1518,14,17,8,23,23,11
GENE_-_M5005_Spy1519_recG,338,492,315,382,435,439
GENE_-_M5005_Spy1521_M5005_Spy_1521,174,313,213,250,313,333
GENE_-_M5005_Spy1522_M5005_Spy_1522,47,99,71,87,92,85
GENE_-_M5005_Spy1523_M5005_Spy_1523,43,88,69,57,88,102
GENE_-_M5005_Spy1524_M5005_Spy_1524,57,92,63,82,87,80
GENE_-_M5005_Spy1525_M5005_Spy_1525,14,22,16,30,28,24
GENE_-_M5005_Spy1526_fhuC,5,5,8,14,12,14
GENE_-_M5005_Spy1527_M5005_Spy_1527,10,7,4,11,11,18
GENE_-_M5005_Spy1528_M5005_Spy_1528,5,3,4,10,12,21
GENE_-_M5005_Spy1529_shp,6,5,3,16,13,10
GENE_-_M5005_Spy1530_M5005_Spy_1530,80,88,57,111,104,114
GENE_-_M5005_Spy1531_isp2,731,909,708,1239,1215,1244
GENE_-_M5005_Spy1532_alr,128,157,120,180,187,209
GENE_-_M5005_Spy1533_acpS,29,37,18,43,42,33
GENE_-_M5005_Spy1534_secA,1742,2627,1596,2155,2558,2323
GENE_-_M5005_Spy1535_M5005_Spy_1535,0,0,0,1,0,0
GENE_-_M5005_Spy1536_M5005_Spy_1536,10,11,4,7,5,8
GENE_-_M5005_Spy1537_M5005_Spy_1537,12,24,9,11,26,22
GENE_-_M5005_Spy1538_pmi,151,270,193,157,178,197
GENE_-_M5005_Spy1539_scrK,5,11,8,4,14,12
GENE_-_M5005_Spy1540_endoS,52,133,92,88,243,225
GENE_-_M5005_Spy1541_M5005_Spy_1541,0,0,0,0,0,0
GENE_-_M5005_Spy1542_scrA,25,100,78,43,144,159
GENE_-_M5005_Spy1545_nusB,369,666,426,505,661,629
GENE_-_M5005_Spy1546_M5005_Spy_1546,253,445,258,347,403,409
GENE_-_M5005_Spy1547_efp,458,645,361,523,567,543
GENE_-_M5005_Spy1548_comEB,52,88,54,59,73,81
GENE_-_M5005_Spy1549_M5005_Spy_1549,103,150,77,100,140,136
GENE_-_M5005_Spy1550_uvrA,939,1555,1018,893,1423,1250
GENE_-_M5005_Spy1553_rpsR,322,445,331,338,417,515
GENE_-_M5005_Spy1554_ssb3,850,1139,1014,841,1220,1263
GENE_-_M5005_Spy1555_rpsF,227,344,272,259,402,413
GENE_-_M5005_Spy1556_M5005_Spy_1556,8,5,5,7,7,3
GENE_-_M5005_Spy1559_trx,308,375,274,313,410,360
GENE_-_M5005_Spy1560_M5005_Spy_1560,47,82,55,56,78,77
GENE_-_M5005_Spy1561_mutS2,329,515,331,338,450,435
GENE_-_M5005_Spy1562_M5005_Spy_1562,169,287,134,156,193,192
GENE_-_M5005_Spy1563_M5005_Spy_1563,54,92,60,61,84,85
GENE_-_M5005_Spy1568_dinP,41,80,52,50,84,74
GENE_-_M5005_Spy1570_M5005_Spy_1570,185,281,174,254,242,221
GENE_-_M5005_Spy1571_M5005_Spy_1571,145,194,121,172,207,176
GENE_-_M5005_Spy1573_M5005_Spy_1572,522,534,310,443,501,395
GENE_-_M5005_Spy1574_M5005_Spy_1574,3,8,1,16,5,3
GENE_-_M5005_Spy1575_norA,60,94,14,379,128,52
GENE_-_M5005_Spy1578_M5005_Spy_1578,0,1,2,1,0,0
GENE_-_M5005_Spy1581_M5005_Spy_1581,2,9,8,9,8,11
GENE_-_M5005_Spy1582_dnaQ,3,6,3,5,5,3
GENE_-_M5005_Spy1583_M5005_Spy_1583,43,54,36,50,44,46
GENE_-_M5005_Spy1585_deoC,223,318,199,295,392,275
GENE_-_M5005_Spy1586_nupC,579,765,448,554,763,605
GENE_-_M5005_Spy1587_udp,159,177,132,173,209,173
GENE_-_M5005_Spy1588_M5005_Spy_1588,0,1,1,0,0,1
GENE_-_M5005_Spy1591_gcp,374,585,401,324,485,434
GENE_-_M5005_Spy1592_M5005_Spy_1592,86,167,108,94,122,130
GENE_-_M5005_Spy1593_M5005_Spy_1593,165,251,188,142,228,201
GENE_-_M5005_Spy1596_glnA,1280,1776,1205,1992,1928,1697
GENE_-_M5005_Spy1597_M5005_Spy_1597,110,180,133,197,200,163
GENE_-_M5005_Spy1598_M5005_Spy_1598,85,107,87,66,97,90
GENE_-_M5005_Spy1599_pgk,1773,2445,1687,2189,2385,2157
GENE_-_M5005_Spy1600_lppC,377,559,387,531,548,503
GENE_-_M5005_Spy1601_M5005_Spy_1601,224,373,263,272,329,318
GENE_-_M5005_Spy1602_M5005_Spy_1602,957,1671,1038,1253,1561,1465
GENE_-_M5005_Spy1603_asp,174,230,137,195,227,196
GENE_-_M5005_Spy1604_M5005_Spy_1604,1,0,1,0,1,0
GENE_-_M5005_Spy1605_M5005_Spy_1605,9,18,8,16,17,19
GENE_-_M5005_Spy1606_rpmB,218,233,143,127,235,248
GENE_-_M5005_Spy1607_fba,1407,1312,833,2020,1260,1195
GENE_-_M5005_Spy1608_M5005_Spy_1608,369,466,309,325,372,387
GENE_-_M5005_Spy1609_M5005_Spy_1609,305,474,293,319,427,399
GENE_-_M5005_Spy1610_pyrG,5,1,3,1,1,2
GENE_-_M5005_Spy1611_rpoE,272,284,140,255,256,246
GENE_-_M5005_Spy1612_tig,1220,1012,616,1264,1162,957
GENE_-_M5005_Spy1614_M5005_Spy_1614,119,126,86,112,118,124
GENE_-_M5005_Spy1615_M5005_Spy_1615,89,137,82,154,140,117
GENE_-_M5005_Spy1616_thiD,112,198,133,197,171,185
GENE_-_M5005_Spy1617_truA,192,303,178,211,265,232
GENE_-_M5005_Spy1618_truA,0,0,0,2,0,0
GENE_-_M5005_Spy1620_M5005_Spy_1620,22,49,33,22,33,36
GENE_-_M5005_Spy1624_M5005_Spy_1624,3,1,1,0,1,2
GENE_-_M5005_Spy1625_salR,30,53,44,42,52,59
GENE_-_M5005_Spy1626_M5005_Spy_1626,53,98,60,66,90,132
GENE_-_M5005_Spy1627_salY,58,114,72,62,80,80
GENE_-_M5005_Spy1628_M5005_Spy_1628,1,3,2,2,7,0
GENE_-_M5005_Spy1629_salX,0,2,0,0,1,1
GENE_-_M5005_Spy1630_salB,0,6,0,4,3,4
GENE_-_M5005_Spy1631_salA,0,1,0,0,1,1
GENE_-_M5005_Spy1632_lacG,18,105,14,76,87,52
GENE_-_M5005_Spy1633_lacE,4,132,59,271,241,151
GENE_-_M5005_Spy1634_lacF,3,7,7,35,29,34
GENE_-_M5005_Spy1635_lacF,16,115,44,279,222,176
GENE_-_M5005_Spy1636_lacF,25,137,68,279,243,235
GENE_-_M5005_Spy1637_lacF,33,95,59,243,229,153
GENE_-_M5005_Spy1638_lacF,17,88,31,156,140,109
GENE_-_M5005_Spy1644_M5005_Spy_1644,0,0,0,0,0,0
GENE_-_M5005_Spy1646_rpsI,573,535,466,539,590,580
GENE_-_M5005_Spy1647_rplM,627,520,388,455,538,540
GENE_-_M5005_Spy1648_M5005_Spy_1648,4,3,0,1,2,0
GENE_-_M5005_Spy1649_M5005_Spy_1649,6,7,1,3,9,6
GENE_-_M5005_Spy1650_M5005_Spy_1650,240,167,172,215,168,148
GENE_-_M5005_Spy1651_M5005_Spy_1651,222,363,208,207,333,326
GENE_-_M5005_Spy1652_M5005_Spy_1652,409,777,458,440,621,549
GENE_-_M5005_Spy1653_M5005_Spy_1653,163,155,120,167,154,116
GENE_-_M5005_Spy1654_M5005_Spy_1654,65,95,42,78,98,74
GENE_-_M5005_Spy1655_cysS,213,285,185,186,278,299
GENE_-_M5005_Spy1656_M5005_Spy_1656,22,24,13,15,24,31
GENE_-_M5005_Spy1657_M5005_Spy_1657,82,100,64,86,130,128
GENE_-_M5005_Spy1658_cysE,178,219,183,191,190,212
GENE_-_M5005_Spy1659_M5005_Spy_1659,134,230,124,147,205,200
GENE_-_M5005_Spy1660_M5005_Spy_1660,555,835,542,570,762,764
GENE_-_M5005_Spy1661_M5005_Spy_1661,1,2,3,3,2,3
GENE_-_M5005_Spy1662_ulaA,1,2,1,2,3,0
GENE_-_M5005_Spy1663_M5005_Spy_1663,2,1,0,0,1,0
GENE_-_M5005_Spy1664_M5005_Spy_1664,4,7,1,7,8,5
GENE_-_M5005_Spy1665_M5005_Spy_1665,2,4,0,1,3,3
GENE_-_M5005_Spy1666_rpsO,208,225,204,239,257,285
GENE_-_M5005_Spy1667_M5005_Spy_1667,0,0,0,0,0,0
GENE_-_M5005_Spy1670_M5005_Spy_1670,72,102,74,129,110,122
GENE_-_M5005_Spy1671_M5005_Spy_1671,61,68,49,89,88,61
GENE_-_M5005_Spy1672_polC,586,811,563,760,798,767
GENE_-_M5005_Spy1673_proS,679,1113,691,896,1062,966
GENE_-_M5005_Spy1674_M5005_Spy_1674,346,549,321,427,581,491
GENE_-_M5005_Spy1675_cdsA,148,185,127,151,209,203
GENE_-_M5005_Spy1676_uppS,126,180,105,131,149,128
GENE_-_M5005_Spy1677_yajC,229,459,270,221,444,427
GENE_-_M5005_Spy1678_M5005_Spy_1678,88,182,126,68,116,111
GENE_-_M5005_Spy1679_M5005_Spy_1679,15,100,45,65,102,56
