Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
SSA_1181,2075,2909,1772,1256,2251,1618,1559,2206
SSA_1543,34083,68075,47673,31715,36055,52163,30031,42180
SSA_1076,9411,14919,9803,5936,14083,10188,9857,11897
ylxM,2501,3976,2532,1742,2765,2637,2004,2967
SSA_1476,52667,94504,65301,38687,85584,70907,56036,75566
cpoA,33127,68677,39156,23197,47022,33565,33211,36954
SSA_1956,39251,67293,39996,25118,65084,40529,37789,59418
SSA_0171,2533,4477,4030,2024,2749,3380,2134,3512
SSA_0414,145,184,164,89,213,220,133,194
phoU,27691,51625,32725,17745,46968,33592,28056,39420
lacF,9620,26273,21682,7258,23499,22403,12568,23349
SSA_1756,60163,111383,80876,44238,84050,94370,67859,106123
purK,2172,3933,2999,1291,3722,2968,2070,3649
SSA_0629,31727,55765,32251,21898,36851,32332,28874,37835
fur,8567,14969,9755,6108,14888,10623,8030,13015
SSA_1340,293,434,336,157,347,227,206,330
SSA_1042,6369,10489,6379,4427,8128,6106,5290,7546
SSA_0576,13049,17588,12038,7249,13617,10635,9764,14058
SSA_1023,60045,90263,67745,35487,62866,60109,51383,67129
SSA_1288,647,1301,941,474,727,935,569,680
SSA_1852,46702,67908,39831,25012,55326,32815,32924,46568
SSA_1964,45656,105388,60780,38705,59685,65114,42469,58125
SSA_0193,2193,2987,1550,1288,2020,1631,1709,1941
dnaC,88429,142611,87940,49516,101791,78311,70754,102100
rbsB,13999,21606,15737,8080,18505,16653,13966,18627
groEL,425532,801992,451854,263963,673536,466939,440166,637973
SSA_0304,6078,10202,6244,4328,9966,6209,5799,11925
SSA_0345,6275,13645,9266,4283,10399,10874,6448,12536
SSA_0492,21081,32799,25418,10663,34016,22750,18747,33102
leuC,18053,26015,18157,8971,24109,18263,15860,25534
SSA_1103,363,562,355,243,391,365,297,366
accA,102471,127078,75547,49601,88038,61734,73755,97130
pdhB,11504,27528,20563,9053,22852,19965,13554,28452
SSA_1472,1244,2619,1690,994,1563,1572,1301,1548
SSA_2250,8009,18384,10657,7265,12992,16159,9537,15505
SSA_0992,1847,2775,1505,1290,1788,1680,1481,1969
sspC,251397,439739,281285,168666,378719,296983,261444,339652
SSA_1820,3999,6032,3745,2993,4068,4137,3590,3758
SSA_1386,37402,84030,49947,28639,76869,54133,42458,60629
SSA_1002,1735,3637,2615,1307,2930,2756,2025,3238
SSA_0169,3767,7441,4963,3377,4139,5826,3194,4037
SSA_2329,13912,41715,31071,10873,35249,32851,18183,36077
hemK,28051,46747,33196,16375,33858,27602,23434,34300
leuB,13300,19479,13149,6818,18283,13126,11499,19635
mecA,24849,42529,25550,17946,30260,26210,22566,28364
SSA_2304,72750,127205,71176,43630,92843,58578,61675,80825
SSA_0292,1725,3081,2228,1084,2732,2167,1800,2621
SSA_0510,20773,59122,37658,17663,52312,38030,28092,44676
dnaX,22027,38072,22959,14320,28287,21639,19518,25651
uvrB,14497,17833,12954,6393,14790,9524,9160,14229
SSA_1558,37140,60559,41739,20979,51979,42278,36310,50521
crcB2,853,1347,819,554,1250,938,835,1145
flaV,8482,12762,6857,5654,9411,5873,5517,10550
murF,16896,27473,18504,9373,26420,17330,15957,24454
rplL,35443,50495,27658,20133,36151,28284,28314,31412
SSA_1271,13443,21493,15916,7856,17651,12040,10105,16238
uppS,10402,16306,9378,6430,12700,7949,7974,11739
SSA_0231,74422,127870,70320,60187,83221,78664,71429,73409
SSA_1922,10451,19262,10751,7535,14682,14174,11391,14928
SSA_2164,46208,77770,46371,29005,55221,40039,36644,58968
SSA_0322,2218,3536,2441,1360,3206,2934,2161,2733
SSA_2446,1144,933,684,184,417,444,484,560
cmk,32238,53533,32270,18848,38315,27790,25979,38856
SSA_1526,3119,6531,3552,2916,5862,4847,3825,4967
SSA_1474,3655,6172,4741,2724,3899,4686,3246,4138
SSA_1600,170,353,258,105,231,161,152,225
SSA_2241,14423,29366,19465,10969,19669,18444,12462,19279
SSA_0814,65602,116722,74368,38329,118050,73043,65402,87622
mreC,941,1302,761,581,973,895,665,822
SSA_1502,23677,38116,25618,14276,29679,22572,19517,28180
SSA_1746,2976,4555,2575,1811,3342,2462,2466,3035
SSA_0034,858,1225,947,615,791,896,694,1031
dnaA,21801,35102,22735,16024,25304,23159,19615,24899
rpsO,55164,116890,73875,39484,82964,62659,49516,73068
frr,13117,20135,13069,8422,16580,10964,10650,15096
SSA_1367,137,230,168,60,220,195,123,205
SSA_1584,1027,1876,1283,633,1463,1430,1070,1576
rpiA,18890,24431,16205,9233,18935,13020,12490,20098
SSA_0585,553,1056,594,385,791,702,637,858
hisB,6070,10432,7407,3428,8043,5360,4718,7494
galR,26565,61763,44285,18525,56033,41656,31902,48870
SSA_0711,7266,16846,12545,5108,14230,12940,8466,14128
glmS,243592,454064,268460,149499,330063,223293,223384,267922
SSA_0329,14518,21749,13574,8654,21991,14260,13226,19320
SSA_0507,3582,6139,3984,2806,4352,4270,3210,3935
SSA_1799,45282,77437,48636,25499,68888,47701,44103,63234
SSA_2055,1546,3127,2086,1299,2669,2372,1811,2565
SSA_0473,17513,25717,20462,9199,26134,18642,15802,25685
comYB,126,168,140,64,201,181,114,144
SSA_1610,28297,44541,28596,17179,31163,27276,23922,33229
SSA_1883,41042,83513,54292,32922,51763,54889,39870,50554
SSA_0488,26009,40229,28912,13699,39272,26992,22575,40144
SSA_1253,120,172,78,83,83,97,101,88
prfA,30917,46049,36901,16159,36031,26396,22058,37629
SSA_1330,4888,7640,5759,2880,5320,5095,3807,5985
citB,2832,4309,2978,1717,3544,3207,2728,4298
elaC,23241,43256,29112,14139,38176,27630,23559,35822
SSA_0150,1458,2261,1392,956,1963,1689,1357,2043
SSA_1453,10979,22640,16722,9502,15503,14819,10897,15015
adh,71206,174678,101867,50999,111316,77644,63778,105896
SSA_2227,16069,22337,15083,8206,17412,13409,12498,15523
SSA_2444,7434,4754,2937,1014,2206,2315,2623,2882
SSA_0189,62,121,86,50,118,80,103,110
SSA_0367,1451,2409,1571,900,2319,1694,1436,1815
SSA_0703,2223,3252,2373,1194,2748,2366,2104,3438
ntpD,111646,197036,134820,59295,194259,116987,106121,177672
radA,20682,28790,20952,9903,24065,15449,14014,21894
SSA_1735,4344,7825,4667,3638,6290,7152,5352,5940
SSA_0560,4464,7404,5849,3474,4720,6054,3871,4849
SSA_0156,3299,5728,3448,2413,4479,4064,3532,5237
SSA_2272,3130,5640,3694,2225,3473,3850,2954,3324
SSA_0219,25227,30561,18542,9560,23543,15260,15440,21191
SSA_2324,4434,7590,5144,2931,6762,5178,4540,6092
SSA_0923,666,955,620,365,864,759,618,791
SSA_2127,44,88,52,37,57,90,77,73
SSA_1681,1082,1726,1071,647,1666,1163,946,1511
SSA_2322,1194,2333,1538,959,1758,1439,1046,1535
SSA_0718,123493,236314,139896,100876,165111,140410,123234,145822
rpsA,30116,44180,24236,19201,47783,25005,27581,49093
mvaD,28777,55339,35795,18930,46955,38130,28548,43462
SSA_2228,12105,17001,12001,6227,13981,10078,9256,12082
SSA_1947,22234,30512,18860,13873,23536,20253,18178,19061
ppc,147855,271084,165899,103916,225350,185160,164242,198267
SSA_2076,113162,345961,216935,97158,264654,218291,149369,302988
pdhC,9718,26157,21635,8358,22226,20530,12194,28033
rgpG,69444,119063,64615,52740,80338,73625,61089,77145
SSA_1488,285,373,268,183,228,218,215,346
SSA_1505,41544,72262,44774,32125,59409,59696,49756,54784
sspD,40396,68006,52226,25323,63485,50309,41309,57123
SSA_1765,10950,20767,13998,7968,12756,14502,10178,12065
dinP,6652,13374,8557,4806,9501,7098,6386,9034
nadD,12321,16153,11083,6445,11453,9889,9369,13041
SSA_0381,785,1466,1057,677,956,1059,787,866
SSA_0687,20836,42325,26727,18095,26505,27936,21007,25520
SSA_1192,5090,8085,5336,4217,4776,6512,4478,4997
SSA_0947,821,1274,1040,571,823,1039,601,959
SSA_1695,19998,54300,39310,16136,43575,43223,27719,39992
SSA_0752,37012,54366,33655,19421,54541,34748,34530,44440
SSA_1022,18433,25611,16727,11420,17004,16554,15615,19474
SSA_2125,11329,18796,11795,6471,14475,10244,8973,13072
capD,42702,55028,36408,22099,38650,35669,32168,41712
SSA_0191,2058,3076,1840,1475,3002,2167,1998,3073
SSA_2295,19032,34121,29198,15462,21550,27768,17034,22994
mutS2,44307,70094,49439,24224,55551,40538,35072,49928
rimI,12370,20812,13147,6632,19061,12773,11409,17573
spxA,9997,19306,13922,7381,12050,13048,9196,13059
SSA_2017,5916,10307,6883,4466,8620,8523,6184,8604
SSA_0639,298,456,310,191,352,248,286,242
SSA_1618,6942,11701,7785,4027,9453,6158,5650,7883
SSA_2071,6173,9504,5551,3093,6930,4629,4825,6299
pyrC,43843,83147,53463,26667,69374,52460,43984,68083
lguL,3813,5706,3492,2204,4369,3312,2944,4203
msmR,1245,3247,2370,1199,2597,2702,1878,2504
SSA_1122,4266,7642,4787,3019,6778,5171,4565,5756
SSA_1131,11016,19078,13087,7087,16425,13685,11641,14450
norM2,1283,2187,1586,876,1835,1681,1323,1960
ubiE,1328,1917,1463,750,1985,1590,1219,1579
SSA_0471,22827,34586,27408,12007,33875,24288,21428,33462
fhs,2890,3907,2499,1602,3183,2170,1797,3297
metE,1867,3119,1978,1082,3002,2065,1742,2406
SSA_2006,26748,44069,26487,21682,35064,39009,32341,37024
hemD,12612,22800,16500,7002,21370,14336,12332,20779
eutA,49132,118361,83933,38396,103254,80077,64802,88867
SSA_1222,1007,1745,1071,777,1444,1577,1101,1342
SSA_2279,2214,3433,2275,1278,2521,2168,1904,2284
SSA_2291,75,125,61,47,101,104,76,109
SSA_2364,30939,50596,28966,20926,48123,30953,28793,49311
dtd,12781,20653,13367,7161,18474,12975,12566,16983
SSA_1550,9621,19517,11226,6993,15153,12465,11510,13946
SSA_1755,16625,31326,22908,12839,23383,28069,19090,28066
SSA_0487,17688,30425,23421,9893,29283,20099,16919,29498
SSA_1059,5643,9069,5535,4075,7278,8175,6199,7113
SSA_0641,1661,2896,1965,1309,2006,2023,1638,1670
SSA_1903,15158,23302,15412,9109,18935,14403,12017,17197
rmlC,43969,73588,42634,28010,54772,40700,39500,47013
ntpG,32880,51506,33130,17401,45305,32492,29754,47389
SSA_1057,7611,13002,8744,4912,11370,8889,7300,10814
SSA_2316,12608,19735,12597,5822,16253,9255,9078,11863
SSA_1417,4576,7069,4579,2477,5266,3960,3271,5493
SSA_0182,13126,22466,14222,9125,18972,16653,14483,16624
scrR,5069,11008,7657,3781,9228,7671,6164,8350
ebsC,2442,5075,3153,2202,4642,3582,3262,3653
rbgA,4047,6259,3895,2735,4709,3607,3682,4455
SSA_1348,580,874,694,356,862,767,566,740
lacG,21226,75178,56860,22610,58383,69239,35490,72329
zmpB,631351,1137038,744165,386032,937601,730194,644855,910135
SSA_2194,8478,14818,8861,5367,10463,8525,7121,10666
cadX,301,456,336,237,302,372,264,270
gapN,32704,37616,22735,14563,32293,19951,21618,25786
SSA_1279,21725,39989,24917,14827,32121,27219,23224,29823
rgpF,74944,113651,77429,47233,84203,75368,63460,87254
murZ,5748,8392,5683,2897,6631,4648,3768,6607
SSA_1100,83071,126763,91025,53833,84979,85564,70487,102836
SSA_1687,11043,18998,12820,7360,17541,14223,11779,13520
rpmB,16286,32791,18258,11478,18758,19724,13461,21880
SSA_0358,393,678,480,312,600,650,457,530
sip,9720,19303,13507,6911,15184,16019,10002,16111
accB,42026,61531,44256,23984,51406,45758,40540,58486
ffs,297,281,208,86,157,173,203,169
trpB2,9507,14762,9794,4848,11563,7565,6527,11183
SSA_1585,318,517,362,197,468,396,301,458
nisR,1934,3178,1956,1253,2709,2229,1802,2659
SSA_0396,402,647,477,264,599,523,402,554
SSA_0580,6942,8784,6395,4176,5453,6923,5315,6965
mreD,1162,1750,886,1076,1173,1129,1113,1040
SSA_2390,8770,14426,9546,5802,9618,10180,7742,9325
SSA_1257,15729,28819,18340,10591,22729,19332,16290,23032
adcC,8593,12153,7268,4587,9316,6904,6407,8858
acpS,24922,44563,31509,16783,30837,28835,21922,32824
SSA_0833,81763,125357,90761,46146,101698,91085,75457,132493
SSA_2413,176,360,126,88,105,172,56,237
SSA_0561,6418,10586,8948,4741,6723,9169,5319,6955
luxS,6239,11608,7303,3984,8942,5788,5698,7433
srtA,42425,79544,47088,30800,57158,45948,41208,50320
SSA_0442,618,1101,793,476,928,1126,669,868
dapD,30519,39043,27026,12910,30823,20272,18631,32293
metF,828,1331,920,557,1284,1012,868,1022
SSA_1063,3331,8226,4935,3495,5161,4939,3889,4335
ftsK,35297,52223,31631,19781,42434,26392,26368,38734
pth,1360,2170,1401,1010,1594,1485,1226,1460
SSA_0073,12918,38529,30691,14139,30192,38646,19279,31721
pepXP,22983,43466,30360,16353,39932,30856,24800,32710
mvaK2,37731,66849,43888,21595,59679,42725,36716,51894
thrC,37990,65268,41333,22993,51076,36072,32998,43265
SSA_1291,65554,100477,74571,39802,64517,62421,54921,85841
doc,6796,12360,8402,5544,8297,8809,6770,7412
rnc,4257,5833,3264,2394,4330,2945,2869,4841
SSA_1762,28628,63378,41934,21027,54312,42610,33377,45787
ulaD,31452,120460,92097,29022,98140,96228,44523,158114
murG,25713,40852,25427,14236,31659,22544,20947,27978
axe1,5518,9295,6039,3500,6482,5539,4716,7164
SSA_0155,409,649,433,288,511,513,458,610
SSA_0508,22316,62764,41284,22050,53122,45239,33423,42936
SSA_0834,96891,143105,101536,55714,115804,105578,86936,159961
SSA_2256,2838,6245,3525,2357,4634,4693,3373,4460
ogt,1196,2349,1317,877,2035,1490,1199,1852
SSA_1214,5560,9640,5904,4845,6255,6556,5939,5216
dexS,10845,24088,17041,7525,20070,16163,12442,19477
SSA_1804,34735,63463,40530,21398,48217,32692,31629,41337
rplU,44872,65801,36344,27546,51933,35789,36275,44225
ilvB,8887,11588,7646,4477,9796,6462,6502,8588
SSA_2046,39509,59357,43039,20240,53734,42104,36197,51682
rpsR,24244,45856,24479,19800,37475,31504,28055,35586
SSA_1473,1927,3248,2521,1350,2303,2398,1718,2248
SSA_0158,2105,3222,1849,1339,2581,2252,2005,3101
SSA_1238,13946,25765,16741,9805,20570,18064,15810,19278
ppiA,10284,15244,9686,6723,11889,9158,8013,12506
SSA_2083,451,973,684,326,842,690,480,838
SSA_2097,5454,7257,4921,3012,5113,4240,4123,6353
SSA_0541,146,272,126,98,260,188,154,177
SSA_1406,1429,2414,1527,1022,1865,2002,1482,2022
labT,655,1261,969,520,1078,1229,764,979
xpt,1566,2656,1764,1190,2356,2104,1760,2051
plsC,3310,4713,2726,1919,3675,2246,2333,3847
proW,9405,18283,10942,6532,15182,12313,10389,12476
purD,1943,3486,2673,1033,3385,2276,1820,3270
SSA_0577,5084,7680,5620,3314,5521,5064,4508,6214
nagA,43927,81923,55688,23883,62982,41323,34245,52744
SSA_1782,16414,25725,16882,10105,20652,15858,13854,18759
cobU,12205,21043,17398,6709,21412,14325,11335,21018
SSA_0963,26197,48676,30261,17200,42371,30825,27460,35376
adcR,2481,3688,2343,1543,2880,2379,2049,2624
pdhA,15125,34916,26168,11629,27460,24758,17155,34800
rpoE,51307,94994,69523,40100,68291,63765,42405,74207
aroC,56574,87717,56768,29754,81623,55837,48592,78094
wcaG,5869,10419,6408,3918,7623,6245,5599,6327
SSA_2233,47,69,60,28,63,82,56,64
SSA_1379,13204,23586,16183,9780,22343,15716,13829,19685
murE,34785,70914,47351,25718,53050,40293,33960,45461
rpoB,215977,322890,204428,117724,273053,166373,161469,232494
SSA_2122,1426,2736,1819,1304,1716,1937,1507,1683
SSA_1293,10027,16910,12598,7435,12716,15408,11791,14848
SSA_1156,27723,51281,35784,20430,41220,37372,31535,41579
upp,14459,24065,12909,8940,17173,12193,12158,16741
potA,16943,25619,15906,9660,22702,17037,14961,22465
SSA_0421,3051,5091,3251,1740,4481,3237,2878,4086
pgi,141599,235452,136117,94171,184482,124792,133619,137843
yidC,13855,25763,15307,9845,21950,15886,14326,20560
SSA_0826,19040,30908,19404,10887,23281,17591,17343,18279
SSA_2099,5101,7214,4871,2943,4687,4444,3998,6228
rodA,27109,45757,26272,19315,38176,33915,29030,33888
SSA_1372,227,424,381,189,336,424,306,420
licT,5950,8389,5215,3765,6478,5438,5185,5406
SSA_2068,4179,7480,4715,2799,5321,4864,3741,4815
rpe,16931,26024,16159,9152,20385,14055,13587,18256
grpE,53414,100166,66003,35591,86385,60723,56792,81825
SSA_0552,20063,34387,20857,12949,26217,18830,17417,24853
uncG,259000,385317,248973,140592,362921,251848,249409,305564
SSA_1027,58856,102433,59908,44561,84343,78203,66093,75939
mvaA,32746,54979,40307,17658,54824,35822,32544,43036
mocA,15853,26991,16898,9434,20988,15253,13548,18184
SSA_1387,2732,4905,3291,1944,3264,3584,2400,3003
purE,791,1374,1078,452,1424,926,731,1267
SSA_1026,15670,24067,13247,9426,17851,13332,12710,16951
SSA_1416,8299,12842,8848,4493,11212,8528,7685,11306
recA,66684,96328,55402,37342,80017,49137,49953,68585
ptsG,81040,162623,89716,55036,115601,79054,76746,101337
SSA_1548,736,1208,704,483,1120,765,690,1039
SSA_0705,1528,2023,1216,804,1634,1202,1162,1353
SSA_0762,2342,4335,2641,1983,3581,3569,2901,3123
SSA_0503,8286,12299,9437,4185,10941,8561,7579,12141
fabK,42046,47703,31355,18521,37852,26491,27352,41011
SSA_2042,28671,47561,31070,15832,44768,29095,25392,41099
gidA,29336,45379,27251,17471,42530,29810,28225,34585
metK,22892,36334,22409,12748,28443,19984,17658,26415
ftsX,33302,63399,39322,25936,52742,45818,40872,43914
SSA_0266,2185,4488,2983,1640,3039,2786,2197,2803
yorfE,345,594,390,284,417,418,299,422
SSA_2079,5829,10597,7447,3131,8045,5490,4383,7456
SSA_1179,13266,22990,13896,9282,19340,16418,14159,16654
SSA_2146,49413,72898,45871,25989,59687,39015,37387,52783
SSA_0730,3128,5845,3486,2517,3853,3708,3156,3765
rnhB,6130,9237,5724,3704,7315,5273,5381,6290
SSA_0860,232571,387992,250270,134468,338950,242241,229505,303748
SSA_1948,27703,40894,24954,18335,32634,23858,23636,30704
SSA_2363,5234,9966,6822,4424,6493,7173,5424,6034
pepA,129535,230044,151484,71951,223606,137957,114719,193777
recN,46418,75982,48947,26158,67788,48325,43072,60686
SSA_1317,1284,2008,1130,880,1347,1325,1158,1216
SSA_1700,99,207,147,106,201,178,150,160
SSA_0913,5678,9003,5176,3666,7490,6063,5694,7338
topA,12131,18778,12192,7013,15542,10658,9877,13467
cbiD,18234,29300,22539,10695,27384,20648,17215,26143
pyrR,1768,2789,2056,905,2386,1471,1307,1999
SSA_1723,8762,15533,8943,6443,11639,8932,8433,9892
SSA_0336,36172,63793,39216,21528,54614,39550,35196,47994
divIVA,93202,158671,96828,61765,120086,95460,85463,107873
rheA,7390,12018,7323,4175,11632,6725,7128,9951
hisZ,3561,5290,4010,1779,4334,3106,2584,4084
SSA_0149,381,643,378,360,426,485,330,433
SSA_0704,2859,4432,3011,1657,3398,3073,2730,4516
SSA_0408,262,342,273,130,296,298,236,364
SSA_0397,243,344,258,170,304,343,267,302
SSA_2261,3583,5300,3268,2240,4863,3572,2949,5678
SSA_1121,3039,5091,2620,2587,4498,3881,3197,4482
SSA_1648,6582,10304,6324,3977,7179,6702,5698,7024
SSA_1954,91658,139087,95525,50062,134098,92685,79713,119491
sga,20851,90438,72321,22526,70732,73484,31584,117543
SSA_2298,32191,44709,27889,16666,37143,25349,25152,30056
comC,768,2193,1535,749,1815,1957,1187,1260
SSA_0374,18227,30465,21605,10878,29874,20271,16985,24706
prsA,57882,104771,63080,38605,82760,68721,58011,80037
SSA_0422,3442,5844,3998,1977,5661,3629,3415,4535
cobM,17846,26954,20580,9208,25419,18813,15474,25731
purC,581,1051,677,386,761,835,572,911
SSA_0574,3840,6011,4011,2363,4893,3684,3145,4554
SSA_2424,2958,3884,2711,803,2058,1586,2368,1942
SSA_1455,12442,23032,15738,9908,14899,16500,12210,15251
SSA_1795,4735,7390,4969,2621,5956,4282,3750,5429
SSA_1319,4396,7364,4500,2554,5873,3435,3497,5331
SSA_0181,12471,20253,12811,7913,17921,14524,11993,15013
SSA_1157,19895,37666,26037,14732,30546,26913,21375,31075
SSA_1373,2450,5133,3522,1702,4507,3309,2558,4168
SSA_0900,35106,58822,35042,21889,43142,34909,32258,37396
SSA_1645,3119,6081,3862,2002,4586,4259,3293,4457
SSA_1754,19345,37844,27057,16564,27191,37703,23485,30290
SSA_1910,7477,8144,4809,3942,6638,4494,4885,7444
clpC,73787,103218,68707,34087,80502,52588,50784,83314
SSA_1465,20171,33451,19358,11420,24481,18991,16322,22973
murB,7895,10068,6093,3798,8188,5198,5118,8312
SSA_0074,57660,182684,148085,64005,140478,182115,89102,169610
SSA_1944,36935,51894,30954,22410,38822,32338,32915,32363
polA,91856,165947,111399,53762,155641,102088,88006,130565
SSA_0957,792,1318,964,599,1119,1204,822,1119
glmM,33871,50531,30890,18624,42491,27505,26858,33878
SSA_1515,6073,8898,5906,4306,6316,6634,5295,6471
SSA_2102,2562,3094,2282,1189,2373,1792,1619,2973
SSA_0512,16738,44033,30822,12208,38483,27994,19752,33486
glgB,68646,148731,103778,51204,117369,101180,78736,121303
SSA_2247,1100,2388,1525,960,1777,1802,1287,1988
mscL,5876,10218,4764,4743,9691,6813,5687,8588
eep,24519,32303,22355,11526,25919,18908,17591,25620
mutS,47501,69757,45972,23263,57026,36773,34946,51444
mesJ,20225,31359,20325,13354,22290,22199,17987,21206
SSA_2189,7440,14347,8868,4878,10594,8192,6600,9423
SSA_0390,2805,5039,3371,1919,4733,3338,3115,3573
SSA_2155,108837,170269,116322,60932,113901,99404,86918,142400
rplA,34666,59510,31084,23481,56378,31725,36142,49065
phoH,14876,22983,14986,7902,19920,12102,11302,15651
SSA_2082,479,843,645,315,725,669,452,788
SSA_2101,4010,5244,3518,2132,3557,3191,2925,4744
SSA_1396,1232,1910,1262,835,1486,1262,1045,1455
SSA_1793,13905,25158,16021,9931,20584,17171,15184,18833
SSA_1987,3348,6078,3711,3107,4962,5637,4317,4448
SSA_0212,14419,20908,12142,7506,17128,10562,10646,14924
SSA_0248,30602,49318,36502,22949,29564,37210,28158,39197
SSA_2469,90,161,40,53,70,69,35,109
SSA_1840,14247,24933,15345,10863,20120,19575,15536,18906
mraY,61630,106779,64670,37112,91567,66606,59226,79906
lplA,17770,33073,22983,12833,29645,23713,18441,25143
SSA_1837,2002,3787,2164,1447,2591,2179,1822,2664
pepN,62290,102703,63334,39047,78259,59710,56365,71884
SSA_1274,818,1496,1100,602,1252,1172,932,1180
alr,91177,150917,106865,51480,116954,84281,69334,119695
SSA_0166,1689,2870,1500,1584,2149,2621,1941,2674
SSA_2051,22332,36770,23315,13751,30928,20679,19301,24004
SSA_0407,288,496,348,178,471,360,295,371
SSA_0700,21159,36912,27613,15603,24519,29617,18812,23783
vicX,42321,70384,43842,24122,55639,39196,36044,46247
SSA_1511,45548,77062,51808,30497,61121,57382,46297,61537
SSA_1201,2985,5315,3129,2149,4869,3233,3019,4305
SSA_2412,156,304,115,70,78,170,53,206
rgpFc,33077,59168,36622,22827,46816,42495,35234,42752
rplQ,50842,69761,37674,32999,52749,40144,46574,42276
trmB,14248,21957,13427,7875,17919,12014,11479,15040
SSA_2112,1702,2324,1553,1013,1094,1813,791,2339
SSA_2154,7866,11436,8519,4226,7597,6794,5769,10644
SSA_1877,492,875,509,418,681,715,637,657
pbp2a,47567,81346,48765,30449,64533,44691,42241,55000
rpsI,26159,43861,30094,16114,46987,25550,26479,34821
ciaH,26299,53163,33055,19342,41834,35853,30294,37211
tag,3764,6637,4226,2998,5629,4934,4517,4987
aspS,15104,24356,13976,8447,19243,12534,11483,17235
pphA,16591,29747,18575,10276,24506,19051,16075,22514
SSA_0724,1275,2364,1426,961,1766,1862,1343,1842
cls,11872,18317,11851,6742,14609,11030,10016,12763
udK,3723,6016,3804,2582,4923,3706,2856,4739
SSA_1915,151,193,134,103,130,149,91,179
livH,6769,8063,5035,3526,6813,5209,4833,6095
clpP,39038,65702,37546,23607,48494,36653,33175,45800
SSA_0844,10640,20158,12564,9944,16396,18356,13889,14239
SSA_0227,37756,79818,45714,29077,63087,51067,43151,55467
pcsB,100638,163522,95282,66599,136670,80339,81301,122129
mreA,10059,13820,7812,5335,10859,6714,6907,11392
SSA_1652,2493,4058,2379,1503,2667,2411,2175,2936
dfp,3179,6141,3907,2554,5504,3790,3716,4873
lemA,21528,39263,26622,13799,31301,24220,18694,25066
SSA_1115,598,774,503,347,608,587,402,577
SSA_1278,6312,11620,7756,4737,9133,8929,7418,8550
SSA_0799,3869,7102,4443,3156,5434,6294,4541,5129
SSA_0857,6517,9302,5014,4946,6582,6315,6204,5364
SSA_0916,2823,4802,3186,1968,3971,3746,3001,3563
SSA_0270,14115,33000,22614,10511,24489,22666,16097,27184
SSA_0075,17868,55259,45317,20393,40453,50110,23935,55350
SSA_1660,1071,1731,988,649,1351,991,867,1161
ruvA,3920,5726,3621,2076,4875,3239,2748,4251
SSA_2182,3774,5610,3681,2452,4479,3694,3138,4364
pmrA,43819,71036,43469,26269,51945,40455,37341,53689
SSA_2023,22849,35020,23124,12589,24664,21768,17438,28230
adk,19836,23854,13562,9804,20366,12610,15817,14226
SSA_0802,5644,8279,4501,3731,8226,5166,4979,7950
SSA_2167,23782,35611,22567,13421,26647,20772,18631,28598
SSA_1471,14834,24818,12704,10369,17899,13596,12722,17496
fba,800738,1748061,983911,547890,1371055,973745,847567,1325271
SSA_0213,1920,3756,2638,1480,3093,3032,2071,2875
galU,54063,101261,66434,34923,81743,54346,50551,63536
ccpA,143975,321969,200899,107073,221479,175706,152813,189644
grk,19462,33440,22820,11144,24696,18934,16029,25371
truB,22579,36983,28594,12350,28351,21616,18034,29460
miaA,12113,18182,12502,5601,15056,9502,8185,13680
radC,176,282,168,118,189,189,160,156
ptsK,15847,22319,11988,9896,18349,12647,11992,16409
rpsK,54166,72844,37915,33574,56656,39527,47864,45391
SSA_0657,49145,73589,43122,33655,52410,46548,48382,44010
SSA_1230,26014,36879,28435,13225,30599,23897,17394,30738
cpsY,12197,23505,15691,9038,16816,14840,11555,16733
SSA_0320,13735,23154,13320,9478,17634,16893,13705,18513
tpiA,102708,191519,109701,63845,143219,97798,87669,129194
pepT,25583,42734,26272,17436,35574,25645,22703,28226
ukp,13895,19807,12669,7468,15145,12959,11197,13764
salX,20889,33572,20548,11579,26865,18858,16939,22680
SSA_0463,15278,29944,21840,9275,22774,16610,14153,19256
pplB,38928,64949,41083,24685,54138,44986,37344,48883
SSA_1315,2037,3757,2334,1664,2720,2329,1979,2733
SSA_1724,44807,116468,76642,33974,83477,77540,54626,88798
ftsL,5434,9396,5825,3984,7147,5455,5015,7144
prfB,27605,46746,25736,17081,37922,22683,23255,30545
SSA_0797,8727,12117,8365,5490,9141,8646,7324,9593
SSA_0603,8014,13562,8411,4771,11478,8577,7785,10198
nrdI,5564,8141,4573,3328,6468,4631,4508,5730
pgm,109400,203316,119885,71051,150695,111847,101816,133251
SSA_1889,539,1007,771,372,831,609,417,749
SSA_0462,90324,135912,83616,45623,130360,84038,78983,106436
SSA_0590,37446,58998,33571,24383,48095,42343,37070,45612
SSA_1559,28449,45207,29149,16928,37717,30829,26708,35722
jag,22906,38833,24135,13273,31257,21045,19386,25871
SSA_1404,4815,8326,5468,2945,6786,5488,4528,6879
SSA_2170,23559,38916,24523,16572,30448,31985,24057,30118
SSA_2020,13413,43892,31643,11794,34604,29456,17624,35548
SSA_1617,2559,4629,2800,1731,3396,2787,2456,2931
SSA_0673,2777,3925,2987,1410,3244,2235,2018,3368
SSA_0872,5407,8801,5586,3651,9160,5641,4807,7444
