Synonym,Raw.Counts.Untreated_SK36.strain.Replicate.1,Raw.Counts.Untreated_SK36.strain.Replicate.2,Raw.Counts.Untreated_SK36.strain.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.3
SSA_0728,189,168,191,207,167,251,152,168,241,85,56,84
SSA_0729,47,57,59,55,57,88,49,66,81,25,18,27
SSA_0730,511,395,378,471,484,483,336,384,512,195,208,206
SSA_0731,1198,951,993,1019,1153,1234,806,929,1277,484,503,468
SSA_0732,0,1,0,0,0,0,1,1,1,0,0,0
SSA_0733,2270,1679,1641,2321,2367,2897,1971,1942,2682,1230,1090,1149
predicted RNA,62,46,55,63,64,87,63,70,78,41,28,34
SSA_0734,624,482,516,756,638,843,544,618,828,365,294,332
SSA_0735,1098,723,747,1170,1362,1460,975,890,1314,614,674,564
SSA_0736,1539,1225,1197,1983,2088,2434,1634,1769,2580,991,1088,974
SSA_0737,14459,12470,12656,19296,18691,21690,19654,22337,30277,13495,12720,12655
SSA_0738,17041,14643,15655,22768,21013,24858,22577,25824,35971,15166,14453,14636
predicted RNA,50,36,22,53,57,49,52,66,70,36,40,38
SSA_0739,524,564,614,731,689,969,1656,2100,2602,748,500,750
SSA_0740,1627,1351,1415,1787,2126,2619,4250,5350,6766,1657,1380,1584
SSA_0741,665,550,531,741,882,1094,1717,2240,2977,811,581,722
SSA_0743,967,734,847,1017,985,1142,897,1161,1498,654,620,648
SSA_0744,1747,1324,1395,1849,1565,2026,1713,1900,2720,1155,1064,1055
SSA_0745,77,83,92,52,76,103,105,90,128,71,53,41
SSA_0746,565,441,477,569,587,705,720,753,686,335,271,347
SSA_0747,5617,4117,4106,4316,4306,5084,3500,3682,5036,1990,1789,1880
SSA_0748,914,726,706,888,782,1060,644,584,851,406,340,380
SSA_0749,17,5,9,8,12,10,12,5,10,3,4,3
SSA_0750,44,27,28,35,34,35,74,61,58,34,27,27
SSA_0751,3790,3714,4065,4498,3808,5065,4648,5308,6939,3747,3347,3438
SSA_0752,1652,1618,1702,1926,1656,2210,1936,2202,2954,1622,1412,1534
SSA_0753,9455,7860,8198,8544,7840,9388,6610,7644,10176,5165,4823,4821
SSA_0755,1286,1181,1210,1219,1126,1357,942,1071,1762,664,585,680
SSA_0756,10530,9733,10698,10376,8547,11411,8493,9371,12190,5664,4700,5557
SSA_0757,1520,1201,1333,2451,2463,2839,1116,1035,1162,376,280,313
SSA_0758,2409,2117,2441,4134,3627,4872,2514,2067,2294,716,522,595
SSA_0759,1574,1469,1633,2806,2577,3449,1858,1572,1691,470,350,491
SSA_0760,4042,3257,3961,6738,6242,8379,4446,3759,4426,1130,875,1017
SSA_0761,202,147,163,205,178,226,109,114,149,65,48,50
SSA_0762,459,329,325,619,657,728,340,278,424,184,208,175
SSA_0763,250,208,207,442,447,566,234,247,346,152,148,125
SSA_0765,341,301,291,688,710,747,360,338,514,224,256,188
SSA_0766,451,342,310,793,901,916,421,373,634,220,263,218
SSA_0767,129,112,113,145,203,227,245,315,407,131,114,124
SSA_0768,12306,11547,12365,7877,6228,7535,5464,5545,7396,3439,2995,3320
SSA_0769,697,614,696,452,378,400,342,319,392,191,194,206
SSA_0770,17699,15967,17929,11492,9649,11179,8191,8671,11749,5158,4705,4896
SSA_0771,4827,3675,3083,2577,2785,2721,2475,2791,3750,1727,1516,1309
SSA_0772,11436,9365,9070,9367,13153,14774,13311,15669,22092,7299,6241,6806
SSA_0773,53568,40297,40879,49705,60149,67197,60606,71515,100602,34917,31791,33134
SSA_0774,9529,7667,7907,8370,7422,9888,5942,6186,8071,3754,3646,3830
SSA_0775,380,330,378,450,726,916,2531,2792,3643,592,403,500
SSA_0776,288,335,408,485,600,778,2023,2728,3832,588,427,539
SSA_0777,326,358,475,633,660,911,2174,3199,4465,794,558,739
SSA_0778,1055,870,842,1118,1160,1463,2511,3863,5507,1212,848,1019
SSA_0779,2136,1789,2009,2252,1954,2571,3077,4407,6481,2008,1535,1757
SSA_0780,383,257,297,359,316,409,341,373,445,252,206,194
SSA_0781,1830,1511,1508,1917,1980,2557,2289,2413,3090,1387,1132,1327
SSA_0782,1965,2280,2236,1338,1353,2227,1318,1409,1868,1539,1079,1242
SSA_0783,11868,9470,9138,9184,8207,9898,5770,6636,8858,6054,6381,5988
SSA_0784,8189,7918,8701,7435,6433,8607,5797,6114,8077,5464,4703,5470
SSA_0785,7113,6472,6629,6739,5478,7510,4793,5079,6592,4665,4284,4705
SSA_0786,17291,17462,19493,18251,14255,21633,15086,15601,19471,13952,11443,13855
SSA_0787,11013,11617,13760,12767,10275,15003,10613,11099,13669,9309,8037,9909
predicted RNA,384,462,628,575,414,685,482,479,634,371,320,432
SSA_0788,18998,19235,21593,20392,16232,24559,18802,18796,22112,15884,12615,15838
SSA_0789,6366,6340,7250,6952,5497,7840,6015,6020,7259,4901,4156,4951
SSA_0790,96,79,73,92,83,104,142,96,140,83,72,61
SSA_0791,2806,2202,2432,2254,2061,2703,2152,2491,2976,1388,1098,1385
SSA_0792,376,299,323,349,318,347,312,337,409,192,178,200
SSA_0793,2205,1875,2057,1929,1692,2230,1833,1961,2563,1193,886,1157
SSA_0794,397,321,379,558,489,589,436,482,683,324,285,326
SSA_0795,238,213,225,340,317,373,301,314,430,176,194,173
SSA_0796,1484,1256,1361,1277,1081,1525,1453,1527,1834,849,635,849
SSA_0797,522,480,596,525,412,592,673,674,738,364,263,386
SSA_0798,1305,1093,1193,915,907,1069,1062,1100,1303,605,485,609
SSA_0799,638,527,503,628,712,691,527,604,877,452,488,402
SSA_0800,1547,1353,1400,1666,1462,1885,1451,1639,2310,1010,1064,999
SSA_0801,2265,1772,1923,2108,2078,2542,2055,2276,3324,1417,1322,1329
SSA_0802,1522,1169,1138,1089,1074,1302,930,1016,1505,600,580,580
SSA_0803,2023,1618,1708,1522,1498,1807,1412,1573,2196,899,779,806
SSA_0804,5101,4093,4348,4006,3511,4481,3714,4022,5130,2254,1954,2170
SSA_0805,39781,30306,29855,38240,35147,41993,27858,31620,44302,18142,18436,17652
SSA_0806,280,255,195,142,187,260,162,188,289,179,103,93
SSA_0807,3991,3173,3490,3119,2892,3707,3265,3480,3940,1894,1405,1833
SSA_0808,666,577,552,625,544,628,479,566,680,335,276,289
SSA_0809,601,588,605,707,591,781,703,753,916,416,351,402
SSA_0810,1587,1367,1592,1976,1645,2274,1786,1936,2602,1186,934,1117
SSA_0811,2007,1924,2152,2862,2182,3161,2525,2813,3739,1598,1294,1611
SSA_0812,2092,1951,2092,2927,2424,3131,2531,2727,3828,1626,1343,1476
SSA_0813,2014,1452,1491,1489,1425,1604,1384,1749,2225,946,925,843
SSA_0814,2142,1786,1875,2244,2076,2538,2310,2737,3625,2205,2065,1982
SSA_0815,305,190,157,127,170,182,185,209,259,134,100,100
SSA_0816,454,343,403,438,441,626,425,420,625,266,219,249
SSA_0817,2415,1837,1899,2683,2634,3264,2155,2323,3383,1602,1536,1426
SSA_0818,205,161,137,173,164,178,105,124,193,62,68,72
SSA_0819,269,204,202,250,227,252,172,157,250,99,109,118
SSA_0820,16039,6952,6116,6368,6284,6241,4170,4761,6682,2447,2559,2133
SSA_0822,2685,1802,1363,1830,2067,1954,1633,2125,2571,1195,1064,973
SSA_0824,7258,6702,7246,8433,7216,9984,7591,8172,10179,5008,4119,4724
SSA_0825,5209,4793,5218,6329,5341,7266,5476,5651,7458,3682,2839,3496
SSA_0826,2483,2256,2309,2880,2554,3323,2467,2563,3452,1696,1372,1557
SSA_0827,1220,862,933,1344,1296,1601,1460,1483,1788,927,788,888
SSA_2445,105,65,53,74,120,103,82,63,77,53,59,52
SSA_0829,23542,21515,23916,32233,26134,36874,26562,29490,42628,17919,15191,16750
SSA_0830,4416,4126,4492,6080,5272,7883,6961,7455,8170,3949,2802,3882
SSA_0831,1689,1756,2029,2551,1942,3399,3426,3667,3721,1866,1121,1882
SSA_0832,2160,2413,2602,3433,2661,4539,4428,4858,4979,2595,1551,2542
SSA_0833,2106,2546,2863,3732,2512,4937,5141,5537,5622,2964,1667,2901
SSA_0834,2083,2863,3163,3780,2520,5028,5679,6093,6070,3210,1672,3223
SSA_0835,506,659,899,1056,691,1320,1441,1516,1623,831,510,840
SSA_0836,3802,4572,5641,6429,4354,8846,9521,10466,10642,5668,3121,5715
SSA_0837,2758,3272,3827,4638,3353,6079,6226,6874,7579,3853,2365,3719
SSA_0838,3304,3477,4156,5111,3560,6304,6210,6832,8024,3740,2487,3777
SSA_0839,383,395,444,553,437,732,647,720,887,414,280,402
SSA_0841,824,742,800,1061,836,1286,1210,1314,1660,796,556,733
SSA_0842,368,273,308,333,187,272,131,131,182,127,122,99
SSA_0843,1091,879,937,919,589,863,419,449,548,343,272,318
SSA_0844,1832,1283,1274,1576,1991,1799,1454,1433,2191,936,1066,875
SSA_0845,1171,882,914,1058,1163,1250,973,970,1450,655,637,597
SSA_0846,2076,2002,2283,2430,2134,3180,2869,3114,3840,1987,1553,1923
SSA_0847,18339,16635,18109,17953,13048,16768,11301,11743,15211,8372,7363,8125
SSA_0848,47630,38989,40719,42863,33877,40237,24054,25008,35452,17877,18129,17522
SSA_0849,859,614,611,653,788,858,837,807,1036,414,395,370
SSA_0850,73,33,30,45,87,80,85,97,145,70,68,66
SSA_0851,1616,1178,1264,2253,2101,2508,1732,1971,2830,1194,1177,1084
SSA_0852,4071,3701,3940,3665,2906,4064,2951,3236,4115,1770,1459,1809
SSA_0854,1485,1099,1131,1243,1090,1339,934,1027,1405,556,527,522
SSA_0855,274,222,258,335,290,364,288,349,423,197,176,191
SSA_0856,1378,1056,1062,1041,1184,1384,1046,1139,1577,672,647,600
SSA_0857,2155,1318,1318,1425,1881,1703,1249,1288,1983,882,924,734
SSA_0858,3315,2376,2296,2323,2400,2626,2299,2637,3329,1561,1348,1377
SSA_0859,15143,10801,10583,11326,10973,12650,8113,9168,12558,5373,5298,4982
predicted RNA,130,137,226,198,183,228,130,146,229,80,65,85
SSA_0860,30281,28407,31357,36705,28281,39681,25472,26850,35276,15624,12615,15105
SSA_0861,2713,2489,2847,2459,2087,2772,2338,2521,3545,1559,1413,1481
SSA_0862,2352,2327,2820,2500,2048,2647,2204,2469,3578,1504,1309,1534
SSA_0863,1204,1161,1331,1334,1063,1499,1205,1297,1912,849,786,780
SSA_0864,1862,1505,1754,1795,1516,1957,1555,1772,2506,1018,978,1008
SSA_0865,196,110,118,127,136,149,147,181,175,87,92,96
SSA_0866,14143,10953,11031,5583,4995,5816,3515,3812,5076,2025,1888,1968
SSA_0867,263,153,143,187,228,222,192,266,321,147,166,169
SSA_0868,329,256,267,286,313,320,242,280,438,193,200,162
SSA_0869,5144,4018,4026,3043,2951,3430,2603,3239,4204,1786,1580,1700
SSA_0870,3988,3367,3580,2610,2424,2765,2215,2541,3391,1540,1441,1414
SSA_0871,6850,4960,4757,3816,3918,4325,2921,3413,4627,2158,2266,1992
SSA_0872,906,563,632,542,600,683,663,820,1015,471,461,475
SSA_0873,3578,2629,2478,2869,2894,3322,2656,3073,4265,1837,1848,1752
SSA_0874,2040,1438,1465,1562,1530,1784,1460,1596,2160,992,968,904
SSA_0875,2045,1596,1643,1781,1868,2146,1760,1949,2807,1258,1197,1212
SSA_0876,1291,932,891,1137,1141,1204,989,1175,1578,731,713,697
SSA_0877,1399,1147,1135,1095,980,1303,1104,1227,1470,626,476,560
SSA_0878,6548,5557,5764,6247,5299,7192,5283,6205,7962,3280,2721,3159
SSA_0879,21781,15853,15073,17240,16793,19096,12843,14520,20168,8703,8564,7856
SSA_0880,266,163,167,240,357,302,320,324,485,239,229,216
SSA_0881,215,149,153,230,287,294,315,309,461,238,237,223
SSA_0882,302,268,310,355,311,428,479,506,627,336,236,290
SSA_0883,700,605,627,729,634,878,967,1114,1272,633,515,672
SSA_0884,453,355,283,343,342,379,309,310,427,174,183,151
SSA_0885,374,269,311,323,300,344,292,303,438,153,154,158
SSA_0886,118418,84643,87244,121265,121118,126589,87171,95726,132458,62001,66082,61023
SSA_0887,0,0,2,1,5,2,1,1,1,0,1,0
SSA_0888,2580,1724,1630,1680,1832,1990,1680,1845,2295,1179,1249,1171
SSA_0889,257,178,170,283,366,349,329,337,552,263,318,204
SSA_0891,893,708,749,852,800,934,754,808,1216,535,513,478
SSA_0892,43,44,46,15,14,25,16,19,12,6,7,8
SSA_0893,158,155,178,98,75,114,78,98,136,48,31,50
SSA_0894,84,88,93,60,55,84,64,54,48,37,23,35
SSA_0895,222,153,188,131,124,142,121,124,150,64,44,57
SSA_0896,747,658,633,909,876,1088,829,864,1267,543,488,472
SSA_0897,2124,1617,1624,2499,2399,2916,2336,2583,3431,1470,1357,1394
SSA_0898,0,1,0,0,0,0,0,0,0,0,0,0
SSA_0899,3846,2733,2780,2439,2659,2937,2358,2572,3484,1558,1567,1629
SSA_0900,2901,2449,2660,2310,2107,2705,2320,2587,3354,1576,1370,1527
SSA_0901,1759,1532,1534,1355,1254,1573,1461,1551,1922,1022,806,958
SSA_0903,1065,671,674,876,943,1046,763,862,1097,451,429,416
SSA_0904,1497,1596,1739,2326,1638,2504,1971,2122,2622,1381,906,1245
SSA_0905,7689,7975,9364,9943,7426,11211,7558,8409,10501,4742,3597,4431
SSA_0906,26231,27358,32415,42129,29879,48253,39476,42460,51670,23040,15737,22278
SSA_0907,650,562,606,629,554,695,559,635,863,392,368,407
predicted RNA,941,338,280,433,469,344,327,331,398,154,204,145
SSA_0908,2827,1994,1863,1512,1631,1842,1418,1883,2281,792,724,773
SSA_0909,259,181,179,229,252,297,315,353,439,207,175,201
SSA_0910,1831,1375,1555,1955,2149,2566,2401,2815,3836,1769,1732,1726
SSA_0911,2207,1436,1382,2170,2510,2681,2425,2868,3851,1935,2031,1778
SSA_0912,1794,1667,1910,1154,1063,1305,1329,1550,1799,709,536,717
SSA_0913,858,765,923,558,521,674,594,697,863,389,274,354
SSA_0914,6130,5799,6078,4308,3608,4737,4117,4664,5882,2609,2095,2399
SSA_0915,108,127,141,111,99,145,105,132,173,68,60,85
SSA_0916,298,267,292,265,221,284,304,295,370,169,151,171
SSA_0917,51,39,45,70,64,67,62,65,76,33,36,36
SSA_0918,1132,744,812,1441,1620,1795,1166,1185,1851,794,821,771
SSA_0920,77,31,26,65,83,68,48,48,61,40,54,31
SSA_0921,1326,983,968,1490,1588,1840,1797,2241,2855,1381,1394,1405
SSA_0922,22,14,14,25,14,22,24,21,28,14,14,9
SSA_0923,78,64,62,99,90,97,84,72,115,49,39,59
SSA_0924,953,728,834,923,934,1155,845,892,1199,602,491,487
SSA_0925,754,591,631,703,676,872,613,664,986,435,396,403
SSA_0926,545,403,373,468,423,556,399,434,601,274,257,234
SSA_0927,33,33,31,88,94,128,106,127,170,121,107,114
SSA_0928,147,133,126,402,405,547,477,594,784,535,531,511
SSA_0929,224,179,189,629,530,710,689,829,1051,671,657,724
SSA_0931,271,188,202,303,348,376,303,265,432,196,190,189
SSA_0932,876,728,873,963,837,1107,1107,1176,1396,663,578,659
SSA_0933,345,275,285,383,323,443,391,453,542,286,223,283
SSA_0934,574,507,556,783,638,814,746,831,1047,495,462,536
SSA_0935,813,668,743,806,691,1000,935,1050,1273,611,466,588
predicted RNA,49,48,39,52,44,48,57,56,67,34,40,28
SSA_0936,1920,1395,1231,1686,1685,2044,1411,1578,2289,946,843,860
SSA_0937,2435,1586,1515,1943,2006,2206,1479,1522,2318,885,915,789
SSA_0938,691,509,467,619,560,689,462,538,800,288,270,245
SSA_0939,1633,1391,1302,1366,1277,1741,1277,1316,1847,709,589,636
SSA_0940,2831,2538,2578,2541,2089,2942,2270,2520,3421,1294,1003,1214
SSA_0941,3004,2439,2425,2543,2361,2872,2328,2618,3467,1439,1164,1338
SSA_0942,3055,2815,2827,2610,2347,3090,2546,2694,3644,1528,1325,1420
SSA_0943,3527,2938,2901,2810,2500,3365,2504,2867,3916,1692,1513,1583
SSA_0944,2776,2311,2477,2523,2148,2669,2075,2243,3100,1313,1219,1300
SSA_0945,3066,2704,2917,2693,2203,3023,2255,2620,3543,1452,1290,1368
SSA_0946,3165,2565,2653,2521,2208,2839,2211,2337,3076,1365,1273,1279
SSA_0947,110,70,76,79,103,108,87,106,117,53,52,56
SSA_0948,154,132,132,203,198,214,228,243,299,136,154,151
SSA_0949,182,182,165,288,387,376,429,371,514,294,241,272
SSA_0950,749,643,711,1198,1131,1421,1318,1428,1866,939,795,996
SSA_0952,206,187,194,287,247,331,282,315,464,185,185,228
SSA_0954,239,175,184,317,305,326,338,337,506,268,265,251
SSA_0955,5796,5231,5674,5588,5398,6319,5457,6347,8310,3992,3551,3804
SSA_0956,8124,7392,8022,10615,8215,11571,6385,6667,8891,3868,3278,3730
SSA_0957,46,42,37,71,56,72,49,48,83,41,29,44
SSA_0958,136,125,139,100,74,112,73,104,99,45,55,60
SSA_0959,2250,1601,1526,1872,1819,2084,1490,1673,2219,940,900,840
SSA_0960,2585,1938,1922,2345,2288,2716,2077,2326,3061,1370,1327,1294
SSA_0961,1786,1324,1278,1568,1592,1850,1371,1586,2040,926,873,902
SSA_0962,749,608,580,595,577,746,504,539,748,297,247,262
SSA_0963,3876,3289,3411,3435,3083,3877,2715,3046,4268,1669,1397,1545
SSA_0964,1972,1639,1797,2298,2114,2613,2047,2302,3323,1486,1350,1423
SSA_0965,1513,1200,1219,1546,1475,1852,1433,1693,2415,990,879,942
SSA_0966,1748,1103,1183,1141,1026,1151,795,869,1220,453,425,440
SSA_0967,398,274,335,207,210,206,170,197,256,87,95,90
SSA_0968,91,106,109,69,57,83,63,80,71,46,30,47
SSA_0969,270,241,254,228,255,279,207,223,322,163,115,138
SSA_0970,327,249,275,457,493,575,556,555,736,340,305,326
SSA_0971,1950,1714,1699,2765,2575,3166,2720,2902,3888,1963,1803,1904
SSA_0972,324,279,378,517,465,617,582,591,758,361,308,351
SSA_0973,629,504,558,856,846,869,824,858,1126,518,538,552
SSA_0975,1154,1203,1305,1686,1413,2034,1514,1684,1947,903,714,965
SSA_0977,547,672,715,922,688,1273,1043,1070,1204,566,437,590
SSA_0978,101,138,164,218,160,279,254,261,226,138,98,136
SSA_0980,712,857,960,1162,929,1482,1334,1437,1570,811,540,871
SSA_0981,350,412,495,525,416,681,615,646,720,361,268,346
SSA_0983,3536,2830,2918,3130,2952,3645,2663,2752,3374,1332,1007,1279
SSA_0984,119,107,119,101,97,123,105,109,126,50,44,56
SSA_0985,264,210,258,255,236,307,219,218,282,111,84,113
SSA_0986,390,315,353,353,350,438,255,302,436,171,158,167
SSA_0987,1018,797,814,897,826,1013,640,695,976,368,357,338
SSA_0988,23,23,19,28,28,42,34,30,46,25,22,16
SSA_0989,542,393,425,816,851,1002,507,493,640,273,262,262
SSA_0990,871,585,489,1161,1354,1560,679,701,917,419,431,373
SSA_0991,502,378,393,536,540,585,469,477,679,281,253,234
SSA_0992,146,113,147,267,285,379,377,363,453,202,156,202
SSA_0993,188,160,158,324,389,491,516,467,598,293,242,251
SSA_0994,237,195,262,469,528,630,751,719,909,413,304,379
SSA_0995,314,264,297,593,663,734,771,880,1124,421,415,443
SSA_0996,531,406,446,635,560,717,643,684,936,422,321,369
SSA_0997,3127,2374,2488,3288,2886,3679,2973,3407,4308,1803,1562,1807
SSA_0998,533,408,375,470,580,527,525,547,723,290,311,303
SSA_0999,375,322,340,524,489,579,433,481,738,320,295,307
SSA_1000,304,271,303,417,355,504,337,445,578,241,239,218
SSA_1001,140,116,109,175,162,195,126,134,239,53,64,52
SSA_1002,29,26,23,27,30,41,88,77,114,27,20,23
SSA_1003,21,15,14,25,21,34,50,63,74,21,7,14
SSA_1004,18,7,11,18,18,21,37,56,66,11,9,10
SSA_1005,21,13,11,21,17,15,31,44,56,16,10,11
SSA_1006,33,28,28,37,33,47,60,74,108,35,24,29
SSA_1007,52,31,44,43,45,65,52,93,118,42,25,36
SSA_1008,70,77,86,97,176,256,408,394,472,194,178,182
SSA_1009,103,102,129,170,228,341,550,609,767,242,192,225
SSA_1010,972,683,774,778,859,977,918,1093,1409,562,475,532
SSA_1011,801,627,690,439,421,550,365,448,512,177,138,181
SSA_1012,3313,3108,3108,1940,1846,2763,1818,2148,2527,985,697,908
SSA_1013,856,855,848,531,412,668,453,512,661,274,201,231
SSA_1014,1215,1306,1419,782,607,1021,739,834,934,402,278,382
SSA_1015,1765,1771,1977,1119,991,1418,1006,1094,1368,529,395,510
SSA_1016,6887,6468,6899,4236,3691,5303,3595,3942,5203,2036,1499,1859
SSA_1017,3785,3379,3593,2090,1889,2565,1728,1920,2619,899,778,874
SSA_1018,5099,5120,5804,9288,6868,10630,6035,6402,8127,3345,2569,2946
SSA_1019,23797,18918,19944,26095,24085,29291,22506,25924,35727,15488,14612,15335
SSA_1020,126,85,103,112,123,154,127,114,161,80,67,64
SSA_1021,926,743,845,916,854,1215,1273,1301,1369,782,555,802
SSA_1022,673,785,914,880,836,1174,1466,1548,1355,881,569,913
SSA_1023,3211,2814,3075,4027,3799,5201,4442,4884,5276,2913,2150,2808
SSA_1024,2916,2322,2535,2813,2561,2995,2234,2497,3407,1368,1278,1317
SSA_1026,680,548,513,653,760,884,854,1088,1509,826,788,755
SSA_1027,1950,1539,1569,2025,2164,2564,2619,3014,4157,2295,2273,2153
SSA_1028,861,665,708,982,932,1076,809,831,1131,550,538,528
SSA_1029,4533,3117,2979,741,568,664,454,523,668,258,228,213
SSA_1030,817,621,521,1640,1855,1856,1668,1798,2650,1439,1705,1384
SSA_1031,578,438,450,460,411,514,246,308,389,183,162,163
predicted RNA,341,166,141,162,184,165,96,119,196,65,85,70
SSA_1032,27260,14015,12617,11393,13579,13496,8310,9435,14486,5865,6017,5474
SSA_1033,568,491,462,445,800,740,1052,1260,1679,380,346,385
SSA_1034,435,337,369,318,526,590,857,964,976,307,233,276
SSA_1035,1050,1026,1039,1073,1484,1833,2775,2813,2987,982,600,939
SSA_1036,2314,2086,1993,2037,2420,3092,3646,3810,4138,1523,1027,1366
SSA_1037,1261,1213,1267,1136,1428,1783,2458,2509,2493,926,616,879
predicted RNA,265,330,400,241,294,400,477,512,592,187,103,166
SSA_1038,7755,6928,6667,5475,5958,7420,8788,9772,11557,3827,3017,3783
predicted RNA,146,116,114,107,99,122,132,154,195,58,46,59
SSA_1039,5544,5754,6320,5450,5138,7181,7793,8747,10587,3800,2467,3553
SSA_1040,4776,4437,4415,4371,4422,5686,6368,7081,8117,3246,2313,2952
SSA_1041,5472,4776,4566,4757,5232,6416,6772,7569,9217,3536,2577,3210
SSA_1042,5427,3666,3786,3954,4101,4227,2789,3002,4310,1557,1560,1456
SSA_1043,4866,3845,3795,4675,4536,5202,4004,4580,6144,2653,2467,2471
SSA_1044,4177,3385,3504,4346,3894,4760,3676,4031,5619,2401,2156,2241
SSA_1045,798,511,532,672,802,807,796,921,1110,610,535,552
SSA_1047,1675,1470,1593,1156,1033,1390,1138,1182,1371,660,468,624
SSA_1048,1969,1762,1969,1770,1447,2126,1542,1701,2023,939,775,900
SSA_1049,1585,1356,1495,1429,1136,1628,1187,1296,1721,776,612,746
SSA_1050,1839,1436,1600,1544,1291,1742,1255,1304,1757,733,657,769
SSA_1051,3131,2489,2463,2636,2225,2790,2041,2161,2680,1264,1143,1238
SSA_1052,1535,1034,967,1095,988,1071,583,737,1093,761,934,748
SSA_1053,249,231,298,819,1000,1293,1321,1506,2079,672,584,638
SSA_1054,293,223,264,485,556,633,511,566,731,380,337,325
SSA_1055,414,349,414,725,722,944,729,812,1024,547,440,514
SSA_1056,1282,1128,1216,2419,2432,3078,2404,2497,3437,1623,1418,1628
SSA_1057,1664,1344,1384,1539,1438,1820,1313,1566,1959,845,719,868
SSA_1058,1599,1519,1776,1755,1410,2100,1693,1851,2329,1053,780,1055
SSA_1059,578,535,606,654,575,727,664,649,757,382,338,396
SSA_1060,633,580,518,641,690,799,654,646,814,452,368,366
predicted RNA,433,466,582,283,278,397,211,209,364,178,120,108
SSA_1061,20832,15829,15354,12651,12001,13308,8271,9182,11939,5451,5174,4893
predicted RNA,16667,12649,13186,10423,10183,11283,6927,7365,10150,4571,4619,4247
SSA_1062,18867,13177,14491,11814,10931,12582,7758,8273,11879,4877,4983,4740
SSA_1063,179,145,134,360,731,718,1671,2085,3288,382,281,311
SSA_1064,52,35,35,119,127,123,75,118,155,51,67,61
SSA_1065,160,113,119,219,344,417,1483,2240,3025,658,446,631
SSA_1066,18604,15121,14817,24395,21665,25914,15574,16873,25051,10479,10556,10013
SSA_1067,1150,984,947,1523,1412,1763,1177,1284,1657,787,759,757
SSA_1068,1355,1172,1216,1175,1077,1400,1040,1234,1605,729,580,695
SSA_1069,595,533,520,565,522,654,553,607,790,354,347,327
SSA_1070,1781,1454,1380,1584,1398,1744,1356,1536,1932,938,842,898
SSA_1072,558,457,580,454,419,595,559,567,646,358,226,297
SSA_1073,1284,1081,1122,1171,1030,1343,1190,1220,1487,734,553,688
SSA_1074,846,833,805,824,671,953,810,890,1011,475,411,478
SSA_1075,1512,1304,1462,1319,1186,1526,1312,1470,1977,835,677,809
SSA_1076,1083,1001,1140,955,810,1009,966,1102,1431,612,537,618
SSA_1077,1471,1338,1513,1314,1076,1401,1246,1432,1915,796,708,743
SSA_1078,1010,853,893,898,889,935,827,893,1207,524,528,561
SSA_1079,1872,1439,1421,1318,1482,1534,1297,1325,1780,897,850,814
SSA_1080,3022,2383,2617,2865,11553,11680,1242,771,950,129,90,113
SSA_1081,2803,2780,3099,4082,15214,16137,1033,471,462,102,55,59
SSA_1082,9216,8667,9226,12500,41425,40949,6412,2723,3020,356,228,237
SSA_1083,1222,907,896,828,944,992,792,831,1228,513,459,452
SSA_1084,3084,2290,2277,2350,2329,2666,2000,2282,3015,1222,1147,1167
SSA_1085,2970,2283,2302,2272,2113,2668,1987,2283,2946,1252,1044,1170
SSA_1086,1183,1014,1122,1220,927,1349,1183,1299,1620,764,613,756
SSA_1087,1497,1390,1560,1555,1237,1781,1667,1768,2241,1067,833,1053
SSA_1088,227,231,286,217,177,249,297,320,348,177,133,165
SSA_1089,34,30,29,23,26,42,43,37,32,32,23,24
SSA_1090,3944,3148,3209,3253,3041,3823,2983,3130,3574,1454,1166,1353
SSA_1091,1686,1223,1342,973,904,1010,853,998,1277,578,530,584
SSA_1092,1496,1056,1035,1026,1152,1282,1165,1306,1656,785,723,730
predicted RNA,23,17,20,27,29,27,24,24,40,16,17,17
SSA_1093,4912,3889,4127,3936,3823,4468,3842,4523,6027,2875,2756,2816
SSA_1094,3261,2563,2663,2778,2831,3196,2611,3030,4141,1809,2003,1858
SSA_1095,1688,1188,1082,1504,1871,1882,1352,1544,2037,795,750,770
SSA_1096,550,334,350,679,719,834,475,601,851,380,331,313
SSA_1098,909,577,566,599,1474,1303,2306,2324,3298,555,424,468
SSA_1099,11029,11453,13190,10943,9232,12928,12022,12464,13417,6527,4272,6446
SSA_1100,5632,5870,6410,6684,5442,7617,5758,6121,6912,3128,2278,2918
SSA_1101,4595,4107,4323,4751,4654,5422,3899,4092,5319,2198,1739,2043
SSA_1102,11,9,12,15,17,16,14,12,5,5,8,6
SSA_1103,31,28,23,21,31,36,40,24,27,17,9,13
SSA_1104,42694,26935,24628,21513,21666,21258,12422,12647,15416,6460,6795,6397
