,WT_A,WT_B,WT_C,DcsrR_A,DcsrR_B,DcsrR_C
GENE_-_M5005_Spy0593_M5005_Spy_0593,171,285,205,261,238,325
GENE_-_M5005_Spy0598_mscL,657,1439,867,502,531,791
GENE_-_M5005_Spy0616_M5005_Spy_0616,4,2,1,2,3,2
GENE_-_M5005_Spy0622_M5005_Spy_0622,1162,1993,1201,740,857,764
GENE_-_M5005_Spy0628_gor,158,265,198,104,108,102
GENE_-_M5005_Spy0629_M5005_Spy_0629,46,81,38,23,36,35
GENE_-_M5005_Spy0653_czcD,11,27,11,6,7,9
GENE_-_M5005_Spy0665_M5005_Spy_0665,0,1,0,10,6,5
GENE_-_M5005_Spy0666_M5005_Spy_0666,0,0,0,7,3,5
GENE_-_M5005_Spy0667_M5005_Spy_0667,0,0,0,38,25,39
GENE_-_M5005_Spy0668_mac,0,0,0,272,231,281
GENE_-_M5005_Spy0678_M5005_Spy_0678,88,89,36,60,19,24
GENE_-_M5005_Spy0686_M5005_Spy_0686,291,431,277,178,226,241
GENE_-_M5005_Spy0687_M5005_Spy_0686,264,409,283,124,194,203
GENE_-_M5005_Spy0694_clpL,143,340,247,348,174,283
GENE_-_M5005_Spy0701_cpsY,55,106,95,58,63,59
GENE_-_M5005_Spy0710_M5005_Spy_0710,157,193,108,95,71,89
GENE_-_M5005_Spy0716_M5005_Spy_0716,118,198,125,37,66,71
GENE_-_M5005_Spy0721_M5005_Spy_0721,106,184,132,71,96,109
GENE_-_M5005_Spy0740_fbp,83,109,100,51,69,69
GENE_-_M5005_Spy0741_M5005_Spy_0741,3,5,2,1,0,3
GENE_-_M5005_Spy0754_M5005_Spy_0754,0,0,0,0,0,1
GENE_-_M5005_Spy0756_M5005_Spy_0756,0,1,3,0,0,0
GENE_-_M5005_Spy0757_hylA,118,149,113,162,113,104
GENE_-_M5005_Spy0759_M5005_Spy_0759,154,209,180,125,158,220
GENE_-_M5005_Spy0760_M5005_Spy_0760,237,409,319,213,258,288
GENE_-_M5005_Spy0773_M5005_Spy_0773,0,0,0,0,0,0
GENE_-_M5005_Spy0794_trmE,49,62,29,15,25,19
GENE_-_M5005_Spy0812_M5005_Spy_0812,0,0,0,0,0,0
GENE_-_M5005_Spy0818_M5005_Spy_0818,146,303,179,113,118,161
GENE_-_M5005_Spy0830_dpiA,8,11,11,8,8,8
GENE_-_M5005_Spy0831_dpiB,10,21,16,21,11,18
GENE_-_M5005_Spy0834_M5005_Spy_0834,17,24,10,30,18,38
GENE_-_M5005_Spy0841_M5005_Spy_0841,156,246,175,120,124,155
GENE_-_M5005_Spy0842_M5005_Spy_0842,325,491,272,261,254,281
GENE_-_M5005_Spy0843_M5005_Spy_0843,89,114,78,67,81,89
GENE_-_M5005_Spy0844_nifS2,364,627,393,321,387,445
GENE_-_M5005_Spy0845_M5005_Spy_0845,318,548,332,268,288,301
GENE_-_M5005_Spy0846_M5005_Spy_0846,40,61,21,18,19,19
GENE_-_M5005_Spy0854_M5005_Spy_0854,81,195,113,39,54,41
GENE_-_M5005_Spy0860_apbE,46,34,32,11,6,24
GENE_-_M5005_Spy0861_M5005_Spy_0861,2,7,7,2,4,6
GENE_-_M5005_Spy0873_ldh,746,796,478,540,506,289
GENE_-_M5005_Spy0879_M5005_Spy_0879,338,1358,802,127,322,971
GENE_-_M5005_Spy0880_M5005_Spy_0880,241,1143,656,70,219,539
GENE_-_M5005_Spy0881_M5005_Spy_0881,59,349,197,16,82,103
GENE_-_M5005_Spy0886_M5005_Spy_0886,1,0,1,0,0,1
GENE_-_M5005_Spy0887_M5005_Spy_0887,0,0,0,0,1,0
GENE_-_M5005_Spy0888_M5005_Spy_0888,0,0,0,0,0,0
GENE_-_M5005_Spy0898_M5005_Spy_0898,39,56,47,30,29,56
GENE_-_M5005_Spy0899_citG,17,27,14,16,26,19
GENE_-_M5005_Spy0900_M5005_Spy_0900,24,57,41,24,18,42
GENE_-_M5005_Spy0910_citC,250,450,331,178,219,246
GENE_-_M5005_Spy0911_M5005_Spy_0911,55,136,72,66,47,63
GENE_-_M5005_Spy0913_xerS,49,72,54,47,20,27
GENE_-_M5005_Spy0915_ffh,563,703,475,348,501,448
GENE_-_M5005_Spy0916_ylxM,36,50,53,25,19,26
GENE_-_M5005_Spy0917_M5005_Spy_0917,125,192,91,90,58,76
GENE_-_M5005_Spy0918_M5005_Spy_0918,27,32,20,25,12,20
GENE_-_M5005_Spy0920_M5005_Spy_0920,11,18,8,6,6,4
GENE_-_M5005_Spy0921_M5005_Spy_0921,92,71,60,40,51,36
GENE_-_M5005_Spy0922_pdxK,32,17,8,19,9,9
GENE_-_M5005_Spy0923_M5005_Spy_0923,33,38,18,23,9,13
GENE_-_M5005_Spy0925_rnhB,204,336,210,119,120,153
GENE_-_M5005_Spy0926_M5005_Spy_0926,840,1298,655,287,481,401
GENE_-_M5005_Spy0927_M5005_Spy_0926,510,795,389,138,301,274
GENE_-_M5005_Spy0928_lplA,282,456,231,93,253,244
GENE_-_M5005_Spy0929_M5005_Spy_0929,195,335,174,63,229,205
GENE_-_M5005_Spy0930_M5005_Spy_0930,235,354,207,81,236,226
GENE_-_M5005_Spy0931_M5005_Spy_0931,74,160,77,43,92,83
GENE_-_M5005_Spy0932_M5005_Spy_0932,255,500,308,166,348,382
GENE_-_M5005_Spy0933_M5005_Spy_0933,369,742,431,269,484,446
GENE_-_M5005_Spy0934_M5005_Spy_0934,283,615,339,234,307,305
GENE_-_M5005_Spy0939_M5005_Spy_0939,305,429,206,187,276,301
GENE_-_M5005_Spy0940_M5005_Spy_0940,376,511,262,236,332,377
GENE_-_M5005_Spy0941_M5005_Spy_0941,420,641,359,360,396,505
GENE_-_M5005_Spy0942_M5005_Spy_0942,1010,1561,971,976,1023,1272
GENE_-_M5005_Spy0943_cdd,138,233,128,146,149,159
GENE_-_M5005_Spy0944_M5005_Spy_0944,91,218,119,128,91,69
GENE_-_M5005_Spy0947_ciaH,128,172,83,42,79,96
GENE_-_M5005_Spy0948_ciaR,64,97,50,39,46,60
GENE_-_M5005_Spy0949_pepN,1814,2822,1755,1186,1496,1622
GENE_-_M5005_Spy0950_phoU,321,437,284,131,250,243
GENE_-_M5005_Spy0951_pstB,361,521,312,148,282,293
GENE_-_M5005_Spy0952_pstB2,361,610,354,172,314,283
GENE_-_M5005_Spy0953_pstA,308,591,297,165,287,276
GENE_-_M5005_Spy0954_pstC,381,533,331,154,230,264
GENE_-_M5005_Spy0955_pstS,329,469,265,157,252,224
GENE_-_M5005_Spy0956_M5005_Spy_0956,197,225,154,116,163,145
GENE_-_M5005_Spy0957_M5005_Spy_0957,107,131,101,65,88,97
GENE_-_M5005_Spy0958_M5005_Spy_0958,20,32,24,17,19,23
GENE_-_M5005_Spy0959_spxA,175,331,229,193,181,258
GENE_-_M5005_Spy0960_mreA,158,307,201,110,160,165
GENE_-_M5005_Spy0961_truB,133,257,145,106,96,109
GENE_-_M5005_Spy0962_M5005_Spy_0962,63,95,72,40,57,51
GENE_-_M5005_Spy0963_M5005_Spy_0963,39,43,29,34,31,39
GENE_-_M5005_Spy0964_M5005_Spy_0964,19,24,19,16,19,14
GENE_-_M5005_Spy0965_M5005_Spy_0965,33,67,44,26,33,55
GENE_-_M5005_Spy0966_M5005_Spy_0966,42,55,41,21,34,33
GENE_-_M5005_Spy0967_M5005_Spy_0967,8,14,16,6,12,8
GENE_-_M5005_Spy0969_M5005_Spy_0969,0,0,0,0,1,0
GENE_-_M5005_Spy0970_M5005_Spy_0970,588,738,392,328,393,297
GENE_-_M5005_Spy0971_M5005_Spy_0971,3166,4582,2311,2608,3098,2541
GENE_-_M5005_Spy0972_M5005_Spy_0972,596,847,451,647,701,529
GENE_-_M5005_Spy0973_M5005_Spy_0973,3610,5712,3072,3738,4064,3355
GENE_-_M5005_Spy0974_M5005_Spy_0974,129,139,100,95,133,104
GENE_-_M5005_Spy0975_M5005_Spy_0975,2857,4859,2670,2576,3133,2438
GENE_-_M5005_Spy0976_M5005_Spy_0976,1290,1199,708,926,672,447
GENE_-_M5005_Spy0977_pcrA,288,387,239,178,189,133
GENE_-_M5005_Spy0979_M5005_Spy_0979,0,0,0,0,0,0
GENE_-_M5005_Spy0981_cfa,42,75,59,43,47,63
GENE_-_M5005_Spy0982_M5005_Spy_0982,269,352,234,111,223,167
GENE_-_M5005_Spy0983_M5005_Spy_0983,100,115,88,39,70,65
GENE_-_M5005_Spy0984_M5005_Spy_0984,153,193,149,50,95,93
GENE_-_M5005_Spy0985_M5005_Spy_0985,69,111,55,28,93,57
GENE_-_M5005_Spy0986_glmS,1592,2358,1325,2022,2201,1912
GENE_-_M5005_Spy0987_sipC,171,270,166,138,129,124
GENE_-_M5005_Spy0988_pyk,2645,3339,2101,1580,1732,1545
GENE_-_M5005_Spy0989_pfkA,1030,1238,801,602,661,649
GENE_-_M5005_Spy0990_dnaE,463,918,637,376,474,651
GENE_-_M5005_Spy0994_M5005_Spy_0994,281,439,239,164,206,223
GENE_-_M5005_Spy0995_M5005_Spy_0995,0,0,0,0,0,0
GENE_-_M5005_Spy0997_M5005_Spy_0997,1,0,0,0,0,0
GENE_-_M5005_Spy0998_M5005_Spy_0998,0,0,0,0,0,0
GENE_-_M5005_Spy0999_M5005_Spy_0999,0,0,0,0,0,0
GENE_-_M5005_Spy1000_M5005_Spy_1000,0,1,0,0,0,0
GENE_-_M5005_Spy1001_M5005_Spy_1001,0,0,0,0,1,0
GENE_-_M5005_Spy1002_M5005_Spy_1002,0,0,0,0,0,0
GENE_-_M5005_Spy1003_M5005_Spy_1003,0,0,0,0,0,0
GENE_-_M5005_Spy1004_M5005_Spy_1004,0,0,0,0,0,0
GENE_-_M5005_Spy1005_M5005_Spy_1005,0,0,0,0,0,0
GENE_-_M5005_Spy1006_M5005_Spy_1006,1,0,0,1,0,0
GENE_-_M5005_Spy1007_M5005_Spy_1007,0,0,0,0,0,2
GENE_-_M5005_Spy1008_M5005_Spy_1008,2,0,0,0,0,0
GENE_-_M5005_Spy1009_M5005_Spy_1009,0,1,1,2,0,1
GENE_-_M5005_Spy1010_M5005_Spy_1010,0,0,0,0,0,0
GENE_-_M5005_Spy1011_M5005_Spy_1011,0,0,0,0,0,0
GENE_-_M5005_Spy1012_M5005_Spy_1012,0,0,0,0,0,0
GENE_-_M5005_Spy1013_M5005_Spy_1013,0,0,0,0,0,0
GENE_-_M5005_Spy1014_M5005_Spy_1014,0,0,0,0,0,0
GENE_-_M5005_Spy1015_M5005_Spy_1015,0,1,0,0,0,0
GENE_-_M5005_Spy1016_M5005_Spy_1016,0,0,1,0,0,0
GENE_-_M5005_Spy1017_M5005_Spy_1017,0,0,0,0,0,0
GENE_-_M5005_Spy1018_M5005_Spy_1018,0,0,0,1,0,0
GENE_-_M5005_Spy1019_M5005_Spy_1019,0,0,0,0,0,0
GENE_-_M5005_Spy1020_M5005_Spy_1020,0,1,0,0,0,0
GENE_-_M5005_Spy1021_M5005_Spy_1021,0,1,0,0,0,0
GENE_-_M5005_Spy1022_M5005_Spy_1022,0,0,0,0,0,0
GENE_-_M5005_Spy1023_M5005_Spy_1023,0,1,0,0,0,1
GENE_-_M5005_Spy1024_M5005_Spy_1024,0,0,0,0,0,0
GENE_-_M5005_Spy1025_M5005_Spy_1025,0,0,0,1,1,1
GENE_-_M5005_Spy1026_M5005_Spy_1026,1,0,0,0,0,0
GENE_-_M5005_Spy1027_M5005_Spy_1027,0,0,0,0,1,0
GENE_-_M5005_Spy1028_M5005_Spy_1028,0,0,1,0,0,1
GENE_-_M5005_Spy1029_M5005_Spy_1029,0,0,0,0,1,0
GENE_-_M5005_Spy1030_M5005_Spy_1030,1,0,0,0,0,0
GENE_-_M5005_Spy1031_M5005_Spy_1031,0,1,0,0,0,0
GENE_-_M5005_Spy1032_M5005_Spy_1032,0,0,0,0,0,0
GENE_-_M5005_Spy1033_M5005_Spy_1033,0,1,0,2,0,0
GENE_-_M5005_Spy1034_M5005_Spy_1034,0,0,0,0,0,0
GENE_-_M5005_Spy1035_M5005_Spy_1035,0,0,0,0,0,0
GENE_-_M5005_Spy1036_ssb2,3,1,2,1,3,3
GENE_-_M5005_Spy1037_ssb1,1,1,0,0,0,1
GENE_-_M5005_Spy1038_M5005_Spy_1038,0,1,0,0,0,0
GENE_-_M5005_Spy1039_M5005_Spy_1039,0,0,0,0,0,0
GENE_-_M5005_Spy1040_M5005_Spy_1040,0,0,0,1,0,0
GENE_-_M5005_Spy1041_M5005_Spy_1041,0,0,0,0,0,0
GENE_-_M5005_Spy1042_M5005_Spy_1042,1,1,3,1,1,0
GENE_-_M5005_Spy1043_M5005_Spy_1043,1,1,0,0,1,0
GENE_-_M5005_Spy1045_M5005_Spy_1045,0,1,2,0,1,1
GENE_-_M5005_Spy1047_M5005_Spy_1047,0,1,1,0,0,0
GENE_-_M5005_Spy1049_M5005_Spy_1049,1,0,0,1,0,0
GENE_-_M5005_Spy1055_glgP,18,70,47,62,51,59
GENE_-_M5005_Spy1056_malM,13,66,22,19,27,30
GENE_-_M5005_Spy1057_malR,18,31,26,13,14,21
GENE_-_M5005_Spy1062_malA,38,133,60,27,136,66
GENE_-_M5005_Spy1063_malD,43,145,61,29,154,105
GENE_-_M5005_Spy1064_malC,76,250,131,95,229,198
GENE_-_M5005_Spy1065_amyA,157,520,320,433,613,590
GENE_-_M5005_Spy1066_amyB,87,338,180,819,737,797
GENE_-_M5005_Spy1067_malX,129,400,194,950,548,435
GENE_-_M5005_Spy1069_M5005_Spy_1069,393,537,317,310,349,326
GENE_-_M5005_Spy1070_dltD,512,843,469,460,494,540
GENE_-_M5005_Spy1071_M5005_Spy_1071,61,66,37,60,46,64
GENE_-_M5005_Spy1072_M5005_Spy_1072,468,744,446,397,451,549
GENE_-_M5005_Spy1073_dltA,610,1029,715,620,663,966
GENE_-_M5005_Spy1074_M5005_Spy_1074,8,8,2,9,7,6
GENE_-_M5005_Spy1075_uvrB,590,1314,887,595,732,1086
GENE_-_M5005_Spy1078_M5005_Spy_1078,0,0,0,0,0,1
GENE_-_M5005_Spy1079_M5005_Spy_1079,3,6,6,7,5,8
GENE_-_M5005_Spy1080_M5005_Spy_1080,0,2,3,1,0,1
GENE_-_M5005_Spy1081_M5005_Spy_1081,0,1,1,1,0,0
GENE_-_M5005_Spy1082_M5005_Spy_1082,0,1,1,1,1,1
GENE_-_M5005_Spy1083_M5005_Spy_1083,7,17,4,12,7,16
GENE_-_M5005_Spy1084_M5005_Spy_1084,4,2,2,5,6,6
GENE_-_M5005_Spy1085_M5005_Spy_1084,9,11,6,11,3,11
GENE_-_M5005_Spy1087_M5005_Spy_1087,9,8,3,4,3,8
GENE_-_M5005_Spy1088_obgE,157,188,133,92,119,87
GENE_-_M5005_Spy1089_M5005_Spy_1089,5,20,9,8,8,8
GENE_-_M5005_Spy1092_rsuA,24,32,16,18,14,12
GENE_-_M5005_Spy1094_M5005_Spy_1094,4,9,7,6,14,3
GENE_-_M5005_Spy1096_M5005_Spy_1096,42,43,31,16,23,24
GENE_-_M5005_Spy1097_M5005_Spy_1097,54,88,55,30,47,61
GENE_-_M5005_Spy1098_M5005_Spy_1098,168,255,182,81,127,124
GENE_-_M5005_Spy1099_M5005_Spy_1099,223,325,172,263,226,234
GENE_-_M5005_Spy1100_aroK,27,42,31,21,13,21
GENE_-_M5005_Spy1101_M5005_Spy_1101,55,99,76,48,53,51
GENE_-_M5005_Spy1102_M5005_Spy_1102,269,387,282,193,153,175
GENE_-_M5005_Spy1103_map,315,433,321,210,197,247
GENE_-_M5005_Spy1104_M5005_Spy_1104,155,259,153,138,137,153
GENE_-_M5005_Spy1105_M5005_Spy_1105,23,49,35,31,20,34
GENE_-_M5005_Spy1106_grab,267,794,582,457,468,964
GENE_-_M5005_Spy1107_murZ,306,292,147,127,187,90
GENE_-_M5005_Spy1108_metK2,279,386,256,180,183,176
GENE_-_M5005_Spy1109_inlA,18,23,24,17,16,16
GENE_-_M5005_Spy1111_M5005_Spy_1111,34,41,30,26,27,27
GENE_-_M5005_Spy1112_M5005_Spy_1112,428,636,425,295,336,262
GENE_-_M5005_Spy1113_M5005_Spy_1113,146,179,105,80,77,95
GENE_-_M5005_Spy1115_M5005_Spy_1115,2,2,0,1,3,1
GENE_-_M5005_Spy1116_udk,63,83,53,32,20,23
GENE_-_M5005_Spy1118_M5005_Spy_1118,341,340,230,332,334,387
GENE_-_M5005_Spy1119_gapN,1206,1206,836,713,657,559
GENE_-_M5005_Spy1120_pstI,2526,2960,1887,1162,1427,1231
GENE_-_M5005_Spy1121_ptsH,384,501,339,196,248,315
GENE_-_M5005_Spy1129_M5005_Spy_1129,17,21,18,23,12,20
GENE_-_M5005_Spy1130_M5005_Spy_1130,17,41,28,26,16,23
GENE_-_M5005_Spy1131_M5005_Spy_1131,5,4,9,4,3,2
GENE_-_M5005_Spy1132_alaS,452,613,421,421,458,450
GENE_-_M5005_Spy1133_prsA,694,589,357,652,749,617
GENE_-_M5005_Spy1134_M5005_Spy_1134,100,138,79,50,56,57
GENE_-_M5005_Spy1135_M5005_Spy_1135,37,41,13,13,7,6
GENE_-_M5005_Spy1136_pepB,178,293,198,113,109,135
GENE_-_M5005_Spy1137_M5005_Spy_1137,13,11,16,4,9,5
GENE_-_M5005_Spy1138_M5005_Spy_1138,27,50,37,12,9,11
GENE_-_M5005_Spy1139_nagB,8,16,32,3,3,1
GENE_-_M5005_Spy1142_M5005_Spy_1142,43,93,52,72,88,101
GENE_-_M5005_Spy1143_M5005_Spy_1143,5,16,9,7,16,20
GENE_-_M5005_Spy1144_M5005_Spy_1144,9,38,12,24,26,32
GENE_-_M5005_Spy1145_sodA,1312,2441,1658,769,1055,1213
GENE_-_M5005_Spy1146_holA,30,60,32,41,28,22
GENE_-_M5005_Spy1147_comEC,4,1,3,1,2,3
GENE_-_M5005_Spy1148_M5005_Spy_1148,1,0,0,0,0,0
GENE_-_M5005_Spy1149_M5005_Spy_1149,70,91,70,35,44,43
GENE_-_M5005_Spy1152_M5005_Spy_1152,29,57,35,28,34,22
GENE_-_M5005_Spy1153_M5005_Spy_1153,30,46,17,42,21,24
GENE_-_M5005_Spy1154_deaD,2512,2475,1557,435,1161,764
GENE_-_M5005_Spy1155_prfC,380,598,382,330,434,373
GENE_-_M5005_Spy1156_M5005_Spy_1156,219,262,141,253,259,238
GENE_-_M5005_Spy1157_murF,329,383,234,191,235,216
GENE_-_M5005_Spy1158_ddl,228,305,216,132,115,136
GENE_-_M5005_Spy1159_recR,76,83,63,33,30,31
GENE_-_M5005_Spy1160_M5005_Spy_1160,0,11,3,6,3,5
GENE_-_M5005_Spy1161_M5005_Spy_1161,75,84,40,81,53,51
GENE_-_M5005_Spy1162_M5005_Spy_1162,81,141,100,58,51,65
GENE_-_M5005_Spy1163_M5005_Spy_1163,45,66,48,29,34,30
GENE_-_M5005_Spy1164_gpmA,621,655,431,361,286,268
GENE_-_M5005_Spy1166_M5005_Spy_1166,19,44,22,31,17,22
GENE_-_M5005_Spy1167_M5005_Spy_1167,187,338,173,222,166,107
GENE_-_M5005_Spy1168_M5005_Spy_1168,0,0,0,0,0,0
GENE_-_M5005_Spy1171_M5005_Spy_1171,2,1,0,0,0,0
GENE_-_M5005_Spy1172_M5005_Spy_1172,0,0,0,0,0,0
GENE_-_M5005_Spy1173_M5005_Spy_1173,0,0,0,0,0,0
GENE_-_M5005_Spy1174_M5005_Spy_1174,0,0,0,0,0,0
GENE_-_M5005_Spy1175_M5005_Spy_1175,0,0,0,0,1,1
GENE_-_M5005_Spy1176_M5005_Spy_1176,0,2,0,0,0,0
GENE_-_M5005_Spy1177_M5005_Spy_1177,1,1,0,0,0,0
GENE_-_M5005_Spy1178_M5005_Spy_1178,1,0,1,1,0,0
GENE_-_M5005_Spy1179_M5005_Spy_1179,1,0,0,0,0,0
GENE_-_M5005_Spy1180_M5005_Spy_1180,0,0,0,0,0,0
GENE_-_M5005_Spy1181_M5005_Spy_1181,0,0,0,0,0,0
GENE_-_M5005_Spy1182_M5005_Spy_1182,0,0,0,0,0,0
GENE_-_M5005_Spy1183_M5005_Spy_1183,0,0,0,0,0,0
GENE_-_M5005_Spy1184_M5005_Spy_1184,0,0,0,0,0,0
GENE_-_M5005_Spy1185_M5005_Spy_1185,0,0,0,0,0,0
GENE_-_M5005_Spy1186_M5005_Spy_1186,0,0,0,0,0,0
GENE_-_M5005_Spy1187_M5005_Spy_1187,2,0,1,1,0,0
GENE_-_M5005_Spy1188_M5005_Spy_1188,0,1,0,0,0,0
GENE_-_M5005_Spy1189_M5005_Spy_1189,2,0,0,1,0,0
GENE_-_M5005_Spy1190_M5005_Spy_1190,0,0,2,1,0,0
GENE_-_M5005_Spy1191_M5005_Spy_1191,1,1,0,2,2,1
GENE_-_M5005_Spy1192_M5005_Spy_1192,6,11,13,10,10,13
GENE_-_M5005_Spy1193_M5005_Spy_1193,149,208,154,104,122,176
GENE_-_M5005_Spy1194_M5005_Spy_1194,1,0,1,0,0,0
GENE_-_M5005_Spy1195_M5005_Spy_1195,0,0,0,2,0,0
GENE_-_M5005_Spy1196_M5005_Spy_1196,1,0,0,0,0,0
GENE_-_M5005_Spy1197_M5005_Spy_1197,4,1,0,1,1,1
GENE_-_M5005_Spy1198_M5005_Spy_1198,4,1,0,1,0,0
GENE_-_M5005_Spy1199_M5005_Spy_1199,1,0,0,0,0,0
GENE_-_M5005_Spy1200_M5005_Spy_1200,6,0,0,1,0,1
GENE_-_M5005_Spy1201_M5005_Spy_1201,2,2,1,2,1,0
GENE_-_M5005_Spy1202_M5005_Spy_1202,1,0,0,0,0,0
GENE_-_M5005_Spy1203_M5005_Spy_1203,3,4,1,1,1,1
GENE_-_M5005_Spy1204_M5005_Spy_1204,2,0,2,2,0,0
GENE_-_M5005_Spy1205_M5005_Spy_1205,0,0,0,0,0,0
GENE_-_M5005_Spy1206_M5005_Spy_1206,0,0,1,0,0,0
GENE_-_M5005_Spy1207_M5005_Spy_1207,0,1,0,1,0,0
GENE_-_M5005_Spy1208_M5005_Spy_1208,0,0,0,0,0,0
GENE_-_M5005_Spy1209_M5005_Spy_1209,1,0,1,1,1,0
GENE_-_M5005_Spy1210_M5005_Spy_1210,0,0,0,0,0,0
GENE_-_M5005_Spy1211_M5005_Spy_1211,0,0,0,0,0,0
GENE_-_M5005_Spy1212_xis,0,0,0,0,0,0
GENE_-_M5005_Spy1213_M5005_Spy_1213,0,0,0,1,0,0
GENE_-_M5005_Spy1216_M5005_Spy_1216,0,0,0,0,0,0
GENE_-_M5005_Spy1217_M5005_Spy_1217,6,1,4,0,0,1
GENE_-_M5005_Spy1218_M5005_Spy_1218,0,0,0,0,0,1
GENE_-_M5005_Spy1223_M5005_Spy_1223,480,509,420,233,149,223
GENE_-_M5005_Spy1224_M5005_Spy_1224,124,191,101,81,84,96
GENE_-_M5005_Spy1225_M5005_Spy_1225,209,323,239,193,147,187
GENE_-_M5005_Spy1226_M5005_Spy_1226,182,206,145,104,101,104
GENE_-_M5005_Spy1227_M5005_Spy_1227,111,168,120,84,86,70
GENE_-_M5005_Spy1228_recN,187,305,245,130,126,141
GENE_-_M5005_Spy1229_argR1,49,60,62,23,29,33
GENE_-_M5005_Spy1230_M5005_Spy_1230,78,148,117,59,69,68
GENE_-_M5005_Spy1231_fps,74,151,99,53,44,62
GENE_-_M5005_Spy1232_xseB,3,9,15,3,1,6
GENE_-_M5005_Spy1233_xseA,85,189,143,88,63,88
GENE_-_M5005_Spy1234_folD,47,53,42,25,23,16
GENE_-_M5005_Spy1235_M5005_Spy_1235,745,1229,842,654,687,818
GENE_-_M5005_Spy1236_phr,45,87,77,49,50,69
GENE_-_M5005_Spy1237_artP,22,33,44,8,7,8
GENE_-_M5005_Spy1238_artQ,15,22,23,7,2,5
GENE_-_M5005_Spy1239_M5005_Spy_1239,58,54,24,20,12,12
GENE_-_M5005_Spy1243_ileS,652,750,479,439,356,380
GENE_-_M5005_Spy1244_divIVAS,820,1263,805,445,698,673
GENE_-_M5005_Spy1245_M5005_Spy_1245,796,1076,654,384,592,603
GENE_-_M5005_Spy1246_M5005_Spy_1246,185,233,165,86,156,132
GENE_-_M5005_Spy1247_M5005_Spy_1247,1141,1729,1132,703,1046,1069
GENE_-_M5005_Spy1248_M5005_Spy_1248,704,1058,714,391,619,672
GENE_-_M5005_Spy1249_ftsZ,1549,2169,1342,968,1357,1357
GENE_-_M5005_Spy1250_ftsA,1005,1556,826,711,863,737
GENE_-_M5005_Spy1251_divIB,297,456,277,247,259,288
GENE_-_M5005_Spy1252_murG,264,344,237,180,179,212
GENE_-_M5005_Spy1253_murD,235,357,233,181,177,212
GENE_-_M5005_Spy1254_M5005_Spy_1254,21,39,19,25,25,19
GENE_-_M5005_Spy1255_typA,2105,2577,1602,879,1252,1110
GENE_-_M5005_Spy1256_M5005_Spy_1256,27,50,31,27,34,35
GENE_-_M5005_Spy1257_glcK,158,245,137,137,112,136
GENE_-_M5005_Spy1258_M5005_Spy_1258,4,11,2,7,3,1
GENE_-_M5005_Spy1259_dpr,1142,2206,1176,1310,1655,1659
GENE_-_M5005_Spy1261_M5005_Spy_1261,233,289,199,135,145,128
GENE_-_M5005_Spy1262_M5005_Spy_1262,143,150,93,78,85,74
GENE_-_M5005_Spy1263_M5005_Spy_1263,0,0,0,0,0,1
GENE_-_M5005_Spy1264_M5005_Spy_1264,55,91,52,34,28,39
GENE_-_M5005_Spy1265_M5005_Spy_1265,7,7,12,9,6,8
GENE_-_M5005_Spy1266_M5005_Spy_1266,308,355,274,210,220,211
GENE_-_M5005_Spy1267_coaD,54,96,39,45,50,39
GENE_-_M5005_Spy1268_M5005_Spy_1268,77,94,57,52,39,43
GENE_-_M5005_Spy1269_asnA,43,40,26,33,35,22
GENE_-_M5005_Spy1270_arcC,165,307,93,116,403,332
GENE_-_M5005_Spy1271_M5005_Spy_1271,161,296,85,209,423,440
GENE_-_M5005_Spy1272_M5005_Spy_1272,178,351,124,365,583,833
GENE_-_M5005_Spy1273_arcB,450,1187,345,1137,1973,2982
GENE_-_M5005_Spy1274_M5005_Spy_1274,295,720,191,600,1114,1584
GENE_-_M5005_Spy1275_arcA,1423,2646,638,2484,3861,4804
GENE_-_M5005_Spy1276_M5005_Spy_1276,39,84,40,36,34,41
GENE_-_M5005_Spy1278_M5005_Spy_1278,135,175,116,93,79,92
GENE_-_M5005_Spy1279_M5005_Spy_1279,59,83,53,63,67,52
GENE_-_M5005_Spy1280_M5005_Spy_1280,87,111,81,78,90,85
GENE_-_M5005_Spy1281_M5005_Spy_1281,22,23,17,36,27,29
GENE_-_M5005_Spy1282_msrA,0,1,0,0,1,1
GENE_-_M5005_Spy1283_tlpA,0,1,1,0,0,1
GENE_-_M5005_Spy1284_ccdA,0,0,0,1,0,0
GENE_-_M5005_Spy1285_M5005_Spy_1285,1,3,0,7,6,4
GENE_-_M5005_Spy1286_M5005_Spy_1286,11,9,11,40,47,42
GENE_-_M5005_Spy1287_M5005_Spy_1287,5,3,7,22,25,19
GENE_-_M5005_Spy1288_M5005_Spy_1288,10,7,4,51,37,21
GENE_-_M5005_Spy1289_M5005_Spy_1289,4,17,9,68,75,52
GENE_-_M5005_Spy1290_M5005_Spy_1290,2,6,1,30,26,11
GENE_-_M5005_Spy1291_M5005_Spy_1291,8,8,2,113,74,62
GENE_-_M5005_Spy1292_valS,316,339,264,212,224,240
GENE_-_M5005_Spy1293_M5005_Spy_1293,22,20,17,13,18,11
GENE_-_M5005_Spy1294_M5005_Spy_1294,3,1,1,1,2,1
GENE_-_M5005_Spy1295_M5005_Spy_1295,17,26,13,20,6,8
GENE_-_M5005_Spy1296_M5005_Spy_1296,3,4,2,5,2,2
