,readcount_cph1-efg1_0min_1,readcount_cph1-efg1_0min_3,readcount_cph1-efg1_0min_4,readcount_cph1-efg1_75min_1,readcount_cph1-efg1_75min_3,readcount_cph1-efg1_75min_4,readcount_Evo_0min_1,readcount_Evo_0min_3,readcount_Evo_0min_4,readcount_Evo_75min_1,readcount_Evo_75min_3,readcount_Evo_75min_4
orf19.3526,3179,1855,1882,556,384,511,1792,7107,1829,498,487,1223
orf19.3527,34514,18212,17924,19466,16705,20384,26013,90710,22166,19315,19543,37358
orf19.3528,1880,1086,932,1249,986,1259,1072,3775,938,977,918,1753
orf19.3529,901,357,354,289,289,231,243,804,203,279,253,426
orf19.353,1432,851,798,1134,859,1049,976,3779,971,1007,996,1466
orf19.3530,2624,1786,1740,1832,1529,1865,1753,7039,1680,1491,1696,2844
orf19.3531,793,496,444,518,336,476,593,1989,421,493,420,789
orf19.3532,5342,3983,3189,4894,3470,4232,2786,13381,3162,3509,3009,5555
orf19.3533,2103,1223,1067,1136,896,1066,1355,4593,1169,886,885,1586
orf19.3534,6636,3443,2956,3550,2764,3252,4867,16606,2920,3260,3145,5966
orf19.3535,5189,2917,2897,4481,3570,4226,2794,10834,2791,3766,3791,7392
orf19.3536,1955,1178,1116,1784,1487,1711,1428,4919,1451,1729,1784,2830
orf19.3537,333,142,169,167,103,100,339,897,263,127,119,230
orf19.3538,78,51,62,408,287,231,44,184,51,100,118,233
orf19.3539,893,609,638,1016,887,1018,506,2328,829,993,987,1622
orf19.354,2254,1381,1094,1885,1365,1692,1636,5976,1117,1642,1422,2919
orf19.3540,4913,3479,4097,6082,4844,6097,2967,12328,5020,5785,5598,9961
orf19.3541,12410,8426,8086,9741,8664,9833,8051,34457,9361,9064,9726,17314
orf19.3542,5094,2584,2680,3481,2971,3335,3843,11585,2970,3390,3218,5934
orf19.3543,106,55,47,39,44,30,103,370,54,61,51,125
orf19.3544,556,228,260,303,289,209,500,1204,253,498,339,661
orf19.3545,1735,780,855,1121,889,925,1419,4000,803,1120,1002,1761
orf19.3546,1719,745,829,931,789,802,1593,4215,982,1178,1035,1843
orf19.3547,4670,3387,4095,5924,5057,6106,2567,11485,5002,5989,5910,10615
orf19.3548,4065,1816,1864,2655,1972,2302,2969,8523,1940,2404,2276,4257
orf19.3548.1,56,40,32,30,34,27,55,161,34,26,25,35
orf19.3549,1841,962,812,1091,801,998,1282,3743,825,818,699,1626
orf19.355,6,2,3,1,1,2,1,6,2,8,4,9
orf19.3550,1923,984,929,1264,948,1102,1229,4246,992,1219,1085,2127
orf19.3551,805,462,374,392,319,389,500,1827,449,398,305,719
orf19.3552,4556,2695,2412,3351,2710,3000,3304,12107,2874,3135,3074,5301
orf19.3553,5603,3945,3818,5181,4495,5129,3100,12655,4433,4986,4890,8648
orf19.3554,11205,5093,4787,22269,19060,17112,9222,27923,4697,26421,26636,39091
orf19.3555,3728,1420,1870,1903,2060,1693,2964,8332,1602,2615,2413,3953
orf19.3556,4171,2920,3458,5216,4230,5067,2625,11661,4034,5169,5160,8644
orf19.3557,766,334,336,404,346,381,596,1769,400,415,360,705
orf19.3558,9507,5439,4679,4949,3982,4635,7007,23053,4813,4609,4571,8698
orf19.3559,6795,5202,4461,6705,4715,5857,3586,19297,4353,5615,4799,9181
orf19.356,14,6,8,7,18,10,20,49,13,36,43,74
orf19.3561,1887,966,1031,1397,1080,1215,1286,4216,964,1329,1187,2348
orf19.3563,620,274,560,505,561,470,404,1299,418,620,511,1007
orf19.3564,5695,3685,3974,5816,4762,5778,3573,13405,4763,5561,5082,9561
orf19.3565,489,317,307,365,312,359,409,1388,376,414,311,712
orf19.3567,92,46,32,100,108,103,78,166,29,163,135,309
orf19.3568,1204,759,803,919,747,812,1075,3830,853,816,812,1418
orf19.3569,1495,901,829,997,811,864,1238,4192,1066,1039,989,1898
orf19.357,8747,4519,4082,6444,4858,6018,6066,20050,4043,5195,4531,8567
orf19.3571,165,81,104,137,83,111,125,383,127,93,78,205
orf19.3572,438,274,252,406,276,296,388,1538,364,336,313,682
orf19.3572.3,86100,50682,43190,44563,37331,39731,62438,221871,53986,41105,41218,75824
orf19.3573,1296,653,494,663,561,469,1115,3276,444,753,634,1118
orf19.3574,434,295,256,331,265,352,374,1289,277,288,307,554
orf19.3575,127337,51766,61691,132094,96994,111857,231375,313023,106241,146393,133076,242558
orf19.3577,6568,3704,3432,4777,3817,4438,3824,14569,3368,3830,3521,6542
orf19.3577.1,766,470,391,464,378,422,505,2041,500,366,415,757
orf19.3578,455,314,269,436,274,409,236,1070,296,329,309,540
orf19.3579,30158,16559,14866,23161,17483,22242,20440,71878,16549,18295,17907,35703
orf19.3581,2261,1274,990,1340,941,1132,1595,4943,1085,1139,1054,2097
orf19.3582,2564,1599,1335,1636,1327,1519,1874,6957,1894,1556,1478,2606
orf19.3583,5280,2466,2947,3608,2821,3306,4071,11277,3256,3257,2980,5651
orf19.3585,1598,1100,1153,1584,1315,1631,878,3271,1232,1307,1220,2187
orf19.3586,2703,1258,1887,2657,2338,2264,1916,6317,2213,2589,2535,4650
orf19.3589,80,48,31,46,27,17,73,214,67,51,30,97
orf19.359,273,150,83,92,94,88,213,600,88,87,77,123
orf19.3590,37807,18058,18421,29653,25022,26607,31455,92229,22718,26059,25169,49229
orf19.3591,5235,2693,2945,3681,3060,3175,4279,12594,3595,3570,3422,6447
orf19.3592,1782,925,1068,1339,1059,1109,1351,4595,964,1028,1088,2025
orf19.3593,12594,6241,5889,6771,5309,6123,9830,30492,6274,6483,6012,10889
orf19.3594,1223,578,551,547,448,463,945,2583,544,534,513,944
orf19.3599,21171,12196,13661,19559,17012,18758,15334,50336,15979,18707,18651,30819
orf19.36,688,373,436,476,360,360,533,1714,493,454,420,678
orf19.360,510,253,318,398,358,390,438,1562,419,542,502,963
orf19.3600,124,61,55,87,60,71,113,390,62,67,80,151
orf19.3601,557,292,365,624,444,462,534,1923,458,703,645,1096
orf19.3603,1796,1128,1083,1361,1439,1254,1261,5115,1228,1426,1443,2539
orf19.3604,1859,854,1004,1228,1041,1122,1324,3449,1007,1050,905,1733
orf19.3605,902,403,428,444,454,358,698,1748,466,516,443,881
orf19.3606,1309,585,696,792,800,753,846,2269,703,894,816,1506
orf19.3607,149,75,61,123,94,103,138,449,98,166,131,244
orf19.3608,1178,753,699,1270,985,1075,854,3378,811,1162,1069,1970
orf19.3609,1837,1442,1388,2317,1699,2101,1246,5123,1720,1983,2029,3349
orf19.36.1,589,327,306,323,249,238,488,1698,426,390,345,617
orf19.3610,361,199,246,230,247,218,299,1193,267,350,325,603
orf19.3611,8504,5051,4247,4170,3504,4246,7077,23350,5288,4242,3981,8057
orf19.3612,197,108,76,127,123,97,188,442,99,129,120,258
orf19.3613,3773,1956,1942,2253,1937,1965,2782,8972,2150,2257,2064,3850
orf19.3615,2456,860,774,1016,845,809,1824,4491,924,1136,920,1698
orf19.3616,6999,3628,3922,4678,3634,4024,5725,18549,4869,4631,4143,7405
orf19.3617,839,422,517,612,493,531,707,2134,516,570,534,904
orf19.3618,2311,602,567,1148,653,738,4127,5704,1501,720,673,1618
orf19.362,885,371,349,711,429,454,432,871,188,384,254,477
orf19.3621,88,25,35,11,13,15,102,232,72,9,18,20
orf19.3622,1803,1167,1210,1566,1382,1565,1428,4852,1349,1524,1702,3209
orf19.3623,3727,1923,1851,2264,1776,1830,2795,8567,1907,2126,1987,3368
orf19.3624,763,653,682,1395,1062,1410,360,2002,533,904,928,1468
orf19.3625,1090,530,452,543,425,466,751,2450,554,515,477,962
orf19.3626,414,356,404,660,573,647,229,1295,400,473,609,952
orf19.3626.1,9,1,2,7,7,5,1,3,4,7,5,14
orf19.3627,103,73,74,108,141,101,59,296,95,161,137,289
orf19.3628,6245,3087,3509,4452,3546,3894,4360,14088,3841,4344,3953,7116
orf19.3629,4722,2031,2581,2304,1834,1708,3287,8864,2842,1849,1462,2938
orf19.3630,2204,2019,2122,3072,2471,2926,1135,6118,2224,2620,2429,4284
orf19.3631,244,157,162,293,200,257,149,574,168,245,231,579
orf19.3633,207,121,109,174,150,171,197,553,134,206,195,337
orf19.3635,1034,693,729,1080,1037,908,626,3074,708,1054,1110,1560
orf19.3637,0,0,0,0,0,0,0,1,0,4,1,8
orf19.3638,4,2,3,3,3,2,4,5,2,15,13,42
orf19.3639,627,343,393,480,364,373,724,2348,557,512,431,951
orf19.364,11086,5386,4942,8024,6294,7298,8709,24868,5822,7070,7037,13423
orf19.3642,55026,28908,25378,41166,35121,40687,28631,93270,19660,40634,41440,83469
orf19.3643,2,2,4,2,1,1,2,10,4,2,0,1
orf19.3644,2247,1297,1639,1880,1449,1732,1236,5068,1248,1499,1360,2641
orf19.3646,112826,75465,76526,11654,6854,14052,83631,475193,83908,26511,10750,29750
orf19.3647,2902,1418,1479,2173,1684,1813,2421,7147,1779,2240,2154,3795
orf19.3648,1753,857,912,1535,1118,1255,1193,3518,801,1427,1328,2392
orf19.3649,3323,1876,1798,2224,1840,2175,2752,7849,2174,2487,2211,4093
orf19.3651,99954,36040,36914,64281,45178,49230,162176,260074,66204,78256,66823,115737
orf19.3653,3064,1949,2196,3388,2738,3031,1982,8746,2361,3020,3068,5341
orf19.3655,207,142,117,155,129,162,210,751,195,153,166,351
orf19.3656,9534,3803,2603,3256,2437,3139,8446,20068,3130,2992,2269,4271
orf19.3658,1532,657,820,995,854,822,1141,3301,788,979,946,1929
orf19.3659,1781,762,927,961,753,781,1356,4448,1097,928,762,1402
orf19.366,2942,1209,1305,1079,1006,1007,2523,6447,1574,1240,1186,2318
orf19.3660,795,534,523,1006,705,976,455,1820,475,734,684,1281
orf19.3661,1313,536,556,1145,734,837,757,2521,444,1042,871,1410
orf19.3663,7213,2916,3425,8103,6942,7183,4867,14800,3525,8698,10046,13614
orf19.3663.1,3597,1297,1132,904,685,772,1917,5503,1060,742,646,1276
orf19.3664,25938,5658,4318,376,214,97,4903,11549,2638,193,110,92
orf19.3665,1083,756,625,1161,881,1192,584,2502,702,862,1069,1441
orf19.3666,771,529,461,767,606,704,492,1873,581,680,640,1105
orf19.3667,972,511,446,549,448,471,653,2080,388,467,453,942
orf19.3668,3357,1298,969,1252,1800,684,875,1107,290,3040,2344,2877
orf19.3669,48549,18695,19388,18636,18222,11917,37786,143062,27438,32718,26853,34883
orf19.367,6020,3571,3345,8477,7936,8959,4583,15132,4703,8768,9480,17199
orf19.3670,3034,1603,1331,1798,1662,1284,1146,3945,443,3075,2645,3517
orf19.3671,3,3,1,1,1,1,5,10,4,5,1,3
orf19.3672,3228,1504,1281,1747,1810,1518,782,2812,292,2451,1864,2653
orf19.3673,635,331,350,375,321,318,520,1690,415,368,374,737
orf19.3674,619,320,205,221,206,160,434,1472,262,288,286,459
orf19.3675,2348,1210,1149,1333,1482,1048,1517,5680,1071,2246,1839,2729
orf19.3676,1207,834,846,1299,928,1227,576,2823,1040,1300,1199,1999
orf19.3677,794,374,264,429,292,282,689,1849,316,433,346,564
orf19.3678,2551,1023,1453,1945,1580,1672,1323,3791,1110,1642,1550,2839
orf19.3679,1289,607,587,834,668,761,917,2920,625,925,820,1643
orf19.3680,4684,2559,1997,2524,2046,2311,3262,11167,2110,2487,2627,4479
orf19.3681,5310,3220,3066,4316,3536,4092,3417,12562,3196,3784,3580,6807
orf19.3682,1413,815,656,854,739,747,866,3401,918,626,602,1412
orf19.3683,5739,3171,2901,3168,2524,2795,4060,13683,3203,2938,2809,5296
orf19.3684,213,105,116,142,150,137,188,649,105,230,169,379
orf19.3685,1018,668,533,879,667,694,852,3017,493,684,682,1228
orf19.3686,2279,1446,1363,2082,1368,1672,1779,6243,1565,1748,1438,2653
orf19.3687,1110,605,485,692,638,691,715,2614,549,562,557,1125
orf19.3688,962,586,495,812,614,691,665,1978,526,637,584,1033
orf19.3689,2919,1556,1806,2452,2273,2064,1841,6980,1634,2525,2414,4095
orf19.3690.2,62149,40017,37764,36409,29877,32186,42579,159682,49271,34311,33844,63466
orf19.3691,2525,1434,1368,2191,1748,2024,1689,6001,1348,1741,1484,3106
orf19.3693,169,86,52,81,61,79,164,501,77,89,75,152
orf19.3694,2696,1721,1369,1923,1637,1648,1844,5522,1513,1329,1341,2773
orf19.3695,2976,2004,1975,2598,2166,2554,1314,5481,1509,1756,1872,3149
orf19.3696,14703,9757,9003,10911,8846,10085,4946,23271,5756,5705,5373,9818
orf19.3697,1217,555,585,865,696,681,798,2025,471,687,613,942
orf19.3698,696,478,486,629,406,530,408,1619,402,388,325,637
orf19.3699,295,148,178,229,159,166,164,607,152,189,134,286
orf19.3700,12474,7169,6353,9352,7896,8353,5155,18275,4321,5483,5232,9246
orf19.3701,1662,719,876,1121,895,967,1330,3003,656,871,682,1329
orf19.3704,3261,2253,2738,3904,2805,3550,2101,8142,2805,3353,3171,5186
orf19.3704.1,3500,2295,1836,2422,1779,2327,1776,8369,1691,1490,1369,2935
orf19.3705,2056,885,1290,1451,1103,1205,1212,4221,1294,1316,1105,2170
orf19.3706,2853,1400,1723,1468,1095,1147,2006,7415,2371,1531,1291,2282
orf19.3707,106153,31634,34511,972,1053,580,113393,344213,68584,3285,1463,2813
orf19.3708,271,147,230,481,343,394,237,831,222,856,708,1267
orf19.371,2282,1032,1045,1481,1082,1089,1562,4702,1065,1219,1067,1976
orf19.3710,986,915,1164,4133,4007,4030,471,3599,997,7448,7491,14910
orf19.3711,97,52,49,65,78,58,78,289,54,112,97,163
orf19.3712,7899,3917,4262,3849,4157,3622,4667,16292,3919,3781,3712,5971
orf19.3713,363,173,183,210,217,188,195,688,164,198,198,296
orf19.3714,3249,1596,1692,1857,1734,1607,1965,6104,1515,1815,1887,3459
orf19.3715,3450,1971,1636,1841,1476,1723,2381,7521,1686,1416,1326,2483
orf19.3719,0,0,0,0,0,0,0,0,0,1,0,0
orf19.372,1324,621,625,1118,949,1037,940,2710,654,781,672,1521
orf19.3720,1631,724,782,831,599,786,1131,3588,747,634,483,1022
orf19.3721,510,229,236,269,267,284,278,922,193,220,260,501
orf19.3722,4498,2453,2862,3042,2891,2798,3423,11281,3676,3526,3532,6787
orf19.3724,3068,1897,2069,2695,2252,2961,1761,6550,2330,2312,2233,4098
orf19.3726,1192,511,731,999,789,806,1082,2957,804,1064,1051,1647
orf19.3727,86,27,33,86,95,94,68,156,27,101,150,207
orf19.3728,4185,1577,2153,2577,2518,2121,2990,9247,2160,3262,3046,4843
orf19.3730,1857,839,820,920,829,828,1486,4039,870,1035,975,1687
orf19.3732,3448,2420,2275,2439,2306,2569,1830,10425,2243,2459,2755,4568
orf19.3733,4590,2957,3099,2994,2227,2603,2681,13970,2725,3936,3366,5572
orf19.3734,3612,1208,1791,1606,1364,1213,2302,6638,1596,2210,1733,3054
orf19.3735,5,2,4,4,3,3,4,15,2,5,11,16
orf19.3736,2671,1584,1078,1102,1334,994,2031,8076,1635,1598,1836,2869
orf19.3737,2269,1069,1135,1626,1609,1416,1857,5371,1198,2054,2025,3246
orf19.3738,9,2,1,3,7,8,9,11,2,13,9,7
orf19.374,9219,4054,4241,5249,4762,4923,7558,21587,4788,5343,5216,10083
orf19.3740,244,129,106,111,124,111,195,508,106,130,141,322
orf19.3742,664,488,402,197,140,165,372,1511,387,236,198,372
orf19.3743,452,219,254,302,216,225,359,1043,259,304,223,509
orf19.3744,2637,1400,1178,1801,1298,1501,2056,6415,1287,1653,1547,2828
orf19.3746,105,35,51,34,35,34,95,236,51,60,46,74
orf19.3748,14,11,8,5,3,3,10,43,8,7,4,4
orf19.3749,457,193,286,162,212,146,364,1097,314,247,211,371
orf19.3751,4188,2445,2416,3329,3037,2921,2324,8756,2023,3757,3682,6320
orf19.3752,5585,2886,2622,4318,3409,3939,3502,10580,2558,3400,3283,6130
orf19.3753,2743,1731,1537,7603,5284,5368,2107,7610,1644,4683,4251,7967
orf19.3755,4253,3221,2575,3975,2653,3417,2618,12662,2996,2962,2536,4956
orf19.3756,2603,2124,2076,3178,2254,3152,1309,6695,2148,2404,2368,3852
orf19.3757,9263,6211,5326,6447,5062,6200,5995,24193,5699,5243,5021,9677
orf19.3758,4016,2046,2253,1885,1539,1615,2845,9703,2520,1995,1790,3239
orf19.3759,1654,1361,1452,1948,1322,1708,927,4481,1446,1480,1399,2189
orf19.376,190,78,74,254,239,204,164,465,58,329,321,598
orf19.3760,26,17,10,15,14,2,21,55,15,14,13,22
orf19.3761,3885,2272,2090,2303,2046,2164,2471,7648,2133,1894,1802,3717
orf19.3762,1362,713,662,808,550,693,825,2926,681,679,636,1086
orf19.3763,1069,492,545,634,582,552,776,2396,539,743,636,1250
orf19.3764,933,521,524,668,494,533,711,2564,528,665,643,1059
orf19.3765,3702,2008,1776,2087,1656,1860,2320,8242,1632,2144,2131,3509
orf19.3767,7419,3426,3662,5085,4035,4168,6245,19637,4201,5676,5039,9092
orf19.3769,1185,578,706,723,595,637,959,3344,813,856,755,1390
orf19.377,3551,1607,1641,1950,2121,1913,2342,7959,1613,2320,2474,3982
orf19.3770,64,27,27,224,351,196,121,303,85,302,324,535
orf19.3773,1846,1032,960,1403,1282,1377,1603,5160,1247,1905,1759,3592
orf19.3774,1322,752,648,836,766,815,992,3965,784,1203,1009,2053
orf19.3774.1,290,144,157,159,139,138,193,719,180,170,128,277
orf19.3775,7294,3846,3410,4161,3573,3804,5580,20607,3693,4480,4624,8086
orf19.3777,687,636,521,874,593,698,369,2299,434,597,474,807
orf19.3778,4082,2802,3032,4365,3607,4530,2346,9493,3829,4317,4117,7669
orf19.3780,230,170,115,177,137,204,144,540,118,146,145,327
orf19.3781,157,119,109,277,211,242,203,480,165,189,219,313
orf19.3782,750,422,402,611,470,491,832,2827,593,842,764,1673
orf19.3782.2,5756,3312,3174,4091,3646,4295,4340,15995,4053,4263,3855,7989
orf19.3783,60,33,18,62,60,69,72,178,40,63,53,163
orf19.3784,122,62,68,106,116,109,119,263,96,141,139,302
orf19.3785,1123,666,567,857,643,861,864,2748,714,818,805,1510
orf19.3787,4703,2137,2303,3190,2506,2883,3020,10742,2505,2567,2448,4681
orf19.3788,1588,961,843,824,588,749,1018,3864,788,685,670,1231
orf19.3788.1,74286,40194,35133,40696,31718,36277,51590,176814,46548,36942,37057,71450
orf19.3789,92022,50352,45340,48607,40263,41819,67132,216714,57963,46807,45929,83497
orf19.3791,359,227,187,290,233,272,289,1119,280,334,282,633
orf19.3792,13056,6547,6477,8583,6736,7455,10544,31235,7346,7583,6965,13400
orf19.3793,420,230,337,692,639,581,328,1123,393,914,774,1367
orf19.3794,840,312,341,883,712,775,508,1569,458,1165,810,1443
orf19.3795,491,257,298,591,586,473,454,1496,487,753,773,1294
orf19.3796,2643,1349,1325,1846,1480,1762,2156,6117,1763,1917,1886,3566
orf19.3797,3387,2619,1963,3817,2673,3829,1832,10416,1860,2674,2380,4584
orf19.3798,2516,1813,1865,2830,2000,2778,1562,6981,2051,2223,2169,3884
orf19.3799,16730,7549,8316,11850,10029,10852,14290,34694,9575,12174,11772,20539
orf19.3801,35,5,10,5,8,2,54,59,5,9,12,16
orf19.3802,6726,3167,3344,3848,3136,3390,6116,18122,4106,3701,3497,6449
orf19.3803,185,90,123,221,162,177,148,387,165,229,188,405
orf19.3804,2028,1255,1214,1828,1301,1570,1278,4472,1142,1526,1450,2770
orf19.3806,2533,1145,1231,1669,1210,1306,1838,4972,1201,1500,1188,2295
orf19.3809,2795,1947,1958,3759,3211,3633,1685,7432,1908,3774,3890,7355
orf19.3810,2848,1554,1875,12199,8767,10611,1153,4172,1356,10816,10531,19000
orf19.3811,3061,1147,1480,1844,1515,1446,2820,7559,1382,2281,1883,3570
orf19.3812,37052,21152,23079,32799,28583,32928,26988,86522,28515,31337,31104,57322
orf19.3813,1089,450,516,682,585,543,700,1856,480,677,615,1127
orf19.3815,4072,1331,2417,1974,1895,1770,2742,7726,2104,2284,1919,3538
orf19.3817,1408,711,723,1044,781,931,1069,4000,852,1016,854,1536
orf19.3818,669,355,418,566,403,490,515,1796,530,653,587,1184
orf19.3819,220,146,88,121,90,103,209,664,107,140,116,269
orf19.382,586078,289416,302935,387122,316710,343935,427460,1290418,343287,349373,349386,622238
orf19.3820,1785,684,645,749,665,692,1914,3545,718,833,886,1612
orf19.3821,2094,879,1033,1219,1125,1124,1540,4263,1071,1208,1188,2102
orf19.3822,17140,6240,4766,5230,4705,5114,15806,28474,5439,4627,4589,8120
orf19.3823,6922,3659,3246,4534,3908,3753,4662,15774,2935,4551,4720,7379
orf19.3825,2515,1197,1039,1237,1098,1162,2062,6198,1332,1447,1499,2614
orf19.3826,1428,611,763,507,597,405,897,3091,608,560,520,782
orf19.3827,1923,824,882,1095,873,802,1620,4342,964,976,917,1506
orf19.3828,123,42,51,33,42,20,58,132,20,21,33,53
orf19.3829,47256,21657,19944,81389,74867,82200,23005,66611,12580,86372,91445,168205
orf19.3831,1587,1341,1336,1684,1348,1837,945,4003,1338,1235,1218,2220
orf19.3833,3635,1837,1743,2292,1698,1964,2689,8758,1794,2251,2267,4012
orf19.3836,2484,1469,1432,2389,1843,2285,1818,6090,1730,1868,1791,3541
orf19.3838,85478,45201,42070,50262,44507,52219,59871,213759,56497,50091,52510,102986
orf19.3839,680,272,273,547,585,482,366,848,203,564,559,875
orf19.384,4748,2126,2286,2655,2198,2339,3575,11325,2465,2720,2660,4886
orf19.3840,3959,2354,2060,2883,2141,2479,2879,9758,1996,2585,2552,4311
orf19.3841,854,373,426,715,650,545,616,1765,405,835,813,1335
orf19.3843,7101,3523,3729,4094,3386,3678,5221,15988,3930,3736,3501,6398
orf19.3844,3438,1942,1779,2130,1821,1693,2716,9018,1854,2339,2214,3854
orf19.3845,2094,964,1010,1167,838,1007,1594,5445,1213,1396,1195,2231
orf19.3846,2546,1485,1589,2836,2577,2934,1823,6314,1897,2172,2015,4005
orf19.3848,810,421,432,581,413,462,613,1753,452,517,491,889
orf19.385,18670,9994,11214,40473,30496,31886,8529,33331,8104,40549,39364,61430
orf19.3851,237,177,179,193,198,216,158,635,186,249,212,521
orf19.3852,326,153,160,353,336,277,286,1000,245,489,527,891
orf19.3854,8626,4504,5446,5189,3691,4063,5930,25355,6784,5730,5416,7684
orf19.3856,5096,2817,2481,2971,2584,2889,3423,10368,2384,2779,2695,5248
orf19.3858,1878,1089,1101,1138,841,1149,1258,4420,1217,838,782,1661
orf19.3859,7094,3677,3760,4098,3277,3786,4767,15694,3962,3233,3128,6066
orf19.386,9045,4824,4480,11004,8540,10696,7546,25434,5357,11079,10766,20810
orf19.3861,16229,8466,8109,5958,4110,5568,10640,34764,7707,4798,4296,8108
orf19.3862,4020,1925,1989,2105,1548,1908,2981,9556,2243,2084,2051,3464
orf19.3863,62,32,34,39,25,36,53,132,44,60,50,118
orf19.3865,476,280,379,675,532,603,231,1017,288,551,575,873
orf19.3867,5578,4020,4480,5995,5068,5889,2921,12148,5134,5674,5090,9379
orf19.3868,0,0,1,0,0,0,0,8,1,0,0,1
orf19.3869,896,778,1039,434,717,474,1019,5711,2127,536,616,1579
orf19.387,6867,3718,3482,4844,3583,4261,5260,17551,3968,4423,4146,7590
orf19.3870,13091,6418,6511,27917,25148,25737,5624,18336,5317,29402,31032,51366
orf19.3871,1461,761,676,960,703,781,1032,3411,700,841,740,1412
orf19.3872,2184,1204,1052,1548,1213,1353,1887,5711,1248,1588,1522,2892
orf19.3873,8010,4229,4193,5363,4334,4924,6315,20256,4594,5146,5138,9343
orf19.3874,777,450,578,877,691,765,494,1980,692,767,830,1413
orf19.3876,91,79,89,187,119,126,81,357,104,116,117,211
orf19.3877,321,156,186,237,183,188,297,864,227,279,250,506
orf19.3878,549,226,256,296,254,232,413,1258,223,314,346,658
orf19.3879,51,26,26,148,114,129,93,215,73,260,251,444
orf19.388,5374,2143,2183,2422,2020,2173,5392,11843,2632,2502,2161,4297
orf19.3881,2173,824,976,1144,797,944,1925,4548,922,902,785,1468
orf19.3884,923,500,583,834,599,711,524,1705,517,425,397,774
orf19.3885,31,15,8,8,11,8,19,62,7,21,12,54
orf19.3886,1026,540,573,737,604,670,827,2448,533,684,647,1148
orf19.3887,1805,1415,1070,1479,1166,1476,1062,4918,1178,1119,1023,1994
orf19.3888,34514,12603,13573,22430,17229,17125,48641,87805,24288,27489,24112,41949
orf19.3888.2,27,8,1,3,3,2,39,41,2,1,5,6
orf19.389,1098,716,600,548,443,498,693,3088,602,463,474,975
orf19.3893,9088,4341,6036,7578,6548,6801,8393,25695,8862,8173,7614,14570
orf19.3894,647,428,403,543,396,532,382,1678,345,474,402,767
orf19.3895,123767,58352,59847,59634,54839,49179,84852,291287,70659,75113,81673,123009
orf19.3897,1893,800,760,1279,1046,950,238,911,218,406,370,725
orf19.3898,944,545,552,542,366,451,752,2337,611,418,322,692
orf19.3899,1451,724,587,793,581,663,854,2837,506,497,437,939
orf19.390,10731,5476,4612,5784,4776,5332,7937,25455,5094,5247,5341,9956
orf19.3900,4427,2029,2156,3160,2561,2786,2983,8969,2355,2808,2685,4598
orf19.3901,340,180,175,321,270,215,380,1067,294,398,365,572
orf19.3902,1009,287,501,2141,2441,1689,1549,3927,1061,2899,3129,4198
orf19.3903,7,1,0,0,0,0,3,14,5,1,4,9
orf19.3904,8,0,3,8,2,2,8,9,1,6,2,5
orf19.3905,72,7,29,16,14,10,128,74,13,18,9,20
orf19.3906,4,0,6,2,2,0,4,1,2,1,1,1
orf19.3907,0,1,1,1,0,0,1,2,1,0,0,2
orf19.3908,7,3,3,6,10,9,5,12,1,12,9,12
orf19.391,5832,2422,2503,2344,1877,2085,10064,15228,2892,2360,2258,4005
orf19.3910,292,91,118,214,165,136,242,474,141,198,171,314
orf19.3911,55122,28714,32891,36025,32872,33502,43231,132089,42128,38586,39475,68198
orf19.3912,2319,1371,1228,1663,1232,1388,1706,6005,1257,1651,1608,2743
orf19.3914,3931,2996,2743,3554,3152,3521,3206,13019,3072,3079,3215,5710
orf19.3915,19162,9768,9997,8067,7174,7651,19715,52770,13447,8061,7606,14332
orf19.3916,811,481,584,680,575,644,840,2751,784,609,597,1173
orf19.3919,1563,789,642,1057,844,986,1374,4246,889,1294,1119,2268
orf19.3919.1,4082,2200,1951,2212,1925,2266,2940,9621,2123,2029,2094,4244
orf19.392,2412,1312,1036,1575,1235,1466,2000,6162,1091,1318,1094,2116
orf19.3920,2729,1694,1557,2260,1896,2142,1751,6676,1805,1990,2142,3781
orf19.3921,3306,1796,1766,2708,2087,2528,2142,7124,2023,2197,2001,3545
orf19.3922,2753,1180,1261,1427,1261,1337,1878,5407,1240,1201,1231,1971
orf19.3923,188,63,105,46,56,28,136,477,126,45,43,58
orf19.3924,193,51,76,102,152,86,84,161,56,266,321,562
orf19.3925,27,12,10,2,1,0,29,60,17,4,1,6
orf19.3926,31,15,22,11,14,18,52,132,45,19,17,42
orf19.3928,3466,1670,1858,1776,1637,1726,2752,7405,1935,1898,1882,3454
orf19.3929,2773,1381,1328,1389,1317,1241,2190,7250,1378,1670,1574,2842
orf19.393,2722,1184,1204,1282,1229,1039,2462,6555,1252,1386,1437,2235
orf19.3930,3571,1705,1615,2215,1725,1986,3045,8342,1946,2329,2112,3918
orf19.3931,431,290,265,669,492,519,236,1368,255,634,573,963
orf19.3931.1,2,1,1,1,3,1,5,6,2,3,3,3
orf19.3931.2,0,0,0,1,1,1,0,0,0,1,0,0
orf19.3932,418,246,276,411,386,370,538,1837,390,467,422,895
orf19.3932.1,14,7,4,5,6,4,14,37,7,7,5,5
orf19.3934,10370,5533,6390,5419,3805,5273,5201,19093,4126,2749,3013,5654
orf19.3935,11,3,2,0,2,4,5,7,2,5,2,4
orf19.3936,2908,1578,1494,2705,2757,3229,2079,6886,1702,3254,3991,7291
orf19.3937,1913,836,863,1288,1009,1076,1612,4478,923,1284,1053,2052
