Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_orf19_3399_Name_orf19_3399_Note_Has_domain_s__with_predicted_DNA_binding_2C_sequence-specific_DNA_binding_transcription_factor_activity_2C_role_in_regulation_of_transcription_2C_DNA-dependent_and_nucleus_localization_orf_classification_Uncharacterized_Alias_VPS72_orf19_10902_IPF23810_1_IPF12959_2_Contig4-2399_0001_Contig4-2516_0010_orf6_4332_CA2433_CaO19_10902_CaO19_3399_IPF12959,837,334,839,1285,333,867,869,615,1121
ID_orf19_34_Name_orf19_34_Gene_GIT1_Note_Glycerophosphoinositol_permease_2C_involved_in_utilization_of_glycerophosphoinositol_as_a_phosphate_source_B_fungal-specific__no_human_or_murine_homolog__B_transcription_negatively_regulated_by_Rim101p_B_virulence-group-correlated_expression_B_orf_classification_Verified_Alias_GIT99_orf19_7705_orf6_5928_IPF18890_2_IPF8874_2_Contig4-2679_0007_orf6_1824_CA3615_CaO19_34,52,41,26,43,19,63,45,41,64
ID_orf19_340_Name_orf19_340_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_102770_orf_classification_Uncharacterized_Alias_SRN2_orf19_7973_IPF27045_1_IPF1526_1_Contig4-3090_0013_orf6_7224_CA4634_CaO19_340_CaO19_7973_IPF1526,227,141,284,147,61,182,220,117,163
ID_orf19_3400_Name_orf19_3400_Gene_COQ3_Note_Protein_with_a_predicted_role_in_coenzyme_Q_biosynthesis_B_transcriptionally_induced_by_interaction_with_macrophages_B_possibly_an_essential_gene_2C_disruptants_not_obtained_by_UAU1_method_orf_classification_Uncharacterized_Alias_orf19_10903_IPF23840_1_IPF12953_1_Contig4-2399_0003_orf6_4331_CA2432_CaO19_3400_CaO19_10903,548,267,475,704,259,1033,679,407,963
ID_orf19_3401_Name_orf19_3401_Gene_CTA1_Note_Protein_similar_to_S__cerevisiae_Mos10p_2C_which_affects_S__cerevisiae_filamentous_growth_B_activates_transcription_in_1-hybrid_assay_in_S__cerevisiae_B_protein_levels_increase_under_weak_acid_stress_B_nonessential_orf_classification_Verified_Alias_MOS10_VPS60_orf19_10904_IPF23849_1_IPF12951_2_Contig4-2399_0004_orf6_4330_CA2431_CaO19_10904_CaO19_3401_IPF12951,553,240,698,908,203,657,629,372,731
ID_orf19_3402_Name_orf19_3402_Gene_FPG1_Note_Formamidopyrimidine_DNA_glycosylase_2C_involved_in_repair_of_gamma-irradiated_DNA_B_Hap43p-repressed_gene_orf_classification_Verified_Alias_FDG1_orf19_10905_IPF23838_1_IPF12950_2_Contig4-2230_0006_Contig4-2399_0005_orf6_4329_CA2430_CaO19_3402_CaO19_10905_IPF12950,449,222,497,536,234,533,514,454,494
ID_orf19_3404_Name_orf19_3404_Note_Decreased_transcription_is_observed_upon_fluphenazine_treatment_orf_classification_Uncharacterized_Alias_orf19_10907_IPF23828_1_IPF9890_1_IPF9890_Contig4-2230_0003_Contig4-2230_0005_orf6_4327_CA2429_CaO19_10907_CaO19_3404,19,2,33,34,0,50,20,16,28
ID_orf19_3405_Name_orf19_3405_Gene_ZCF18_Note_Putative_transcription_factor_with_zinc_finger_DNA-binding_motif_B_heterozygous_null_mutant_displays_sensitivity_to_virgineone_and_decreased_colonization_of_mouse_kidneys_orf_classification_Verified_Alias_orf19_10908_IPF23829_1_IPF9894_2_Contig4-2230_0002_orf6_4326_CA2428_IPF9894_IPF9894_3,449,198,331,308,144,542,431,265,447
ID_orf19_3406_Name_orf19_3406_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_member_of_conserved_Mcm1p_regulon_orf_classification_Uncharacterized_Alias_orf19_10909_IPF23830_1_IPF9898_2_Contig4-2923_0025_orf6_4325_CA2427_CaO19_3406_CaO19_10909_IPF9898,289,211,246,779,400,773,442,420,691
ID_orf19_3407_Name_orf19_3407_Note_Putative_transcription_factor_with_zinc_finger_DNA-binding_motif_B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_RAD18_orf19_10910_IPF23836_1_IPF9901_1_Contig4-2923_0023_orf6_4324_CA2426_CaO19_3407_CaO19_10910_IPF9901,200,81,162,302,54,246,154,79,217
ID_orf19_3409_Name_orf19_3409_Gene_SEC12_Note_Putative_guanyl-nucleotide_exchange_factor_B_transcriptionally_regulated_by_iron_B_expression_greater_in_high_iron_B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_orf19_10912_orf6_2098_IPF9907_2_IPF12029_2_Contig4-2923_0022_orf6_4323_CA2425_CaO19_3409_IPF9907,1113,558,1516,991,337,1522,876,514,900
ID_orf19_341_Name_orf19_341_Note_Putative_spermidine_export_pump_B_fungal-specific__no_human_or_murine_homolog__orf_classification_Verified_Alias_TPO3_orf19_7974_IPF26983_1_IPF1524_2_Contig4-3090_0015_orf6_7225_CA4635_CaO19_7974_CaO19_341_IPF1524,310,149,279,625,127,138,194,207,299
ID_orf19_3411_Name_orf19_3411_Note_Ortholog_s__have_role_in_cellular_bud_site_selection_and_cytosol_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_orf19_10914_IPF9910_1_IPF12031_1_Contig4-2923_0018_orf6_2100_orf6_4320_CA0900_CaO19_3411_IPF12031,163,32,130,113,30,194,146,54,137
ID_orf19_3412_Name_orf19_3412_Gene_ATG15_Note_Putative_lipase_B_fungal-specific__no_human_or_murine_homolog__B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_orf19_10915_IPF23816_1_IPF12033_2_Contig4-2923_0017_orf6_2101_CA0901_CaO19_3412_CaO19_10915_IPF12033,1771,705,1664,992,383,1330,1193,595,1103
ID_orf19_3413_Name_orf19_3413_Gene_FGR37_Note_Protein_lacking_an_ortholog_in_S__cerevisiae_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_orf19_10916_IPF23877_1_IPF12034_2_Contig4-2923_0016_orf6_2102_CA0902_CaO19_10916_CaO19_3413_IPF12034,0,0,4,7,1,5,3,2,6
ID_orf19_3414_Name_orf19_3414_Gene_SUR7_Note_Protein_required_for_normal_cell_wall_2C_plasma_membrane_2C_cytoskeletal_organization_2C_endocytosis_B_localizes_to_eisosome_subdomains_of_plasma_membrane_B_four_transmembrane_motifs_B_mutant_shows_ectopic_2C_chitin-rich_cell_wall_B_fluconazole-induced_orf_classification_Verified_Alias_orf19_10917_IPF12442_1_IPF12038_2_Contig4-2923_0010_orf6_360_CA0055_CaO19_10917_CaO19_3414_IPF12442,5627,1576,3493,1277,488,1655,1356,767,1252
ID_orf19_3415_1_Name_orf19_3415_1_Gene_RPL32_Note_Component_of_the_large__60S__ribosomal_subunit_orf_classification_Verified_Alias_IPF23866_1_IPF12449_2_Contig4-2923_0003_CA1298,8772,2579,6108,4796,779,6218,5012,1563,4850
ID_orf19_3415_Name_orf19_3415_Gene_PTK2_Note_Putative_protein_kinase_of_polyamine_import_B_mutation_confers_hypersensitivity_to_high_concentrations_of_tunicamycin_B_upregulated_in_biofilm_orf_classification_Verified_Alias_orf19_10918_IPF23808_1_IPF12448_2_Contig4-2923_0004_Contig4-2923_0005_Contig4-2923_0006_orf6_2734_orf6_6110_CA1299_CaO19_3415,1770,1047,1634,1649,590,2252,2472,902,1926
ID_orf19_3417_Name_orf19_3417_Gene_ACF2_Note_Putative_endo-1_2C3-beta-glucanase_B_fungal-specific__no_human_or_murine_homolog__orf_classification_Uncharacterized_Alias_ENG2_orf19_10921_IPF23811_1_IPF14734_2_Contig4-2903_0011_Contig4-2923_0026_orf6_2732_orf6_6108_CA1297_CaO19_3417,211,103,279,79,20,110,81,48,91
ID_orf19_3418_Name_orf19_3418_Note_Ortholog_s__have_endoplasmic_reticulum_2C_fungal-type_vacuole_localization_orf_classification_Uncharacterized_Alias_AFP98_orf19_10922_IPF8889_2_IPF14736_3_Contig4-2903_0009_orf6_2731_orf6_6107_CA3758_CaO19_3418_IPF8889,24,18,27,22,12,28,17,13,26
ID_orf19_3419_Name_orf19_3419_Gene_MAE1_Note_Malic_enzyme_2C_mitochondrial_B_transcription_regulated_by_Mig1p_and_Tup1p_B_shows_colony_morphology-related_gene_regulation_by_Ssn6p_B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_orf19_10923_IPF23815_1_IPF8888_2_Contig4-2903_0008_orf6_6106_CA3757_CaO19_10923_CaO19_3419,2590,864,4373,1888,570,5223,2459,1481,4956
ID_orf19_342_Name_orf19_342_Gene_BMT7_Note_Beta-mannosyltransferase_2C_member_of_a_9-gene_family_that_includes_characterized_genes_BMT1_2C_BMT2_2C_BMT3_2C_and_BMT4_with_roles_in_beta-1_2C2-mannosylation_of_cell_wall_phosphopeptidomannan_B_downregulated_in_azole-resistant_strain_B_Hap43p-induced_orf_classification_Uncharacterized_Alias_WRY8_orf19_7975_IPF26981_1_IPF1520_1_Contig4-3090_0018_orf6_7226_CA4636_CaO19_7975_CaO19_342_IPF1520,52,24,46,30,5,55,44,9,37
ID_orf19_3420_Name_orf19_3420_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_decreased_expression_in_hyphae_compared_to_yeast-form_cells_orf_classification_Dubious_Alias_orf19_10924_IPF23862_1_IPF28763_1_Contig4-2903_0003_orf6_6105_CaO19_10924_CaO19_3420,0,0,1,2,0,1,0,0,4
ID_orf19_3421_1_Name_orf19_3421_1_Note_Ortholog_s__have_cytosol_2C_mediator_complex_localization_orf_classification_Uncharacterized_Alias_IPF23856_1_IPF17743_2_CA3755_IPF17743,250,92,237,264,61,394,206,108,258
ID_orf19_3422_Name_orf19_3422_Gene_FMP27_Note_Putative_mitochondrial_protein_B_mRNA_binds_She3p_B_fungal-specific__no_human_or_murine_homolog__orf_classification_Uncharacterized_Alias_orf19_10926_IPF23847_1_IPF8884_2_Contig4-2903_0002_orf6_6103_CA3756_CaO19_10926_CaO19_3422_IPF8884,8963,1946,5684,2928,1004,4651,3406,2003,3184
ID_orf19_3423_Name_orf19_3423_Gene_TIF3_Note_Putative_translation_initiation_factor_B_genes_encoding_ribosomal_subunits_2C_translation_factors_2C_and_tRNA_synthetases_are_downregulated_upon_phagocytosis_by_murine_macrophage_orf_classification_Uncharacterized_Alias_orf19_10927_IPF23831_1_IPF16643_2_Contig4-2520_0017_orf6_6102_CA3754_CaO19_3423_CaO19_10927,6271,1777,6521,12496,2712,12941,7465,3079,9949
ID_orf19_3425_Name_orf19_3425_Note_Planktonic_growth-induced_gene_orf_classification_Uncharacterized_Alias_orf19_10929_IPF23817_1_IPF14743_2_Contig4-2520_0014_Contig4-2520_0015_Contig4-2520_0016_orf6_6100_CA3753_CaO19_10929_CaO19_3425_IPF14743,688,305,739,1464,349,1815,1300,553,1386
ID_orf19_3426_Name_orf19_3426_Gene_ANB1_Note_Translation_initiation_factor_eIF-5A_B_decreased_expression_in_hyphae_vs_to_yeast-form_cells_B_genes_encoding_ribosomal_subunits_2C_translation_factors_2C_tRNA_synthetases_are_downregulated_upon_phagocytosis_by_murine_macrophage_B_Hap43p-induced_orf_classification_Uncharacterized_Alias_TIF51_orf19_10930_IPF23859_1_IPF20144_1_Contig4-2520_0008_orf6_6099_CA3752_TIF51_3f_TIF51_3,18548,5870,16464,11006,3562,17240,10704,5052,11803
ID_orf19_3427_Name_orf19_3427_orf_classification_Dubious_Alias_orf19_10931_IPF23857_1_IPF7378_2_Contig4-2308_0004_Contig4-2308_0005_Contig4-2520_0001_Contig4-2520_0003_orf6_6098_CA3751_CaO19_10931_CaO19_3427_IPF7378,31,18,50,45,12,54,57,20,37
ID_orf19_3428_Name_orf19_3428_Note_Putative_protein_of_unknown_function_B_late-stage_biofilm-induced_gene_orf_classification_Uncharacterized_Alias_orf19_10932_IPF23827_1_IPF7377_1_Contig4-2308_0006_orf6_6097_CA3750_CaO19_3428_CaO19_10932_IPF7377,1668,570,1555,1798,546,1596,1978,728,1428
ID_orf19_3429_Name_orf19_3429_Gene_FGR47_Note_Protein_lacking_an_ortholog_in_S__cerevisiae_B_transposon_mutation_affects_filamentous_growth_orf_classification_Verified_Alias_orf19_10933_IPF23804_1_IPF7389_2_Contig4-1688_0001_orf6_6096_CA3749_CaO19_10933_CaO19_3429_IPF7389,200,165,309,323,149,452,293,207,434
ID_orf19_3430_Name_orf19_3430_Note_Plasma_membrane-associated_protein_B_physically_interacts_with_TAP-tagged_Nop1p_orf_classification_Verified_Alias_BUD21_orf19_10934_IPF23839_1_IPF7385_2_Contig4-1688_0002_orf6_6095_CA3748_CaO19_3430_CaO19_10934_IPF7385,1207,274,703,1171,415,1056,1057,561,1178
ID_orf19_3431_Name_orf19_3431_Note_Ortholog_s__have_3_27-5_27_exonuclease_activity_2C_DNA-directed_DNA_polymerase_activity_2C_role_in_mitochondrial_DNA_replication_and_mitochondrion_localization_orf_classification_Uncharacterized_Alias_MIP1_orf19_10935_IPF23872_1_IPF19795_1_Contig4-2589_0001_Contig4-2589_0002_orf6_6474_CA4033_CaO19_10935_CaO19_3431_IPF19795,998,355,815,1748,546,1819,1265,499,1515
ID_orf19_3432_Name_orf19_3432_Note_Predicted_membrane_transporter_2C_member_of_the_drug_Aproton_antiporter__12_spanner___DHA1__family_2C_major_facilitator_superfamily__MFS__B_induced_by_nitric_oxide_orf_classification_Uncharacterized_Alias_orf19_10936_IPF23823_1_IPF11077_2_Contig4-2589_0012_orf6_6473_CA4031_CaO19_10936_CaO19_3432_IPF11077,25,14,22,21,25,31,35,39,50
ID_orf19_3433_Name_orf19_3433_Gene_OYE23_Note_Putative_NAPDH_dehydrogenase_B_induced_by_nitric_oxide_2C_benomyl_B_oxidative_stress-induced_via_Cap1p_B_fungal-specific__no_human_or_murine_homolog__B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_OYE21_EBP4_orf19_10937_IPF19549_2_IPF19548_1_orf6_6472_orf6_92_CA4030_CaO19_3433,26,156,51,12,23,42,31,44,53
ID_orf19_3434_Name_orf19_3434_Gene_TRY5_Note_Transcriptional_regulator_of_yeast_form_adherence_B_required_for_yeast_cell_adherence_to_silicone_substrate_orf_classification_Verified_Alias_orf19_10938_IPF23803_1_IPF7171_2_Contig4-2411_0005_orf6_6471_CA4029_CaO19_10938_CaO19_3434_IPF7171_5f,171,75,223,174,30,419,741,123,516
ID_orf19_3435_Name_orf19_3435_orf_classification_Uncharacterized_Alias_orf19_10939_IPF23851_1_IPF7173_2_Contig4-2411_0004_orf6_6470_CA4028_CaO19_10939_CaO19_3435_IPF7171_3f,97,20,121,103,12,131,360,54,161
ID_orf19_3436_Name_orf19_3436_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_macrophage-induced_gene_orf_classification_Uncharacterized_Alias_orf19_10940_IPF23850_1_IPF7174_2_Contig4-2411_0003_orf6_6469_CA4027_CaO19_10940_CaO19_3436_IPF7174,33,12,51,55,14,70,60,29,87
ID_orf19_3437_Name_orf19_3437_Note_Has_domain_s__with_predicted_serine-type_endopeptidase_activity_and_role_in_proteolysis_orf_classification_Uncharacterized_Alias_orf19_10941_IPF23824_1_IPF7175_2_orf6_6468_CA4026_CaO19_10941_CaO19_3437_IPF7175,138,35,89,72,28,115,86,49,100
ID_orf19_3438_Name_orf19_3438_Note_Ortholog_s__have_chaperone_binding_activity_2C_role_in_ER-associated_protein_catabolic_process_2C_protein_folding_in_endoplasmic_reticulum_2C_response_to_unfolded_protein_and_endoplasmic_reticulum_lumen_localization_orf_classification_Uncharacterized_Alias_SCJ1_orf19_10942_IPF23837_1_IPF7178_2_Contig4-2644_0011_orf6_6467_CA4025_CaO19_10942_CaO19_3438,406,355,640,1453,516,1991,896,768,1407
ID_orf19_3439_Name_orf19_3439_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_greater_mRNA_abundance_observed_in_a_cyr1_homozygous_null_mutant_than_in_wild_type_orf_classification_Uncharacterized_Alias_orf19_10943_IPF23841_1_IPF7182_2_Contig4-2644_0006_orf6_6466_CA4024_CaO19_10943_CaO19_3439_IPF7182,243,52,249,168,39,121,198,59,122
ID_orf19_344_Name_orf19_344_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_increased_transcription_is_observed_upon_fluphenazine_treatment_or_in_an_azole-resistant_strain_that_overexpresses_CDR1_and_CDR2_B_possibly_transcriptionally_regulated_by_Tac1p_orf_classification_Uncharacterized_Alias_orf19_7977_IPF27032_1_IPF1514_2_Contig4-3090_0023_orf6_7228_CA4637_CaO19_7977_CaO19_344_IPF1514,35,33,44,32,16,60,67,27,104
ID_orf19_3440_Name_orf19_3440_Gene_FRP5_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_flucytosine_repressed_orf_classification_Uncharacterized_Alias_FUN34_AFF11_orf19_10944_IPF23843_1_IPF7185_2_Contig4-2644_0005_orf6_6465_CA4023_CaO19_10944_CaO19_3440,20,6,25,39,2,36,44,15,33
ID_orf19_3441_Name_orf19_3441_Gene_FRP6_Note_Putative_ammonia_transport_protein_B_transcription_is_regulated_by_Nrg1p_and_Tup1p_B_regulated_by_Ssn6p_B_upregulated_in_the_presence_of_human_neutrophils_B_planktonic_growth-induced_gene_orf_classification_Uncharacterized_Alias_AFF10_ATO4_orf19_10945_IPF23842_1_IPF5321_1_Contig4-2814_0016_orf6_6464_CA4022_CaO19_10945_CaO19_3441,1911,664,2234,535,221,1461,1600,621,744
ID_orf19_3442_Name_orf19_3442_Note_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_OYE23_EBP2_orf19_10946_IPF23833_1_IPF5322_2_Contig4-2814_0014_orf6_6463_CA4021_CaO19_10946_CaO19_3442,1159,317,944,780,254,977,970,389,711
ID_orf19_3443_Name_orf19_3443_Gene_OYE2_Note_Putative_NAPDH_dehydrogenase_B_fungal-specific__no_human_or_murine_homolog__B_induced_by_nitric_oxide_orf_classification_Uncharacterized_Alias_OYE22_orf19_10947_IPF23834_1_IPF5323_2_Contig4-2814_0011_orf6_6462_CaO19_10947_CaO19_3443,431,388,447,283,183,361,298,376,283
ID_orf19_3444_Name_orf19_3444_Note_Predicted_membrane_transporter_2C_member_of_the_drug_Aproton_antiporter__14_spanner___DHA2__family_2C_major_facilitator_superfamily__MFS__B_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_SGE13_orf19_10948_IPF23814_1_IPF5324_2_Contig4-2814_0009_orf6_6461_CA4020_CaO19_3444_CaO19_10948_IPF5324,73,29,121,100,34,57,51,38,49
ID_orf19_3445_Name_orf19_3445_Gene_HOC1_Note_Protein_with_similarity_to_mannosyltransferases_B_similar_to_S__cerevisiae_Hoc1p_and_C__albicans_Och1p_orf_classification_Uncharacterized_Alias_orf19_10949_IPF23835_1_IPF5326_2_Contig4-2814_0005_orf6_6460_YJR75_CA4019_CaO19_10949_CaO19_3445,692,226,500,500,147,720,449,229,608
ID_orf19_3446_Name_orf19_3446_Note_Ortholog_s__have_Ran_GTPase_binding_activity_2C_role_in_protein_import_into_nucleus_and_nucleus_localization_orf_classification_Uncharacterized_Alias_MOG1_orf19_10950_IPF23844_1_IPF5327_2_Contig4-2814_0004_orf6_6459_CA4018_CaO19_3446_CaO19_10950,228,124,228,130,29,245,178,37,173
ID_orf19_3447_Name_orf19_3447_Note_Ortholog_s__have_mannosyltransferase_activity_2C_role_in_ER-associated_protein_catabolic_process_2C_GPI_anchor_biosynthetic_process_2C_protein_processing_and_endoplasmic_reticulum_localization_orf_classification_Uncharacterized_Alias_PBN1_orf19_10951_IPF18703_2_IPF5328_2_Contig4-2814_0003_orf6_2793_orf6_6458_CA4017_CaO19_3447,591,255,671,228,61,379,302,132,254
ID_orf19_3448_Name_orf19_3448_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_ketoconazole-repressed_orf_classification_Uncharacterized_Alias_orf19_10952_IPF5330_2_IPF28770_1_orf6_2792_orf6_6457_CA1339_CaO19_3448_IPF5330,72,38,62,8,22,6,6,27,14
ID_orf19_3449_2_Name_orf19_3449_2_Note_Ortholog_s__have_phosphatidylglycerophosphatase_activity_2C_role_in_cardiolipin_biosynthetic_process_2C_phosphorylated_carbohydrate_dephosphorylation_and_mitochondrial_matrix_localization_orf_classification_Uncharacterized_Alias_IPF23870_1_IPF5335_1_orf19_3449_1_CA1337_IPF5334_CA1336_IPF5334_exon2,348,130,335,217,60,417,232,113,248
ID_orf19_3449_Name_orf19_3449_Note_Ortholog_s__have_cytoplasm_2C_ribosome_localization_orf_classification_Uncharacterized_Alias_orf19_10953_IPF5333_2_IPF18267_2_Contig4-2082_0004_orf6_2791_orf6_6456_CA1338_CaO19_3449_IPF5333,588,265,601,1076,228,979,575,258,696
ID_orf19_345_Name_orf19_345_Note_Ortholog_s__have_succinate-semialdehyde_dehydrogenase__5BNAD_P__2B_5D_activity_2C_role_in_cellular_response_to_oxidative_stress_2C_gamma-aminobutyric_acid_catabolic_process_2C_glutamate_decarboxylation_to_succinate_and_cytoplasm_localization_orf_classification_Uncharacterized_Alias_UGA21_UGA2_orf19_7978_IPF27012_1_IPF1510_1_Contig4-3090_0030_orf6_7229_CA4638_CaO19_7978_CaO19_345,30,15,76,59,14,106,96,35,57
ID_orf19_3450_1_Name_orf19_3450_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_602710_orf_classification_Uncharacterized_Alias_orf19_10954_IPF23864_1_IPF5338_2_orf6_2790_orf19_3450_CA6209_IPF5336,76,46,69,112,27,86,82,41,73
ID_orf19_3453_Name_orf19_3453_Note_Has_domain_s__with_predicted_role_in_signal_transduction_and_intracellular_localization_orf_classification_Uncharacterized_Alias_orf19_10957_IPF23775_1_IPF9785_2_Contig4-2892_0004_orf6_1812_CA0717_CaO19_10957_CaO19_3453_IPF9785,673,330,906,493,152,675,462,346,666
ID_orf19_3455_Name_orf19_3455_Note_Putative_mitochondrial_inner_membrane_magnesium_transporter_B_possibly_an_essential_gene_2C_disruptants_not_obtained_by_UAU1_method_orf_classification_Uncharacterized_Alias_LPE10_orf19_10959_IPF23788_1_IPF9782_1_Contig4-2892_0005_Contig4-2892_0006_orf6_1814_CA0718_CaO19_10959_CaO19_3455_IPF9782,126,48,102,345,103,472,295,156,337
ID_orf19_3456_Name_orf19_3456_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_possibly_an_essential_gene_2C_disruptants_not_obtained_by_UAU1_method_orf_classification_Uncharacterized_Alias_orf19_10960_IPF23784_1_IPF9779_2_Contig4-2892_0008_Contig4-2892_0009_orf6_1815_CA0719_CaO19_3456_IPF9779_5,379,167,430,259,147,540,363,206,434
ID_orf19_3457_Name_orf19_3457_Gene_SWD3_Note_Ortholog_s__have_histone_methyltransferase_activity__H3-K4_specific__activity_2C_role_in_chromatin_silencing_at_telomere_2C_histone_H3-K4_methylation_2C_telomere_maintenance_and_Set1C_2FCOMPASS_complex_localization_orf_classification_Uncharacterized_Alias_orf19_10961_IPF9778_1_IPF17933_2_Contig4-2892_0010_orf6_1816_orf6_3760_CA0720_CaO19_3457_IPF17932,117,66,117,119,21,114,137,29,90
ID_orf19_3458_Name_orf19_3458_Note_Ortholog_s__have_role_in_late_endosome_to_vacuole_transport_via_multivesicular_body_sorting_pathway_2C_protein_targeting_to_vacuole_and_Golgi_apparatus_2C_Vps55_2FVps68_complex_2C_fungal-type_vacuole_membrane_2C_mitochondrion_localization_orf_classification_Uncharacterized_Alias_orf19_10962_IPF9777_2_IPF17934_2_Contig4-2892_0013_orf6_1817_orf6_3761_CA2026_CaO19_3458_IPF9777,451,148,285,485,102,411,362,173,313
ID_orf19_3459_Name_orf19_3459_Note_Putative_serine_2Fthreonine_2Ftyrosine__dual-specificity__kinase_B_disruptants_not_obtained_by_UAU1_method_orf_classification_Uncharacterized_Alias_MCK1_orf19_10963_IPF9776_2_IPF28754_1_Contig4-2892_0016_orf6_3762_CA2027_CaO19_3459_CaO19_10963,642,180,561,132,39,223,183,123,196
ID_orf19_346_Name_orf19_346_Note_Putative_alanine_transaminase_B_biofilm-induced_gene_B_mutation_confers_hypersensitivity_to_5-fluorocytosine__5-FC__orf_classification_Verified_Alias_orf19_7979_IPF27006_1_IPF1509_2_Contig4-3090_0031_orf6_7230_CA4639_CaO19_346_CaO19_7979_IPF1509,469,262,452,241,121,321,368,263,230
ID_orf19_3460_Name_orf19_3460_Note_Putative_protein_of_unknown_function_B_mRNA_binds_to_She3p_B_transcription_is_regulated_upon_yeast-hyphal_switch_orf_classification_Uncharacterized_Alias_orf19_10964_IPF9771_2_IPF14969_1_Contig4-2623_0001_Contig4-2892_0018_orf6_3763_orf6_994_CaO19_3460,274,100,342,219,57,389,330,108,354
ID_orf19_3461_Name_orf19_3461_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_oxidative_stress-induced_via_Cap1p_B_transcription_is_induced_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Uncharacterized_Alias_orf19_10965_IPF23797_1_IPF14968_2_Contig4-2623_0003_orf6_3764_orf6_995_CA0254_CaO19_3461_IPF14968,91,42,152,141,43,108,86,32,112
ID_orf19_3462_Name_orf19_3462_Gene_SAR1_Note_Functional_homolog_of_S__cerevisiae_Sar1p_2C_which_is_required_for_ER-to-Golgi_protein_transport_B_binds_GTP_B_similar_to_small_GTPase_superfamily_proteins_B_gene_has_intron_B_Hap43p-induced_gene_orf_classification_Verified_Alias_orf19_10966_IPF13117_2_IPF28755_1_Contig4-2623_0005_orf6_3765_CA2029_CaO19_3462_CaO19_10966_SAR1_3f_SAR1_3,1709,824,1756,1079,321,1671,1227,592,1116
ID_orf19_3463_Name_orf19_3463_Note_Ortholog_s__have_role_in_ascospore_formation_2C_conjugation_with_cellular_fusion_2C_ribosomal_large_subunit_assembly_2C_ribosomal_subunit_export_from_nucleus_and_cytosol_2C_mating_projection_tip_localization_orf_classification_Uncharacterized_Alias_LSG1_orf19_10967_IPF23780_1_IPF13116_1_Contig4-2623_0007_orf6_3766_CA2030_CaO19_10967_CaO19_3463_IPF13116,2659,951,2737,6743,1439,6268,4445,1023,4656
ID_orf19_3465_Name_orf19_3465_Gene_RPL10A_Note_Predicted_ribosomal_protein_B_genes_encoding_cytoplasmic_ribosomal_subunits_2C_translation_factors_2C_tRNA_synthetases_are_downregulated_upon_phagocytosis_by_murine_macrophages_B_Hap43p-induced_gene_orf_classification_Uncharacterized_Alias_RPL1_orf19_10969_IPF23796_1_IPF13114_1_RPL1B_Contig4-2623_0008_orf6_3768_CA2031_CaO19_10969_CaO19_3465,8740,2319,5336,2400,596,4217,3385,1167,2873
ID_orf19_3466_Name_orf19_3466_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_decreased_transcription_is_observed_upon_fluphenazine_treatment_or_in_an_azole-resistant_strain_that_overexpresses_CDR1_and_CDR2_orf_classification_Uncharacterized_Alias_orf19_10970_IPF23794_1_IPF13112_2_orf6_3769_CA2032_CaO19_3466_CaO19_10970_IPF13112,143,43,97,79,22,31,35,14,27
ID_orf19_3467_Name_orf19_3467_Note_Ortholog_s__have_ubiquitin_binding_activity_and_role_in_ER_to_Golgi_vesicle-mediated_transport_2C_late_endosome_to_vacuole_transport_via_multivesicular_body_sorting_pathway_2C_retrograde_vesicle-mediated_transport_2C_Golgi_to_ER_orf_classification_Uncharacterized_Alias_SEC27_orf19_10971_IPF16985_2_IPF19248_2_orf6_3770_orf6_498_CA2033_CaO19_3467,4495,2019,4937,5686,2227,6505,4833,3312,5061
